NAME,TotalPopulation,1,2
1,12052,11683,369
2,12404,7756,4647
3,14490,9058,5431
4,14600,14600,0
5,11745,4956,6788
6,15105,2919,12186
7,13758,0,13757
8,14877,11,14865
9,15716,2521,13194
10,18040,14586,3454
11,12597,11228,1368
12,14500,13163,1336
13,11774,0,11773
14,14226,34,14192
15,12547,0,12547
16,13112,3,13109
17,15714,0,15714
18,13319,7,13311
19,14967,0,14967
20,15876,0,15876
21,13902,0,13902
22,13957,0,13957
23,13022,0,13022
24,14960,0,14960
25,12871,0,12871
26,14015,0,14015
27,14950,0,14950
28,14983,0,14983
29,11001,0,11001
30,13581,0,13581
31,13744,0,13744
32,13105,0,13105
33,15586,0,15586
34,12998,0,12998
35,13973,0,13973
36,15815,0,15815
37,12622,0,12622
38,12823,0,12823
39,15575,0,15575
40,15416,0,15416
41,16251,0,16251
42,14252,0,14252
43,14681,32,14649
44,12981,11316,1664
45,12019,12019,0
46,17334,17334,0
47,12625,0,12625
48,15593,11214,4378
49,16032,16032,0
50,13641,13641,0
51,13682,13682,0
52,15181,15181,0
53,14023,13480,542
54,15125,15099,26
55,14398,14392,5
56,10285,10285,0
57,16583,16583,0
58,15185,15185,0
59,13070,13070,0
60,13864,13864,0
61,12630,12630,0
62,13799,13799,0
63,13582,13582,0
64,15964,15964,0
65,14792,14792,0
66,15967,15967,0
67,12522,12522,0
68,13037,13037,0
69,16861,16861,0
70,13756,13756,0
71,12680,12680,0
72,12569,12569,0
73,13305,13305,0
74,14536,14536,0
75,13452,13452,0
