NAME,TotalPopulation,1,2
1,25920,13333,12587
2,28626,22478,6148
3,23894,23646,247
4,28542,24873,3668
5,28511,712,27798
6,27057,19101,7955
7,29496,4,29492
8,26017,26017,0
9,27945,0,27945
10,26642,26642,0
11,28017,28017,0
12,27666,27666,0
13,27444,27444,0
14,22952,22952,0
15,29399,29399,0
16,26383,26383,0
17,28310,28309,0
18,30534,30534,0
19,28349,28349,0
20,25962,25962,0
21,30171,0,30171
22,29049,29028,20
23,30435,3549,26885
24,25839,25839,0
25,28184,27,28157
26,28025,22,28003
27,27253,0,27253
28,31682,4426,27256
29,26590,0,26590
30,29425,0,29425
31,28395,0,28395
32,29565,29565,0
33,24340,0,24340
34,28863,0,28863
35,27067,0,27067
36,31070,0,31070
37,27064,0,27064
38,27097,0,27097
