NAME,TotalPopulation,1,2,3,4,5,6,7
1,39938,0,0,39938,0,0,0,0
2,37251,0,0,37251,0,0,0,0
3,40726,0,0,40726,0,0,0,0
4,37609,0,0,37584,25,0,0,0
5,38961,0,0,38926,34,0,0,0
6,41697,0,0,41697,0,0,0,0
7,39951,0,0,39951,0,0,0,0
8,36532,0,0,36532,0,0,0,0
9,34140,0,0,34140,0,0,0,0
10,42522,0,0,37003,5518,0,0,0
11,38275,0,0,38275,0,0,0,0
12,30871,0,0,30871,0,0,0,0
13,43079,0,0,43079,0,0,0,0
14,38760,0,0,38760,0,0,0,0
15,45706,31237,0,0,0,0,14469,0
16,43764,0,0,36714,7050,0,0,0
17,44319,0,0,24,44295,0,0,0
18,40525,0,0,0,40525,0,0,0
19,39249,0,0,35,39213,0,0,0
20,36954,0,0,0,36954,0,0,0
21,44193,0,0,660,43532,0,0,0
22,39509,0,0,0,39509,0,0,0
23,37955,0,0,1,37953,0,0,0
24,43710,0,0,2,43707,0,0,0
25,39059,0,0,7468,31591,0,0,0
26,49954,0,0,0,0,49954,0,0
27,39249,0,0,3246,36002,0,0,0
28,46401,0,0,31512,14888,0,0,0
29,39668,0,0,0,2,39666,0,0
30,37596,0,0,0,0,37596,0,0
31,39148,0,0,0,39107,41,0,0
32,36970,0,0,0,19527,17442,0,0
33,39465,0,0,2,36797,2664,0,0
34,42772,0,0,0,42772,0,0,0
35,48535,0,0,4964,43571,0,0,0
36,38417,0,0,0,38417,0,0,0
37,35967,0,0,0,24943,11023,0,0
38,41187,0,0,0,23713,17474,0,0
39,38350,0,23159,15190,0,0,0,0
40,38072,0,7,38063,0,2,0,0
41,37447,0,6465,0,0,30751,229,0
42,37260,0,0,9554,107,27597,0,0
43,35349,0,0,0,0,35349,0,0
44,36597,0,0,0,0,36597,0,0
45,54961,0,0,0,0,54961,0,0
46,39729,0,0,0,0,39729,0,0
47,41445,0,0,0,0,41445,0,0
48,41178,0,0,0,0,41178,0,0
49,39578,0,0,0,0,39578,0,0
50,33998,0,0,0,0,33253,733,11
51,33931,0,0,0,0,22252,11679,0
52,41446,0,0,0,0,41446,0,0
53,34442,0,0,0,0,3664,0,30777
54,36586,0,0,0,0,0,0,36586
55,40148,0,0,0,0,0,0,40148
56,45246,0,0,0,0,0,0,45246
57,32365,0,0,0,0,0,0,32365
58,44084,0,0,0,0,0,0,44084
59,37245,0,0,0,0,0,0,37245
60,37460,0,0,0,0,5,303,37151
61,37764,0,0,0,0,0,11545,26218
62,36569,0,0,0,0,0,0,36569
63,36921,0,0,0,0,0,0,36921
64,37350,0,0,0,0,1109,36236,2
65,36326,0,0,0,0,13479,0,22847
66,34982,1,2840,0,0,0,32140,0
67,30063,0,0,0,0,21792,8270,0
68,48398,0,0,0,0,0,0,48398
69,45881,0,45879,0,0,0,2,0
70,48971,0,4234,0,0,23572,21164,0
71,42434,0,41997,0,0,2,433,0
72,37908,0,675,0,0,0,37233,0
73,38844,0,13687,0,0,1,25154,0
74,34813,0,1053,0,0,0,33760,0
75,35167,0,30045,0,0,0,5121,0
76,40577,0,22011,0,0,0,18565,0
77,45319,0,20867,0,0,1,24451,0
78,40201,0,38322,0,0,0,1878,0
79,40466,0,38587,0,0,0,1878,0
80,37634,0,2450,0,0,15609,19574,0
81,38431,0,38431,0,0,0,0,0
82,39053,0,14479,24574,0,0,0,0
83,35162,0,27877,7285,0,0,0,0
84,45199,0,45199,0,0,0,0,0
85,40394,0,40387,4,0,0,1,0
86,40946,0,40945,1,0,0,0,0
87,45230,0,45230,0,0,0,0,0
88,39867,0,39867,0,0,0,0,0
89,38275,0,38214,0,0,0,61,0
90,38269,362,5660,0,0,0,32247,0
91,31910,0,22610,0,0,0,9299,0
92,36971,36879,0,0,0,0,92,0
93,41621,0,19625,0,0,0,21995,0
94,41110,39059,0,0,0,0,2050,0
95,31943,0,10682,0,0,0,21261,0
96,39767,0,39767,0,0,0,0,0
97,45021,26061,0,0,0,0,18960,0
98,42549,38140,0,0,0,0,4408,0
99,45350,45342,0,0,0,0,8,0
100,44997,44995,0,0,0,0,1,0
101,33843,0,0,0,0,0,33839,4
102,39359,35424,0,0,0,0,3935,0
103,32957,0,0,0,0,0,941,32016
104,41803,0,0,0,0,0,0,41803
105,38461,0,0,0,0,0,0,38461
106,45707,0,0,0,0,0,0,45707
107,46255,0,0,0,0,0,0,46255
108,49912,16669,0,0,0,0,0,33243
109,35983,2386,0,0,0,0,33597,0
110,37720,25811,0,0,0,0,11908,0
111,40828,0,0,0,0,0,40828,0
112,42044,42044,0,0,0,0,0,0
113,43224,5341,0,0,0,0,37882,0
114,40165,6834,0,0,0,0,33330,0
115,42668,42667,0,0,0,0,0,0
116,47361,14980,0,0,0,0,32381,0
117,45342,31647,0,0,0,0,13695,0
118,42232,35897,0,0,0,0,6334,0
119,34506,10296,0,0,0,0,24210,0
120,41567,37322,0,0,0,0,4244,0
121,40468,30556,0,0,0,0,9911,0
122,36295,438,0,0,0,0,35857,0
123,39123,39123,0,0,0,0,0,0
124,41886,41886,0,0,0,0,0,0
