NAME,TotalPopulation,1,2,3,4,5,6,7
1,103121,0,0,103121,0,0,0,0
2,111440,0,0,96283,15156,0,0,0
3,107799,0,0,107794,4,0,0,0
4,112860,0,0,112858,1,0,0,0
5,104250,0,0,12,103829,409,0,0
6,103570,0,0,35,103534,0,0,0
7,105166,0,0,7765,97401,0,0,0
8,107509,0,0,13204,94305,0,0,0
9,112522,0,0,99836,5225,7459,0,0
10,112211,0,36008,76202,0,0,0,0
11,102730,0,0,0,73764,28966,0,0
12,108873,0,0,982,107891,0,0,0
13,111538,0,0,7126,87815,16595,0,0
14,109724,0,0,0,834,108889,0,0
15,111496,0,0,0,0,111496,0,0
16,88760,0,0,0,0,88760,0,0
17,117057,0,5,0,0,117050,0,0
18,110592,0,72488,38069,0,4,30,0
19,102422,0,36918,0,0,1,65502,0
20,98481,22723,0,0,0,0,75757,0
21,112320,0,21495,0,0,2,90823,0
22,102761,0,93467,0,0,1,9291,0
23,112036,0,112035,0,0,0,0,0
24,105577,0,105576,1,0,0,0,0
25,119725,0,68975,50749,0,0,0,0
26,103579,0,70194,0,0,0,33384,0
27,123321,0,0,0,0,89192,0,34128
28,94686,0,0,0,0,0,0,94686
29,118275,0,0,0,0,10745,2321,105208
30,112703,0,0,0,0,0,0,112703
31,107654,0,0,0,0,1,3223,104429
32,108514,17087,0,0,0,0,40421,51006
33,97853,0,0,0,0,0,0,97853
34,112045,0,0,0,0,0,0,112045
35,123437,0,36439,0,0,84241,2749,6
36,109806,2,0,0,0,35429,74374,0
37,96678,96677,0,0,0,0,1,0
38,99788,90820,0,0,0,0,8967,0
39,89730,48722,1298,0,0,0,39710,0
40,115551,0,66361,0,0,0,49188,0
41,97128,38807,0,0,0,0,58321,0
42,105125,652,0,0,0,0,104473,0
43,128394,126030,0,0,0,0,2364,0
44,103209,98445,0,0,0,0,4764,0
45,113839,42421,0,0,0,0,71418,0
46,100046,99020,0,0,0,0,1025,0
