NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,197800,130439,0,0,67359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,188879,9,0,83498,49415,55956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,195459,0,98318,0,0,0,0,0,97069,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
4,180105,0,0,0,3,180090,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,186843,114367,0,0,11998,60477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,187424,187397,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,200161,200157,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,191385,21,0,0,0,31642,159710,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,204687,8256,0,0,0,0,3,0,50151,0,0,0,0,0,0,0,0,124749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21525,0,0
10,179487,0,0,0,0,1,179482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
11,191776,112915,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,65067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13787,0,0
12,208263,0,0,0,0,0,0,0,15093,0,118877,0,0,0,0,0,0,74292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,196268,0,0,0,0,0,47022,0,0,0,0,0,0,0,0,0,0,130817,0,0,0,0,0,0,0,0,0,0,0,0,0,18428,0,0,0,0,0,0,0
14,185540,0,0,0,0,0,0,0,0,0,185539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,187051,0,183083,0,0,0,0,0,3953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
16,178958,0,8928,0,0,0,0,0,170029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,189876,0,0,0,0,0,0,0,0,0,82141,0,0,0,0,4,0,24798,0,0,0,0,0,0,0,0,0,82917,0,0,0,0,0,0,0,14,0,0,0
