NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,925199,720302,0,1,144391,60502,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,910939,8,0,202,151118,492869,124758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8889,0,1,0,0,0,1701,0,131389,0,0,0,0,0,0
3,965275,44015,3,0,0,81940,110259,0,50152,0,0,0,0,0,217911,0,0,189828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271162,0,0
4,913651,0,564689,0,0,0,0,0,180727,0,0,0,0,0,51846,0,0,0,43060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72278,0,1049
5,894444,0,0,0,0,0,10914,0,43673,0,297151,0,0,0,0,0,0,241136,0,0,0,0,0,0,0,0,0,40109,0,0,0,261407,0,0,0,1,0,47,0
6,975623,0,34573,0,0,0,0,419,0,65460,0,0,0,0,1,0,0,0,62144,0,0,0,30,0,0,0,0,0,0,704486,0,0,0,0,0,0,108506,0,0
7,919130,0,62283,0,0,0,0,317,316952,0,1,0,0,0,0,0,0,0,1873,0,0,0,7059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530642
8,909980,0,0,665924,206936,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,37101,0,0,0,0,0,0
9,943563,0,0,0,0,0,1839,0,0,0,0,0,424551,0,0,0,0,0,0,0,0,0,0,0,349760,30480,942,0,0,0,0,0,0,135988,0,0,0,0,0
10,920874,0,0,0,0,0,44217,0,0,0,0,37804,239631,0,0,0,0,0,0,5154,0,0,0,0,0,423557,0,0,0,0,0,0,0,170508,0,0,0,0,0
11,873971,0,730,0,0,0,0,0,0,83476,0,0,0,0,358041,0,0,0,0,0,0,0,130125,0,0,0,0,0,0,3648,0,0,0,0,0,0,297949,0,0
12,941576,0,0,0,9,0,1440,0,0,0,0,0,1,33834,0,0,0,0,0,0,0,0,0,0,292003,0,419104,0,0,0,41,0,117246,77893,0,0,0,0,0
13,933573,0,0,0,0,0,0,182894,0,557376,0,0,0,0,0,0,0,0,150496,0,0,0,40536,0,0,0,0,0,0,2266,0,0,0,0,0,0,0,0,2
14,947020,0,0,0,0,0,0,0,0,0,66890,0,0,0,0,0,0,69731,0,0,0,26022,0,0,0,0,0,0,0,0,0,0,0,0,0,133798,0,650576,0
15,956517,0,64337,0,0,0,0,219328,0,42498,0,0,0,0,0,0,0,0,500466,0,0,0,0,0,0,0,0,0,0,69723,0,0,0,0,0,0,0,0,60162
16,972334,0,0,0,0,99635,145127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64748,2,0,0,0,0,112691,0,327459,222669,0,0,0,0,0
17,925365,0,0,0,0,0,0,147826,19549,17774,38689,0,0,0,130293,0,0,0,5144,0,0,0,391612,0,0,0,0,14821,0,0,0,0,0,0,0,0,0,0,159654
18,910311,0,0,0,0,0,0,218766,114816,0,190585,0,0,0,0,0,0,0,0,0,0,0,165235,0,0,0,0,213445,0,0,0,0,0,0,0,0,0,0,7460
19,870482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30863,0,0,0,0,243096,5258,0,317756,0,0,0,0,208413,0,0,0,0,0,0,65095,0,0,0
20,918460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573992,0,0,0,0,0,0,0,0,0,0,0,297801,1,0,0,0,0,0,46664,0,0,0,0
21,891915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100723,0,0,0,0,0,23441,0,17782,0,0,0,42829,383624,0,0,0,0,0,0,269243,0,54269,0
22,937892,0,0,0,0,0,271239,0,0,0,0,0,0,0,0,0,0,271324,0,0,0,0,0,0,65322,266239,0,0,0,0,580,26863,0,36322,0,0,0,0,0
23,966624,0,0,0,0,972,36806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,82,0,0,0,0,644944,0,158430,125384,0,0,0,0,0
24,919370,0,0,0,0,0,0,0,0,0,33792,211850,0,0,0,0,0,1,0,0,0,101631,0,54668,0,0,0,0,30544,0,0,434142,0,0,0,0,0,52738,0
25,854481,0,0,0,0,0,0,0,0,0,92964,0,0,0,0,12307,0,0,0,0,3253,485420,0,113177,0,0,0,0,96665,0,0,14,0,0,0,40299,0,10378,0
26,966942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553632,109420,0,39695,0,0,0,0,48302,0,0,0,0,0,0,215891,0,0,0
27,926969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44874,0,0,0,0,0,0,0,0,0,0,0,163923,0,0,0,0,0,0,718171,0,0,0,0
28,909108,0,0,0,0,0,0,0,0,0,0,165431,0,144511,0,0,0,0,0,599165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,891824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726211,0,0,0,0,0,0,165613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,934699,0,0,48713,251455,0,0,0,0,0,0,0,67652,212907,0,0,0,0,0,0,0,0,0,0,0,38374,315595,0,0,0,0,0,0,0,0,0,0,0,0
31,907313,0,0,0,0,0,0,0,0,0,0,340877,0,368838,0,0,0,0,0,162860,0,0,0,34737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
