NAME,TotalPopulation,1,2,3,4
1,41635,41635,0,0,0
2,43107,43107,0,0,0
3,38749,38749,0,0,0
4,41021,33079,0,7941,0
5,37940,37940,0,0,0
6,35964,35964,0,0,0
7,37562,37562,0,0,0
8,39297,39297,0,0,0
9,38693,38693,0,0,0
10,44250,44250,0,0,0
11,39076,39076,0,0,0
12,59328,59328,0,0,0
13,30200,30200,0,0,0
14,24424,24320,103,0,0
15,53123,39939,13184,0,0
16,41076,41075,0,0,0
17,38824,36724,2099,0,0
18,41624,10953,30671,0,0
19,40327,2691,37636,0,0
20,38779,1913,36866,0,0
21,45873,0,45872,0,0
22,41749,36116,5566,66,0
23,45291,23212,21748,331,0
24,40528,11438,29090,0,0
25,48968,0,48967,0,0
26,36573,0,36555,0,17
27,44662,0,33067,0,11594
28,38288,0,38284,0,3
29,43212,0,42245,0,967
30,44611,0,19060,0,25551
31,44585,0,19451,0,25134
32,42239,418,40425,2,1393
33,42920,17662,9237,16020,0
34,40399,0,2,33475,6921
35,41275,0,1393,1,39880
36,42613,0,0,0,42613
37,45172,0,1,0,45170
38,40491,0,5,0,40485
39,44155,0,0,223,43931
40,41104,0,0,24458,16645
41,43664,0,0,43356,307
42,40327,0,0,40327,0
43,42612,0,0,36140,6472
44,35771,0,0,0,35771
45,39498,0,0,16638,22859
46,44515,0,0,35904,8611
47,37882,0,0,6373,31509
48,36562,0,0,0,36562
49,28496,0,0,0,28496
50,38102,0,1,207,37893
51,20581,0,0,20,20560
52,33406,0,0,5382,28024
53,36722,0,0,36701,21
54,37002,0,0,36955,47
55,50348,0,0,50343,4
56,41430,0,0,40008,1422
57,36983,0,0,36918,65
58,46271,0,0,46177,94
59,41595,3297,0,38296,1
60,41586,0,0,41575,10
61,47443,0,0,43618,3825
62,36620,0,0,33630,2989
63,43178,0,0,11537,31640
64,38390,0,0,589,37800
65,36606,0,0,0,36606
66,42537,0,1071,90,41375
67,36473,0,0,36473,0
68,46102,0,0,46102,0
69,45215,0,15061,30154,0
70,44811,0,44811,0,0
71,34343,0,34343,0,0
72,48421,0,48421,0,0
73,29020,0,29020,0,0
74,39235,0,39235,0,0
75,43859,0,43859,0,0
