NAME,TotalPopulation,1,2,3,4
1,84916,75435,9481,0,0
2,102264,102264,0,0,0
3,104914,104735,0,177,0
4,110648,110648,0,0,0
5,102749,102749,0,0,0
6,102702,89402,13300,0,0
7,109180,79393,29786,0,0
8,104800,16032,88743,24,0
9,105146,50849,53924,372,0
10,118460,0,118459,0,0
11,117503,0,77687,35,39780
12,109927,0,22765,0,87161
13,101581,324,63238,5728,32289
14,107235,24251,18800,47537,16646
15,111465,405,0,86851,24208
16,114477,0,5,0,114472
17,100308,0,0,125,100183
18,84245,0,0,6419,77825
19,111584,0,0,109934,1650
20,112257,12160,0,100095,0
21,109851,0,0,107025,2826
22,76949,0,0,20835,56113
23,99291,0,0,98469,822
24,111222,0,0,111118,104
25,106578,0,0,24963,81615
26,116094,0,8054,76316,31724
27,123428,0,78316,10,45101
28,85529,0,84769,0,759
29,100032,0,100032,0,0
