NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11
1,83853,0,0,0,0,0,0,0,83853,0,0,0
2,84773,0,0,0,0,0,0,0,84773,0,0,0
3,86814,0,0,0,0,0,0,0,86814,0,0,0
4,86370,0,0,0,0,0,0,0,86370,0,0,0
5,85686,0,0,0,0,0,0,0,85686,0,0,0
6,83313,0,0,0,0,0,0,0,37694,0,1,45617
7,83093,0,0,0,0,0,0,0,0,0,2,83091
8,86756,0,0,0,0,0,0,0,0,0,0,86756
9,89447,0,0,0,0,0,0,0,0,0,10993,78454
10,83170,0,0,0,0,0,0,0,0,0,9129,74040
11,87617,0,0,0,0,0,0,0,0,0,0,87616
12,83674,0,0,0,0,0,0,0,1315,0,0,82358
13,84086,0,0,0,0,0,0,0,79798,0,0,4288
14,86502,0,0,0,0,0,0,0,65528,0,0,20973
15,87607,0,0,0,0,0,0,28,3,0,2150,85424
16,88140,0,0,0,0,0,0,0,88139,0,0,0
17,87276,0,0,0,0,0,0,0,59145,0,0,28131
18,91513,0,0,0,0,0,0,14,13523,0,23,77952
19,84824,0,0,0,0,0,0,52666,13799,0,0,18358
20,78982,0,0,0,0,0,0,0,0,0,78982,0
21,89645,0,0,0,0,0,0,0,0,0,89645,0
22,75404,0,0,0,0,0,0,88,0,0,75315,0
23,84272,0,0,0,0,0,0,84196,0,0,76,0
24,80168,0,0,0,0,0,0,80092,0,0,76,0
25,91090,0,0,0,0,0,0,79719,0,0,11322,48
26,73543,0,0,0,0,0,0,0,0,0,73543,0
27,88738,0,0,0,0,0,0,0,0,0,88732,5
28,77817,0,0,0,0,0,0,0,0,0,77817,0
29,88131,0,0,0,0,0,0,0,0,0,88131,0
30,88102,0,0,0,0,0,4,0,0,0,88098,0
31,81014,0,0,0,0,0,81009,0,0,0,5,0
32,85406,0,0,0,0,0,85406,0,0,0,0,0
33,86453,0,0,0,0,0,86446,3,0,0,2,0
34,89315,0,0,0,0,0,89311,4,0,0,0,0
35,87990,0,0,0,0,4,87985,0,0,0,0,0
36,79754,0,0,0,0,6,79747,0,0,0,0,0
37,87203,0,0,0,0,1,82087,0,0,5114,0,0
38,86268,0,0,0,0,0,86257,0,0,11,0,0
39,87815,0,0,0,0,0,30880,0,0,56935,0,0
40,79302,0,0,0,0,0,57311,0,0,21990,0,0
41,100333,0,0,0,0,0,8313,0,0,92020,0,0
42,78946,0,0,0,0,0,0,0,0,78946,0,0
43,89866,0,0,0,0,0,0,0,0,89866,0,0
44,88513,0,0,0,0,0,0,0,0,88513,0,0
45,90539,0,0,0,0,0,0,0,0,90539,0,0
46,84197,0,0,0,0,0,0,0,0,84197,0,0
47,85553,0,0,0,0,0,0,0,0,85553,0,0
48,85449,0,0,0,0,37587,0,0,0,47861,0,0
49,80855,0,0,0,0,80855,0,0,0,0,0,0
50,88843,0,0,0,0,88843,0,0,0,0,0,0
51,84671,0,0,0,0,54007,6,0,0,30657,0,0
52,88067,0,0,0,0,88066,0,0,0,0,0,0
53,87367,0,0,0,0,63150,15,0,0,24201,0,0
54,87112,0,0,0,0,87112,0,0,0,0,0,0
55,81959,0,0,0,0,81619,7,332,0,0,0,0
56,88167,0,0,0,0,88167,0,0,0,0,0,0
57,85304,76962,0,0,13,8328,0,0,0,0,0,0
58,85364,82157,0,0,3203,3,0,0,0,0,0,0
59,85482,38321,0,0,2409,44738,0,13,0,0,0,0
60,82645,82371,0,0,24,248,0,0,0,0,0,0
61,86297,0,0,0,0,0,3,19603,0,0,66689,0
62,81421,0,0,0,0,9,7,81403,0,0,1,0
63,83352,0,0,0,0,4,0,83348,0,0,0,0
64,82069,0,0,0,0,0,0,82066,0,0,3,0
65,84211,0,0,0,0,0,0,84211,0,0,0,0
66,76179,1,0,0,0,4,0,76174,0,0,0,0
67,88525,49664,0,0,0,0,0,38861,0,0,0,0
68,85754,85750,0,0,0,0,0,4,0,0,0,0
69,82900,70541,0,12359,0,0,0,0,0,0,0,0
70,82366,11,0,82355,0,0,0,0,0,0,0,0
71,82460,82454,0,0,5,0,0,0,0,0,0,0
72,84355,26799,0,0,9,57547,0,0,0,0,0,0
73,86174,84553,0,0,1614,6,0,0,0,0,0,0
74,79407,21665,0,0,57741,0,0,0,0,0,0,0
75,82674,0,0,0,82674,0,0,0,0,0,0,0
76,83515,3241,0,0,80274,0,0,0,0,0,0,0
77,86196,20172,0,0,66023,0,0,0,0,0,0,0
78,82780,54,0,0,82725,0,0,0,0,0,0,0
79,93918,0,0,0,93918,0,0,0,0,0,0,0
80,85826,5866,0,0,79959,0,0,0,0,0,0,0
81,81152,14,0,0,81137,0,0,0,0,0,0,0
82,82875,2,1,0,82867,3,0,0,0,0,0,0
83,89662,0,32391,0,57270,1,0,0,0,0,0,0
84,84363,0,84334,28,0,0,0,0,0,0,0,0
85,84806,23,0,84783,0,0,0,0,0,0,0,0
86,86464,35387,0,51077,0,0,0,0,0,0,0,0
87,84226,37,0,84188,0,0,0,0,0,0,0,0
88,83560,0,21,83538,0,0,0,0,0,0,0,0
89,87509,0,56658,30851,0,0,0,0,0,0,0,0
90,88107,0,85172,2935,0,0,0,0,0,0,0,0
91,81736,0,11057,70678,0,0,0,0,0,0,0,0
92,88083,0,3,88079,0,0,0,0,0,0,0,0
93,85617,0,0,85617,0,0,0,0,0,0,0,0
94,87107,0,3,87104,0,0,0,0,0,0,0,0
95,82668,0,74418,8249,0,0,0,0,0,0,0,0
96,83393,0,83393,0,0,0,0,0,0,0,0,0
97,83725,0,83725,0,0,0,0,0,0,0,0,0
98,87192,0,87192,0,0,0,0,0,0,0,0,0
99,80182,0,80182,0,0,0,0,0,0,0,0,0
100,86347,0,86340,6,0,0,0,0,0,0,0,0
