NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11
1,209795,0,0,0,0,0,209788,0,0,0,7,0
2,213195,0,0,0,0,5,213179,9,0,0,0,0
3,204192,0,0,0,0,11,198510,0,0,5671,0,0
4,222881,0,0,0,0,0,144639,0,0,78241,0,0
5,217695,0,0,0,0,0,0,0,0,217695,0,0
6,224916,0,0,0,0,0,0,0,0,224916,0,0
7,222069,0,0,0,0,0,8,0,0,222060,0,0
8,213200,0,0,0,0,157779,14,0,0,55406,0,0
9,222122,0,0,0,2,222116,0,0,0,2,0,0
10,208188,22035,0,0,3,186137,0,11,0,0,0,0
11,207963,0,0,0,0,207555,17,390,0,0,0,0
12,200985,149887,0,0,51092,5,0,0,0,0,0,0
13,204180,17,1,0,204160,0,0,0,0,0,0,0
14,212978,1972,0,0,211006,0,0,0,0,0,0,0
15,210463,30,0,0,210432,0,0,0,0,0,0,0
16,215003,179163,0,0,35757,83,0,0,0,0,0,0
17,214531,0,142427,20888,51209,4,0,0,0,0,0,0
18,206869,0,21964,184905,0,0,0,0,0,0,0,0
19,204268,0,199469,4799,0,0,0,0,0,0,0,0
20,217095,0,192273,24821,0,0,0,0,0,0,0,0
21,220763,0,20,220742,0,0,0,0,0,0,0,0
22,203689,0,203658,31,0,0,0,0,0,0,0,0
23,211326,149,0,211176,0,0,0,0,0,0,0,0
24,203349,98796,0,104553,0,0,0,0,0,0,0,0
25,207312,93937,0,0,0,4,0,113370,0,0,0,0
26,203543,203486,0,0,32,24,0,0,0,0,0,0
27,198372,0,0,0,0,0,0,198368,0,0,4,0
28,197886,0,0,0,0,11,11,145140,0,0,52722,0
29,201839,0,0,0,0,0,0,158670,0,0,43168,0
30,200956,0,0,0,0,0,0,0,0,0,200955,0
31,225918,0,0,0,0,0,4,0,0,0,225911,1
32,182947,0,0,0,0,0,0,0,0,0,182943,3
33,209542,0,0,0,0,0,0,126424,0,0,10350,72768
34,222055,0,0,0,0,0,0,5,162412,0,0,59637
35,224400,0,0,0,0,0,0,0,91778,0,0,132621
36,215096,0,0,0,0,0,0,0,0,0,19123,195973
37,204783,0,0,0,0,0,0,0,68693,0,0,136090
38,205946,0,0,0,0,0,0,0,36202,0,4,169739
39,213243,0,0,0,0,0,0,0,213243,0,0,0
40,208200,0,0,0,0,0,0,0,208200,0,0,0
