NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10
1,154537,135890,977,0,0,0,0,14654,3014,0,0
2,140200,0,0,7248,0,0,0,0,74829,0,58121
3,140683,0,0,0,0,140683,0,0,0,0,0
4,129673,0,0,0,0,129673,0,0,0,0,0
5,149623,0,0,0,0,0,0,0,143135,6487,0
6,140708,0,0,0,0,140708,0,0,0,0,0
7,157112,0,0,0,81859,74187,0,0,1064,0,0
8,128194,0,0,0,128099,95,0,0,0,0,0
9,185939,0,0,0,4553,181385,0,0,0,0,0
10,153031,14613,131790,0,0,0,0,0,6628,0,0
11,146860,0,0,0,0,0,0,1463,12472,132924,0
12,151289,19578,2,0,12001,0,0,0,119707,0,0
13,146489,0,0,0,101661,0,0,0,44827,0,0
14,147412,0,0,0,147411,0,0,0,0,0,0
15,165373,0,0,0,153741,11632,0,0,0,0,0
16,154270,0,0,0,94031,60238,0,0,0,0,0
17,154210,0,0,154209,0,0,0,0,0,0,0
18,135996,0,0,135996,0,0,0,0,0,0,0
19,154615,0,0,125689,0,0,28706,0,0,0,219
20,143366,0,0,142197,0,0,0,0,3,0,1164
21,152810,38590,114219,0,0,0,0,0,0,0,0
22,142236,0,0,0,0,0,0,0,0,0,142236
23,153797,0,0,0,0,0,153797,0,0,0,0
24,148602,0,0,0,0,0,148602,0,0,0,0
25,147735,0,0,0,0,0,714,0,7777,0,139243
26,146125,0,0,0,0,0,144840,0,0,0,1284
27,147786,0,0,0,0,0,140380,0,0,7,7399
28,149327,0,0,0,0,0,2860,0,2587,0,143878
29,149095,0,0,0,0,0,18901,0,82,0,130111
30,148657,0,0,0,0,0,7,0,2084,146561,3
31,145478,0,0,0,0,0,6676,0,108285,2904,27611
32,148714,25299,51403,0,0,0,0,72011,0,0,0
33,150441,0,0,0,0,0,0,37766,0,112674,0
34,154347,0,0,0,0,0,0,150515,0,3832,0
35,153159,0,0,3478,0,0,90342,0,0,0,59338
36,153688,0,0,0,0,0,0,153688,0,0,0
37,149031,0,0,0,0,0,0,14702,0,134328,0
38,142772,45087,97685,0,0,0,0,0,0,0,0
39,160192,74057,47121,0,0,0,0,0,39013,0,0
40,140766,0,140766,0,0,0,0,0,0,0,0
41,149893,6058,0,0,0,0,0,0,37566,106268,0
42,148504,0,148504,0,0,0,0,0,0,0,0
43,139640,0,0,0,0,0,0,136328,0,3311,0
44,152272,143887,7192,0,0,0,0,0,1192,0,0
45,152203,80488,0,0,0,0,0,0,71714,0,0
46,156224,0,0,0,0,0,0,156224,0,0,0
47,148173,0,0,0,0,0,0,0,74932,73240,0
48,136050,121030,0,0,0,0,0,0,1885,13135,0
49,147013,0,0,147013,0,0,0,0,0,0,0
