NAME,TotalPopulation,1,2,3,4,5,6,7,8
1,58679,0,0,0,0,0,927,0,57752
2,60913,0,0,0,0,0,19027,0,41885
3,64327,0,0,0,0,0,2,0,64325
4,56277,0,0,0,0,0,0,0,56277
5,56000,0,0,0,0,0,0,0,56000
6,62048,0,0,0,0,0,0,0,62048
7,56027,0,0,0,47563,8463,0,0,0
8,55571,0,0,0,55571,0,0,0,0
9,66223,0,0,0,66216,6,0,0,0
10,63876,0,0,0,63876,0,0,0,0
11,59569,0,0,0,53353,0,6215,0,0
12,64135,0,0,0,54316,9818,0,0,0
13,55981,0,0,0,23311,32669,0,0,0
14,62893,0,0,0,62893,0,0,0,0
15,57690,0,0,0,10933,46756,0,0,0
16,58893,0,0,0,58893,0,0,0,0
17,63522,0,0,0,63522,0,0,0,0
18,62738,0,0,0,62731,6,0,0,0
19,56513,0,0,0,56512,0,0,0,0
20,64783,28190,0,0,32872,3720,0,0,0
21,58745,58743,0,0,1,0,0,0,0
22,56785,0,0,0,2,56783,0,0,0
23,55432,0,0,0,25009,0,30422,0,0
24,60982,0,0,0,0,56718,4263,0,0
25,55642,0,0,0,0,0,51425,0,4216
26,53349,0,0,0,0,0,53349,0,0
27,61696,0,0,0,0,0,61696,0,0
28,54413,0,0,0,0,0,0,54413,0
29,53606,0,0,14611,0,0,0,38995,0
30,54643,0,0,13515,0,0,0,41128,0
31,61871,54977,6894,0,0,0,0,0,0
32,56703,51231,0,0,0,5471,0,0,0
33,58290,4128,0,0,0,54161,0,0,0
34,55929,0,0,0,0,0,0,55929,0
35,61180,0,0,0,0,0,0,58093,3086
36,61079,0,0,0,0,0,0,10194,50885
37,53956,0,49501,0,0,3032,1422,0,0
38,58759,0,9984,0,0,48774,0,0,0
39,61406,0,0,0,0,17136,44270,0,0
40,56029,0,0,0,0,0,11900,0,44128
41,55115,0,927,13264,0,0,40922,0,0
42,59170,0,11861,0,0,111,47197,0,0
43,66833,27678,31499,0,0,7655,0,0,0
44,48104,46246,1857,0,0,0,0,0,0
45,56855,29328,27527,0,0,0,0,0,0
46,48214,0,48214,0,0,0,0,0,0
47,64382,0,64382,0,0,0,0,0,0
48,56935,0,56935,0,0,0,0,0,0
49,60333,0,5850,54483,0,0,0,0,0
50,60908,0,19898,38259,0,0,0,2750,0
51,57018,0,55015,2002,0,0,0,0,0
52,59075,0,0,0,0,0,59075,0,0
53,60520,0,0,0,0,0,59890,0,628
54,57516,0,0,0,0,0,57516,0,0
55,56799,0,0,0,0,0,45394,0,11405
56,50646,0,0,0,0,0,2338,0,48307
57,59650,0,0,0,0,0,17329,0,42320
58,47850,0,0,0,0,47850,0,0,0
59,61829,0,0,0,0,27507,27812,0,6509
60,67200,0,0,0,0,19819,47380,0,0
61,66117,66117,0,0,0,0,0,0,0
62,59954,59953,0,0,0,0,0,0,0
63,61900,61900,0,0,0,0,0,0,0
64,58641,58641,0,0,0,0,0,0,0
65,54973,54973,0,0,0,0,0,0,0
66,54181,54181,0,0,0,0,0,0,0
67,64929,0,0,35629,0,0,0,29299,0
68,51809,0,0,48146,0,0,0,3662,0
69,55845,0,0,0,0,0,0,55845,0
70,67389,0,0,48368,0,0,0,19021,0
71,55232,0,0,55231,0,0,0,0,0
72,55048,0,0,41710,0,0,13337,1,0
73,53747,0,0,0,0,0,0,53747,0
74,58305,0,0,0,0,0,0,58305,0
75,62147,0,0,2312,0,0,0,59835,0
76,53232,0,53232,0,0,0,0,0,0
77,62159,0,62159,0,0,0,0,0,0
78,41772,0,41772,0,0,0,0,0,0
79,59377,0,59376,0,0,0,0,0,0
80,61527,0,61527,0,0,0,0,0,0
81,62647,0,43796,1,0,0,18849,0,0
82,58251,47907,0,0,22,10321,0,0,0
83,59512,13601,0,0,0,45910,0,0,0
84,62115,13,0,0,13823,48278,0,0,0
85,47591,0,0,0,0,0,0,47591,0
86,68258,0,0,4605,0,0,0,63652,0
87,60316,0,0,0,0,0,0,60316,0
88,51695,0,0,0,0,0,0,0,51695
89,54849,0,0,0,0,0,0,0,54849
90,57492,0,0,0,0,0,0,0,57492
91,52285,0,0,52281,0,0,0,3,0
92,56819,0,0,54378,0,0,0,2440,0
93,66207,0,0,66170,0,0,0,36,0
94,54840,0,0,54840,0,0,0,0,0
95,55686,0,0,55686,0,0,0,0,0
96,64551,0,0,64511,0,0,0,40,0
97,62689,0,0,0,0,62689,0,0,0
98,57401,0,0,0,0,57401,0,0,0
99,54753,0,0,0,0,54753,0,0,0
