NAME,TotalPopulation,1,2,3,4,5,6,7,8
1,185452,0,0,0,0,0,19852,0,165599
2,179042,0,0,0,0,0,0,0,179042
3,179151,0,0,0,170597,8553,0,0,0
4,189389,0,0,0,173216,9973,6198,0,0
5,177590,0,0,0,96027,81562,0,0,0
6,179622,0,0,0,179615,6,0,0,0
7,178626,87089,0,0,87808,3727,0,0,0
8,177503,0,0,0,24773,116250,36479,0,0
9,170456,0,0,0,0,0,166196,0,4259
10,167481,0,0,30518,0,0,0,136962,0
11,176933,110418,6512,0,0,60002,0,0,0
12,177486,0,0,0,0,0,0,124062,53424
13,179107,0,64848,0,0,68927,45330,0,0
14,172362,0,14736,13377,0,106,100410,0,43730
15,174874,105291,61674,0,0,7908,0,0,0
16,171609,0,171609,0,0,0,0,0,0
17,177823,0,80341,94830,0,0,0,2650,0
18,176791,0,0,0,0,0,176138,0,652
19,168223,0,0,0,0,0,66390,0,101833
20,176283,0,0,0,0,95408,74533,0,6342
21,187071,187071,0,0,0,0,0,0,0
22,168102,168102,0,0,0,0,0,0,0
23,172959,0,0,83374,0,0,0,89584,0
24,178063,0,0,145544,0,0,13470,19048,0
25,174004,0,0,2317,0,0,0,171686,0
26,160380,0,160380,0,0,0,0,0,0
27,184952,0,165781,1,0,0,19169,0,0
28,178937,61161,0,0,14324,103451,0,0,0
29,175890,0,0,4710,0,0,0,171179,0
30,163820,0,0,0,0,0,0,0,163820
31,176144,0,0,173651,0,0,0,2493,0
32,175815,0,0,175775,0,0,0,39,0
33,175020,0,0,0,0,175020,0,0,0
