NAME,TotalPopulation,1,2
1,18904,0,18904
2,20046,0,20046
3,18166,0,18166
4,21569,0,21569
5,15580,0,15580
6,13673,0,13673
7,21864,0,21864
8,19924,0,19924
9,19330,3,19327
10,19545,0,19545
11,15414,0,15414
12,18065,0,18065
13,16220,0,16220
14,16571,1141,15430
15,18251,18250,1
16,18612,18612,0
17,20246,20246,0
18,16793,16793,0
19,21927,21927,0
20,14505,14505,0
21,18979,18979,0
22,17093,17093,0
23,16482,16482,0
24,16375,16375,0
25,18861,18861,0
26,18108,18108,0
27,17414,17414,0
28,18058,18058,0
29,17697,17697,0
30,19032,19032,0
31,23109,23109,0
32,18716,18716,0
33,14613,14613,0
34,17950,17950,0
35,19430,19430,0
36,19072,19072,0
37,20409,20409,0
38,17403,17403,0
39,16107,16107,0
40,17603,17603,0
41,23986,23986,0
42,20060,20060,0
43,16209,16209,0
44,15750,15750,0
45,19485,19485,0
46,15631,15631,0
47,17262,17262,0
48,18772,18771,1
49,17846,17846,0
50,17754,17754,0
51,17803,17803,0
52,12706,12706,0
53,20799,20799,0
54,16080,16080,0
55,23607,23607,0
56,20076,20076,0
57,16374,16374,0
58,14647,14647,0
59,14822,14822,0
60,24162,24162,0
61,18733,18733,0
62,19462,19460,1
63,15351,15349,1
64,16833,1,16831
65,19230,0,19229
66,20516,4992,15523
67,15884,3256,12627
68,18641,0,18641
69,24900,0,24900
70,9780,0,9780
71,17574,0,17574
72,18860,0,18860
73,18093,0,18093
74,19574,0,19574
75,16709,0,16709
76,18604,0,18604
77,18837,0,18837
78,23068,0,23068
79,13486,0,13486
80,15503,0,15503
81,19031,0,19031
82,15977,0,15977
83,15745,0,15745
84,18520,0,18520
85,17884,0,17884
86,17262,2992,14269
87,13581,0,13581
88,23842,0,23842
89,16522,0,16522
90,18710,0,18710
91,18122,0,18122
92,17252,0,17252
93,15472,0,15472
94,15579,0,15579
95,18518,0,18518
96,17611,0,17611
97,20508,0,20508
98,15939,0,15939
99,17906,0,17906
100,15835,0,15835
