candidate_id,candidate_last_name,final_voteshare
S8AL00365,Kennedy,36.8
H4AL01123,Byrne,63.2
H8AL02197,Isner,38.5
H0AL02087,Roby,61.5
H8AL03054,Hagan,36.2
H2AL03032,Rogers,63.8
H8AL04094,Auman,20.1
H6AL04098,Aderholt,79.9
H8AL05190,Joffrion,38.9
H0AL05163,Brooks,61.1
H8AL06099,Kline,30.8
H4AL06098,Palmer,69.2
H0AL07086,Sewell,0.0
H6AK00045,Young,53.3
H6AZ01199,O'Halleran,53.8
H2AZ09035,Rogers,46.2
H8AZ02151,Kirkpatrick,54.7
H8AZ02185,Marquez Peterson,45.3
H2AZ07070,Grijalva,63.9
H8AZ03159,Pierson,36.1
H8AZ04140,Brill,30.5
H0AZ01259,Gosar,68.2
H8AZ05154,Greene,40.6
H6AZ05083,Biggs,59.4
H8AZ06103,Malik,44.8
H4AZ06045,Schweikert,55.2
H4AZ07043,Gallego,85.8
H8AZ08083,Tipirneni,44.5
H8AZ08158,Lesko,55.5
H8AZ09040,Stanton,61.1
H8AZ09024,Ferrara,38.9
H8AR01029,Desai,28.8
H0AR01083,Crawford,68.9
H8AR02159,Tucker,45.8
H4AR02141,Hill,52.1
H8AR03074,Mahony,32.6
H0AR03055,Womack,64.8
H8AR04130,Shamel,31.3
H4AR04048,Westerman,66.8
H8CA01257,Denney,45.1
H2CA02142,LaMalfa,54.9
H2CA06259,Huffman,77.0
H4CA02098,Mensing,23.0
H0CA10149,Garamendi,58.0
H6CA03067,Schaupp,42.0
H8CA04210,Morse,45.9
H8CA04152,McClintock,54.1
H8CA01109,Thompson,79.0
H6CA05195,Matsui,80.4
H0CA03078,Bera,55.0
H8CA07056,Grant,45.0
H2CA08164,Cook,60.0
H4CA11081,McNerney,56.5
H8CA09144,Livengood,43.5
H8CA10126,Harder,52.2
H0CA19173,Denham,47.8
H0CA10073,DeSaulnier,74.1
H0CA07111,Fitzgerald,25.9
H8CA05035,Pelosi,86.8
H8CA12270,Remmer,13.2
H8CA09060,Lee,88.4
H8CA12171,Speier,79.2
H8CA14185,Osmena,20.8
H2CA15094,Swalwell,73.0
H8CA15117,Peters,27.0
H4CA20082,Costa,57.5
H8CA16065,Heng,42.5
H4CA12055,Khanna,75.3
H6CA17141,Cohen,24.7
H8CA12098,Eshoo,74.5
H8CA18087,Russell,25.5
H4CA16049,Lofgren,73.8
H8CA19051,Aguilera,26.2
H6CA20152,Panetta,81.4
H8CA10167,Cox,50.4
H2CA20094,Valadao,49.6
H8CA22139,Janz,47.3
H8CA20059,Nunes,52.7
H8CA23103,Matta,36.3
H6CA22125,McCarthy,63.7
H6CA24303,Carbajal,58.1
H4CA24142,Fareed,41.9
H8CA25074,Hill,54.4
H4CA25123,Knight,45.6
H2CA00120,Brownley,61.9
H8CA26114,Sabato,38.1
H0CA32101,Chu,79.2
H0CA27085,Schiff,78.4
H8CA28185,Nalbandian,21.6
H2CA28113,Cardenas,80.6
H6CA29203,Bernal,19.4
H6CA24113,Sherman,73.4
H6CA30185,Reed,26.6
H2CA31125,Aguilar,58.7
H6CA31134,Flynn,41.3
H8CA34068,Napolitano,68.8
H8CA32088,Scott,31.2
H4CA33119,Lieu,70.0
H6CA33106,Wright,30.0
H8CA34266,Gomez,72.5
H4CA35031,Torres,69.4
H8CA35115,Valiente,30.6
H2CA36439,Ruiz,58.7
H8CA36170,Pelzer,41.3
H0CA33117,Bass,89.1
H8CA37293,Bassilian,10.9
H2CA39078,Sanchez,68.9
H4CA31105,Downing,31.1
H8CA39174,Cisneros,51.6
H8CA39240,Kim,48.4
H2CA33048,Roybal-Allard,77.3
H2CA43245,Takano,64.8
H8CA41170,Smith,35.2
H8CA42228,Peacock,43.3
H2CA37023,Calvert,56.7
H4CA23011,Waters,77.7
H6CA44145,Navarro,22.3
H6CA44103,Barragan,68.3
H8CA45130,Porter,52.1
H4CA45097,Walters,47.9
H6CA46116,Correa,69.1
H8CA46120,Lambert,30.9
H2CA00104,Lowenthal,64.9
H8CA47078,Briscoe,35.1
H8CA48035,Rouda,53.6
H8CA42061,Rohrabacher,46.4
H8CA49058,Levin,56.4
H8CA49082,Harkey,43.6
H8CA50098,Campa-Najjar,48.2
H8CA52052,Hunter,51.8
H2CA50026,Vargas,71.1
H8CA51062,Hidalgo,28.9
H2CA52089,Peters,63.8
H8CA52102,Qudrat,36.2
H0CA49055,Davis,69.0
H8CA53084,Murtaugh,31.0
H6CO01141,DeGette,73.8
H8CO01162,Stockham,23.0
H8CO02160,Neguse,60.3
H8CO02251,Yu,33.6
H8CO03192,Mitsch Bush,43.6
H6CO03139,Tipton,51.5
H8CO04091,McCormick,39.4
H4CO04090,Buck,60.6
H8CO05130,Spaulding,39.3
H6CO05159,Lamborn,57.0
H8CO06229,Crow,54.1
H8CO06138,Coffman,42.9
H6CO07023,Perlmutter,60.4
H8CO07094,Barrington,35.4
H8CT01046,Larson,63.7
H8CT01145,Nye,35.2
H2CT02112,Courtney,62.1
H8CT02101,Postemski,35.5
H0CT03072,DeLauro,64.4
H6CT03145,Cadena,35.6
H8CT04172,Himes,60.9
H8CT04214,Arora,39.1
H8CT05245,Hayes,55.8
H8CT05187,Santos,44.2
H6DE00206,Rochester,64.5
H6DE00214,Walker,35.5
H8FL01115,Zimmerman,32.9
H6FL01119,Gaetz,67.1
H8FL02097,Rackleff,32.6
H6FL02208,Dunn,67.4
H8FL03038,Hayes Hinson,42.4
H2FL06109,Yoho,57.6
H8FL04085,Selmont,32.4
H6FL04105,Rutherford,65.2
H0FL02086,Lawson,66.8
H8FL05157,Fuller,33.2
H8FL06098,Soderberg,43.7
H8FL06148,Waltz,56.3
H6FL07140,Murphy,57.7
H8FL07062,Miller,42.3
H8FL08102,Patel,39.5
H8FL15107,Posey,60.5
H6FL09179,Soto,58.0
H6FL09195,Liebnitzky,42.0
H2FL08063,Demings,0.0
H8FL11130,Cottrell,34.8
H0FL08208,Webster,65.2
H8FL12088,Hunter,39.7
H6FL09070,Bilirakis,58.1
H6FL13205,Crist,57.6
H8FL13136,Buck,42.4
H6FL11126,Castor,0.0
H8FL15271,Carlson,47.0
H8FL15230,Spano,53.0
H8FL16055,Shapiro,45.4
H6FL13148,Buchanan,54.6
H8FL17079,Freeman-Allen Ellison,37.7
H8FL17053,Steube,62.3
H8FL18028,Baer,45.7
H6FL18097,Mast,54.3
H8FL19067,Holden,37.7
H6FL19087,Rooney,62.3
H2FL23021,Hastings,0.0
H2FL14053,Frankel,0.0
H0FL19080,Deutch,62.0
H8FL22061,Kimaz,38.0
H4FL20023,Wasserman Schultz,58.5
H2FL20043,Kaufman,36.0
H0FL17068,Wilson,0.0
