line number,contest name,choice name,party name,total votes,percent of votes,num Precinct total,num Precinct rptg,over votes,under votes
1,President of the United States,Donald J. Trump (I) (Rep),NP,2461837,49.25,159,159,0,0
2,President of the United States,Joseph R. Biden (Dem),NP,2474507,49.51,159,159,0,0
3,President of the United States,Jo Jorgensen (Lib),NP,62138,1.24,159,159,0,0
4,US Senate (Perdue),David A. Perdue (I) (Rep),NP,2462617,49.73,159,159,0,0
5,US Senate (Perdue),Jon Ossoff (Dem),NP,2374519,47.95,159,159,0,0
6,US Senate (Perdue),Shane Hazel (Lib),NP,115039,2.32,159,159,0,0
7,US Senate (Loeffler) - Special,Al Bartell (Ind),NP,14640,0.30,159,159,0,0
8,US Senate (Loeffler) - Special,Allen Buckley (Ind),NP,17954,0.37,159,159,0,0
9,US Senate (Loeffler) - Special,Doug Collins (Rep),NP,980454,19.95,159,159,0,0
10,US Senate (Loeffler) - Special,John Fortuin (Grn),NP,15293,0.31,159,159,0,0
11,US Senate (Loeffler) - Special,Derrick E. Grayson (Rep),NP,51592,1.05,159,159,0,0
12,US Senate (Loeffler) - Special,Michael Todd Greene (Ind),NP,13293,0.27,159,159,0,0
13,US Senate (Loeffler) - Special,Annette Davis Jackson (Rep),NP,44335,0.90,159,159,0,0
14,US Senate (Loeffler) - Special,Deborah Jackson (Dem),NP,324118,6.60,159,159,0,0
15,US Senate (Loeffler) - Special,Jamesia James (Dem),NP,94406,1.92,159,159,0,0
16,US Senate (Loeffler) - Special,A. Wayne Johnson (Rep),NP,36176,0.74,159,159,0,0
17,US Senate (Loeffler) - Special,Tamara Johnson-Shealey (Dem),NP,106767,2.17,159,159,0,0
18,US Senate (Loeffler) - Special,Matt Lieberman (Dem),NP,136021,2.77,159,159,0,0
19,US Senate (Loeffler) - Special,Kelly Loeffler (I) (Rep),NP,1273214,25.91,159,159,0,0
20,US Senate (Loeffler) - Special,Joy Felicia Slade (Dem),NP,44945,0.91,159,159,0,0
21,US Senate (Loeffler) - Special,Brian Slowinski (Lib),NP,35431,0.72,159,159,0,0
22,US Senate (Loeffler) - Special,Valencia Stovall (Ind),NP,13318,0.27,159,159,0,0
23,US Senate (Loeffler) - Special,Ed Tarver (Dem),NP,26333,0.54,159,159,0,0
24,US Senate (Loeffler) - Special,Kandiss Taylor (Rep),NP,40349,0.82,159,159,0,0
25,US Senate (Loeffler) - Special,Raphael Warnock (Dem),NP,1617035,32.90,159,159,0,0
26,US Senate (Loeffler) - Special,Richard Dien Winfield (Dem),NP,28687,0.58,159,159,0,0
27,Public Service Commission District 4,"Lauren Bubba McDonald, Jr. (I) (Rep)",NP,2415248,49.91,159,159,0,0
28,Public Service Commission District 4,Daniel Blackman (Dem),NP,2272969,46.97,159,159,0,0
29,Public Service Commission District 4,Nathan Wilson (Lib),NP,151196,3.12,159,159,0,0
30,Public Service Commission District 1,Jason Shaw (I) (Rep),NP,2445181,50.11,159,159,0,0
31,Public Service Commission District 1,Robert G. Bryant (Dem),NP,2255325,46.22,159,159,0,0
32,Public Service Commission District 1,Elizabeth Melton (Lib),NP,179011,3.67,159,159,0,0
33,US House District 1,"Earl L. """"Buddy"""" Carter (I) (Rep)",NP,189457,58.35,17,17,0,0
34,US House District 1,Joyce Marie Griggs (Dem),NP,135238,41.65,17,17,0,0
35,US House District 2,Don Cole (Rep),NP,111620,40.88,29,29,0,0
36,US House District 2,Sanford Bishop (I) (Dem),NP,161397,59.12,29,29,0,0
37,US House District 3,Drew Ferguson (I) (Rep),NP,241526,65.05,13,13,0,0
38,US House District 3,Val Almonord (Dem),NP,129792,34.95,13,13,0,0
39,US House District 4,Johsie Cruz Ezammudeen (Rep),NP,69393,19.92,4,4,0,0
40,US House District 4,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)",NP,278906,80.08,4,4,0,0
41,US House District 5,Angela Stanton-King (Rep),NP,52646,14.85,3,3,0,0
42,US House District 5,Nikema Williams (Dem),NP,301857,85.15,3,3,0,0
43,US House District 6,Karen Handel (Rep),NP,180329,45.41,3,3,0,0
44,US House District 6,Lucy McBath (I) (Dem),NP,216775,54.59,3,3,0,0
45,US House District 7,Rich McCormick (Rep),NP,180564,48.61,2,2,0,0
46,US House District 7,Carolyn Bourdeaux (Dem),NP,190900,51.39,2,2,0,0
47,US House District 8,Austin Scott (I) (Rep),NP,198701,64.52,24,24,0,0
48,US House District 8,Lindsay Holliday (Dem),NP,109264,35.48,24,24,0,0
49,US House District 9,Andrew Clyde (Rep),NP,292750,78.58,20,20,0,0
50,US House District 9,Devin Pandy (Dem),NP,79797,21.42,20,20,0,0
51,US House District 10,Jody Hice (I) (Rep),NP,235810,62.31,25,25,0,0
52,US House District 10,Tabitha Johnson-Green (Dem),NP,142636,37.69,25,25,0,0
53,US House District 11,Barry Loudermilk (I) (Rep),NP,245259,60.43,4,4,0,0
54,US House District 11,Dana Barrett (Dem),NP,160623,39.57,4,4,0,0
55,US House District 12,Rick W. Allen (I) (Rep),NP,181038,58.38,19,19,0,0
56,US House District 12,Liz Johnson (Dem),NP,129061,41.62,19,19,0,0
57,US House District 13,Becky E. Hites (Rep),NP,81476,22.60,6,6,0,0
58,US House District 13,David Scott (I) (Dem),NP,279045,77.40,6,6,0,0
59,US House District 14,Marjorie Taylor Greene (Rep),NP,229827,74.71,12,12,0,0
60,US House District 14,Kevin Van Ausdal (Dem),NP,77798,25.29,12,12,0,0
61,State Senate District 1,Ben Watson (I) (Rep),NP,72192,100.00,3,3,0,0
62,State Senate District 2,"Lester G. Jackson, III (I) (Dem)",NP,62334,100.00,1,1,0,0
63,State Senate District 3,Sheila McNeill (Rep),NP,63891,100.00,5,5,0,0
64,State Senate District 4,Billy Hickman (I) (Rep),NP,65492,100.00,6,6,0,0
65,State Senate Dist 5/Senador Estatal Dist 5,Sheikh Rahman (I) (Dem),NP,44991,100.00,1,1,0,0
66,State Senate District 6,Harrison Lance (Rep),NP,38891,38.49,2,2,0,0
67,State Senate District 6,"Jennifer """"Jen"""" Jordan (I) (Dem)",NP,62148,61.51,2,2,0,0
68,State Senate District 7,Tyler Harper (I) (Rep),NP,56433,100.00,10,10,0,0
69,State Senate District 8,Russ Goodman (Rep),NP,43324,61.77,7,7,0,0
70,State Senate District 8,Treva Gear (Dem),NP,26819,38.23,7,7,0,0
71,State Senate Dist 9/Senador Estatal Dist 9,"P. K. Martin, IV (I) (Rep)",NP,49879,48.04,1,1,0,0
72,State Senate Dist 9/Senador Estatal Dist 9,Nikki Merritt (Dem),NP,53941,51.96,1,1,0,0
73,State Senate District 10,Emanuel Jones (I) (Dem),NP,84994,100.00,2,2,0,0
74,State Senate District 11,Dean Burke (I) (Rep),NP,57018,100.00,8,8,0,0
75,State Senate District 12,Tracy Taylor (Rep),NP,22546,35.82,11,11,0,0
76,State Senate District 12,Freddie Powell Sims (I) (Dem),NP,40396,64.18,11,11,0,0
77,State Senate District 13,Carden H. Summers (I) (Rep),NP,48153,69.45,9,9,0,0
78,State Senate District 13,Mary Egler (Dem),NP,21178,30.55,9,9,0,0
