Year,StateAbbreviation,DistrictType,DistrictNumber,Candidate,Party,Votes,VotePct,Incumbent
2020,NV,StateLower,1,Daniele Monroe-Moreno,Democrat,25443,100,Y
2020,NV,StateLower,2,Heidi Kasama,Republican,20025,54.27,N
2020,NV,StateLower,2,Radhika “RPK” Kunnel,Democrat,16165,43.81,N
2020,NV,StateLower,3,Selena Torres,Democrat,16123,100,Y
2020,NV,StateLower,4,Richard McArthur,Republican,21854,52.57,N
2020,NV,StateLower,4,Connie Munk,Democrat,19714,47.43,Y
2020,NV,StateLower,5,Brittney Miller,Democrat,15691,54.22,Y
2020,NV,StateLower,5,Mack Miller,Republican,13249,45.78,N
2020,NV,StateLower,6,Shondra Summers-Armstrong,Democrat,12975,80.39,N
2020,NV,StateLower,6,Katie Duncan,Republican,3166,19.61,N
2020,NV,StateLower,7,Cameron “C.H.” Miller,Democrat,17218,68.70,N
2020,NV,StateLower,7,Anthony “Tony” Palmer,Republican ,7845,31.30,N
2020,NV,StateLower,8,Jason Frierson,Democrat,17761,58.34,Y
2020,NV,StateLower,8,Edward “Eddie” Facey,Republican,12684,41.66,N
2020,NV,StateLower,9,Steve Yeager,Democrat,23474,55.16,Y
2020,NV,StateLower,9,Barbara Altman,Republican,19084,44.84,N
2020,NV,StateLower,10,Rochelle Nguyen,Democrat,12366,61.81,Y
2020,NV,StateLower,10,Chris Higsen,Republican,6965,34.81,N
2020,NV,StateLower,10,Jonathan Friedrich,IAP,675,3.37,N
2020,NV,StateLower,11,Beatrice Duran,Democrat,9603,76.83,Y
2020,NV,StateLower,11,Eric Krattiger,Republican,2896,23.17,N
2020,NV,StateLower,12,Susan Martinez,Democrat,18829,54.29,Y
2020,NV,StateLower,12,Jeremy A. Graves,Republican,14783,42.62,N
2020,NV,StateLower,12,John Cardiff Gerhardt,NPP,1072,3.09,N
2020,NV,StateLower,13,Thomas Roberts,Republican,29250,100,Y
2020,NV,StateLower,14,Maggie Carlton,Democrat,12954,74.59,Y
2020,NV,StateLower,14,Robert Wayerski,LPN,4414,25.41,N
2020,NV,StateLower,15,Howard Watts,Democrat,13234,64.73,Y
2020,NV,StateLower,15,Stan Vaughan,Republican,7210,35.27,N
2020,NV,StateLower,16,Cecelia González,Democrat,11472,65.35,N
2020,NV,StateLower,16,Reyna “Alex” Sajdak,Republican,6083,34.65,N
2020,NV,StateLower,17,Clara “Claire” Thomas,Democrat,21555,66.18,N
2020,NV,StateLower,17,Jack Polcyn,Republican,11013,33.82,N
2020,NV,StateLower,18,Venicia Considine,Democrat,16142,61.42,N
2020,NV,StateLower,18,Heather Ann Florian,Republican,10140,38.58,N
2020,NV,StateLower,19,Ann “Annie” Black,Republican,25599,100,N
2020,NV,StateLower,20,David Orentlicher,Democrat,18631,100,N
2020,NV,StateLower,21,Elaine Marzola,Democrat,15807,51.97,N
2020,NV,StateLower,21,Cheryl Arrington,Republican,14610,48.03,N
2020,NV,StateLower,22,Melissa Hardy,Republican,31632,100,Y
2020,NV,StateLower,23,Glen Leavitt,Republican,30418,63.41,Y
2020,NV,StateLower,23,Brent Foutz,Democrat,16189,33.75,N
2020,NV,StateLower,23,Bill Hoge,IAP,1365,2.85,N
2020,NV,StateLower,24,Sarah Peters,Democrat,20191,100,Y
2020,NV,StateLower,25,Jill Tolles,Republican,32513,100,Y
2020,NV,StateLower,26,Lisa Krasner,Republican,28428,59.21,Y
