Year,StateAbbreviation,Office,Candidate,Votes,Votes Pct
2020,OH,State Senator - District 02,Theresa Gavarone (R),122084,62.18%
2020,OH,State Senator - District 02,Joel O'Dorisio (D),74240,37.82%
2020,OH,State Senator - District 04,Kent Keller (WI)*,1126,0.64%
2020,OH,State Senator - District 04,George F. Lang (R),106021,60.53%
2020,OH,State Senator - District 04,Kathy Wyenandt (D),68000,38.82%
2020,OH,State Senator - District 06,Niraj Antani (R),99096,53.17%
2020,OH,State Senator - District 06,Mark Fogel (D),87280,46.83%
2020,OH,State Senator - District 08,Louis W. Blessing III (R),112313,60.10%
2020,OH,State Senator - District 08,Daniel Brown (D),74565,39.90%
2020,OH,State Senator - District 10,Charles Ballard (D),58126,34.69%
2020,OH,State Senator - District 10,Robert D. Hackett (R),109456,65.31%
2020,OH,State Senator - District 12,Matt Huffman (R),129218,79.27%
2020,OH,State Senator - District 12,Ken Poling (D),33800,20.73%
2020,OH,State Senator - District 14,Terry A. Johnson (R),127588,72.73%
2020,OH,State Senator - District 14,Ryan Ottney (D),47843,27.27%
2020,OH,State Senator - District 16,Stephanie L. Kunze (R),106053,50.03%
2020,OH,State Senator - District 16,Crystal Lett (D),105937,49.97%
2020,OH,State Senator - District 18,Jerry Cirino (R),115754,60.51%
2020,OH,State Senator - District 18,Betsy Rader (D),75535,39.49%
2020,OH,State Senator - District 20,Christian N. Johnson (D),53477,30.50%
2020,OH,State Senator - District 20,Tim Schaffer (R),121844,69.50%
2020,OH,State Senator - District 22,Ryan Hunger (D),58924,31.14%
2020,OH,State Senator - District 22,Mark Romanchuk (R),130273,68.86%
2020,OH,State Senator - District 24,Matt Dolan (R),112609,54.34%
2020,OH,State Senator - District 24,Tom Jackson (D),94633,45.66%
2020,OH,State Senator - District 26,Bill Reineke (R),114776,70.57%
2020,OH,State Senator - District 26,Craig Swartz (D),47050,28.93%
2020,OH,State Senator - District 26,Robert Taylor (WI)*,824,0.51%
2020,OH,State Senator - District 28,Michael Downey (R),59701,40.17%
2020,OH,State Senator - District 28,Vernon Sykes (D),88929,59.83%
2020,OH,State Senator - District 30,Michael Fletcher (D),54694,33.16%
