Year,StateAbbreviation,OFFICE NAME,Candidate,PARTY,Votes,Percent,VOTER REGISTRATION COUNT,TURNOUT
2020,TX,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE (I),REP,5890347,52.06%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,DEM,5259126,46.48%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",LIB,126243,1.12%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,GRE,33396,0.3%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,WRI,2012,0.02%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,WRI,2785,0.02%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,WRI,205,0%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,WRI,49,0%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,WRI,337,0%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,WRI,350,0%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,WRI,36,0%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,WRI,56,0%,"16,955,519",66.73%
2020,TX,PRESIDENT/VICE-PRESIDENT,KASEY WELLS/RACHEL WELLS,WRI,114,0%,"16,955,519",66.73%
2020,TX,U. S.  SENATOR,JOHN CORNYN (I),REP,5962983,53.51%,"16,955,519",65.73%
2020,TX,U. S.  SENATOR,"MARY ""MJ"" HEGAR",DEM,4888764,43.87%,"16,955,519",65.73%
2020,TX,U. S.  SENATOR,KERRY DOUGLAS MCKENNON,LIB,209722,1.88%,"16,955,519",65.73%
2020,TX,U. S.  SENATOR,DAVID B. COLLINS,GRE,81893,0.73%,"16,955,519",65.73%
2020,TX,U. S.  SENATOR,RICARDO TURULLOLS-BONILLA,WRI,678,0.01%,"16,955,519",65.73%
2020,TX,U. S. REPRESENTATIVE DISTRICT 1,LOUIE GOHMERT (I),REP,219726,72.58%,"16,955,519",1.79%
2020,TX,U. S. REPRESENTATIVE DISTRICT 1,HANK GILBERT,DEM,83016,27.42%,"16,955,519",1.79%
2020,TX,U. S. REPRESENTATIVE DISTRICT 2,DAN CRENSHAW (I),REP,192828,55.61%,"16,955,519",2.04%
2020,TX,U. S. REPRESENTATIVE DISTRICT 2,SIMA LADJEVARDIAN,DEM,148374,42.79%,"16,955,519",2.04%
2020,TX,U. S. REPRESENTATIVE DISTRICT 2,ELLIOTT ROBERT SCHEIRMAN,LIB,5524,1.59%,"16,955,519",2.04%
2020,TX,U. S. REPRESENTATIVE DISTRICT 3,VAN TAYLOR (I),REP,230512,55.07%,"16,955,519",2.47%
2020,TX,U. S. REPRESENTATIVE DISTRICT 3,LULU SEIKALY,DEM,179458,42.87%,"16,955,519",2.47%
