StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMalePct,OldWhiteMalePct,YoungWhiteFemalePct,OldWhiteFemalePct,YoungNonWhiteMalePct,OldNonWhiteMalePct,YoungNonWhiteFemalePct,OldNonWhiteFemalePct
"AL",1,1,713410,0.17624928161926523,0.15253500791970956,0.1731276545044224,0.17062138181410408,0.10033501072314656,5.2748069132756766e-2,0.10852385024039472,6.585974404620064e-2
"AL",1,2,673776,0.17214623257581155,0.14388313029849684,0.16774714445156846,0.16181490584407873,0.12081908527463134,5.0663722067868254e-2,0.11826185557217828,6.466392391536653e-2
"AL",1,3,710488,0.18841416040805756,0.14846274673182375,0.1842494173019108,0.1656354505635563,0.10221284525565529,4.894382452624112e-2,0.10171600364819672,6.0365551564558445e-2
"AL",1,4,685553,0.23228984484058857,0.18995467892343845,0.2317442998571956,0.2127027377897843,4.530940715014011e-2,1.8073000920424825e-2,4.54319359699396e-2,2.4494094548488592e-2
"AL",1,5,718713,0.2054394452305719,0.16868485751614343,0.19646507020187473,0.1871678959473392,8.240841615498815e-2,3.536460311696046e-2,8.088625084004326e-2,4.35834609920789e-2
"AL",1,6,700401,0.20829781796428049,0.1678795432902009,0.21511962432949125,0.1917344492654922,7.281971327853615e-2,2.781121100626641e-2,8.07351788475459e-2,3.5602462018186724e-2
"AL",1,7,672406,9.602383084029588e-2,7.060020285363307e-2,8.682551910601631e-2,7.789341558522678e-2,0.2022498312031719,0.10776971056177367,0.211796146970729,0.14684134287915335
"AK",2,0,739795,0.2006515318432809,0.13894930352327334,0.17700038524185754,0.12527389344345394,0.13580383754959144,4.605870545218608e-2,0.12659588129143884,4.966646165491792e-2
"AZ",4,1,765810,0.18500672490565545,0.15238505634556873,0.16755069795380056,0.1597602538488659,0.11980909102780064,4.809678640916154e-2,0.11215575664982176,5.523563285932542e-2
"AZ",4,2,720429,0.2081093348546491,0.19150256305617905,0.19627888383171693,0.220554697270654,6.835649314505662e-2,2.6943668286534828e-2,6.135927343291289e-2,2.6895086122296578e-2
"AZ",4,3,773297,0.22927542716446592,0.11816417236844318,0.22231173792216963,0.12992420764596269,0.11421743521570624,3.787677955559119e-2,0.10361866139400516,4.4611578733656024e-2
"AZ",4,4,771214,0.2044127829629649,0.24035352055330947,0.18657726649153153,0.2546323069861284,3.949617097199999e-2,1.9413547990570712e-2,3.4593511009914236e-2,2.0520893033580817e-2
"AZ",4,5,822497,0.2421905490232791,0.1692869396484121,0.23745375363071233,0.19570770470895335,5.65813613909838e-2,1.9472411449525044e-2,5.5646403573508474e-2,2.3660876574625803e-2
"AZ",4,6,783087,0.21360844963586423,0.2046426514550746,0.20814545510268975,0.22362904760262908,5.507306340163992e-2,1.6991726334366426e-2,5.725928281276538e-2,2.0650323654970652e-2
"AZ",4,7,833654,0.23268766178774408,9.948131958822247e-2,0.22817979641433975,0.10338941575281832,0.12480597466095046,4.3853925009656285e-2,0.12518742787775264,4.2414478908516004e-2
"AZ",4,8,777208,0.2030190116416712,0.19360969007009707,0.2033393891982584,0.22643745303702484,5.918750192998529e-2,2.4609885641938837e-2,5.909614929336805e-2,3.0700919187656328e-2
"AZ",4,9,769074,0.2377911618387827,0.13909194693878613,0.2129587009832604,0.14465448058314284,0.10704821642650772,2.7877681471483888e-2,9.691005026824467e-2,3.366776148979162e-2
"AR",5,1,722287,0.21100199782081083,0.1734282909702099,0.1982660632130995,0.18980543745076403,7.732937184249475e-2,3.6491034727192936e-2,7.45770033241634e-2,3.9100800651264665e-2
"AR",5,2,765193,0.19920725882228404,0.1478646563677399,0.19085119701826855,0.16840195872152516,9.789033616355612e-2,4.0645954680714545e-2,0.10583081653909536,4.9307821686816265e-2
"AR",5,3,807421,0.2476304183319483,0.16045780330211873,0.24093378794953316,0.17989128348160377,7.075119423448238e-2,1.8062448214747943e-2,6.393938230489422e-2,1.8333682180671544e-2
"AR",5,4,709378,0.1957813746690763,0.16994042668365808,0.18522423869925483,0.18995937285903988,8.175613001812856e-2,4.16956826966723e-2,8.243277913890759e-2,5.3209995235262444e-2
"CA",6,1,718214,0.2244651315624591,0.2045629854054641,0.20481221474379505,0.22580874224117045,5.273915573909726e-2,2.179990921925777e-2,4.404258340828778e-2,2.1769277680468494e-2
"CA",6,2,717999,0.18245150759262896,0.20449053550213855,0.17983729782353458,0.22415769381294404,7.788311682885352e-2,2.9823161313595144e-2,6.774939797966292e-2,3.3607289146642266e-2
"CA",6,3,750271,0.20752634714656437,0.13340912816835518,0.19322351523649456,0.14295501225557164,0.11010421567673548,5.2190475174970115e-2,0.10735054400343344,5.3240762337875246e-2
"CA",6,4,748410,0.2081118638179607,0.21368100372790316,0.19604361245841184,0.22981788057348249,5.188198981841504e-2,2.3408292246228674e-2,4.812736334362181e-2,2.89279940139763e-2
"CA",6,5,732438,0.15099708098159845,0.1487743672501973,0.14679604280498826,0.17076121118784116,0.12889964747869445,5.7166613419838946e-2,0.12912219191248953,6.748284496435193e-2
"CA",6,6,764344,0.14271322859864144,9.175711459761575e-2,0.143625121672964,0.10632908742660371,0.1802826999361544,7.302340307505521e-2,0.1789377557748867,8.333158891807876e-2
"CA",6,7,750860,0.17218389579948326,0.1392336787150734,0.15551634126201955,0.1600751138694297,0.12407772420957304,5.3123085528593884e-2,0.12920784167487948,6.658231894094771e-2
"CA",6,8,721449,0.24027200813917543,0.14174529315308498,0.2275739518663135,0.15634646385260773,8.203351865481828e-2,3.5144549372166295e-2,7.78987842522479e-2,3.898543070958585e-2
"CA",6,9,774266,0.1498774323036269,0.10909558213843822,0.1448429867771541,0.1208408996391421,0.16705111679965284,6.741869073419214e-2,0.16538631426409012,7.548697734370359e-2
"CA",6,10,758005,0.23515807943219372,0.13362444838754362,0.22263573459277977,0.14998449878298956,8.925139016233402e-2,4.152874981035745e-2,8.393480254088034e-2,4.388229629092157e-2
"CA",6,11,764135,0.15560470335739104,0.1371249844595523,0.15230947411124998,0.15004416758818795,0.13218999260601855,6.2397351253378e-2,0.1298226098791444,8.050671674507777e-2
"CA",6,12,774736,0.15628420520022304,0.10087049007661963,0.13541257925280353,8.469852956361909e-2,0.15240933685797484,0.10154039569608228,0.15658624357200387,0.11219821978067368
"CA",6,13,766731,0.119916893930205,8.367471773020785e-2,0.1161567746706472,9.413470956567559e-2,0.1880385689374761,9.223573847933629e-2,0.19240646328373315,0.1134361334027188
"CA",6,14,756389,0.11465000152038173,0.10021562978837607,0.10480982668970595,0.10384207068056252,0.17974349177473495,9.614497302314019e-2,0.17872153085251108,0.12187247567058748
"CA",6,15,785387,0.11278770848002324,0.10096041823967038,0.10538116877412028,0.1028817640220681,0.1921664096808325,9.306367434143932e-2,0.18962244091129596,0.10313641555055024
"CA",6,16,729788,0.19245726156089168,9.471517755841424e-2,0.18801213503099531,0.10561834395742326,0.15469972101487006,5.5908017122780866e-2,0.1504245068430832,5.816483691154144e-2
"CA",6,17,771078,7.859127092200789e-2,6.519833272379709e-2,6.370561733054243e-2,6.887370668077679e-2,0.2479826943577693,0.11676769405948556,0.23103239879752763,0.1278482851280934
"CA",6,18,742728,0.16415699960146918,0.15089642507082002,0.1537130685796146,0.15728234293038637,0.13068848892192028,5.876040757854828e-2,0.11924553807046456,6.525672924677675e-2
"CA",6,19,770105,0.12532057316859388,9.120055057427233e-2,0.12007972938755104,9.167451191720609e-2,0.19155829399887028,9.271073425052428e-2,0.18308931898896905,0.10436628771401302
"CA",6,20,744295,0.1649990931015256,0.12624698540229343,0.15413780826150922,0.13334900812177966,0.15970952377753445,5.1963267252903754e-2,0.15030465070973204,5.9289663372721846e-2
"CA",6,21,723549,0.2658700378274312,0.10738733658674118,0.24046332729365943,0.1026191729931214,0.1114879572772542,4.375930310179407e-2,9.105948595050231e-2,3.735337896949619e-2
"CA",6,22,760328,0.22449390263149588,0.12225776243936828,0.22371792173903893,0.14077740133205668,0.1072379288938458,3.6981408023905475e-2,0.10323439357750866,4.1299281362780264e-2
"CA",6,23,745328,0.24147086920121075,0.14113517806925274,0.21863126033102204,0.15090000644011764,9.1542247171715e-2,3.749758495588519e-2,8.191829637421376e-2,3.690455745658287e-2
"CA",6,24,740039,0.238423920901466,0.16258332331133898,0.22311932208978175,0.18236741577133095,7.189891343564325e-2,2.8693082391603685e-2,6.420202178533833e-2,2.871200031349699e-2
"CA",6,25,721740,0.18915953113309503,0.13522321057444509,0.17522237925014547,0.13364923656718486,0.12281708094327597,5.640812480948818e-2,0.12403497104220355,6.348546568016183e-2
"CA",6,26,732091,0.23568381526340304,0.16286090117212204,0.22668493397678705,0.17835897449907184,6.314788735280177e-2,3.2165400202980234e-2,6.444007643858482e-2,3.665801109424921e-2
"CA",6,27,717980,9.634530209755146e-2,8.834507925011838e-2,9.07894370316722e-2,9.484943870302795e-2,0.1812459957101869,0.1223808462631271,0.17732527368450374,0.14871862725981225
"CA",6,28,719156,0.19450161022087,0.1506168341778418,0.16748660930312756,0.16934573305374634,9.9979698424264e-2,5.542469227817052e-2,9.521856175850582e-2,6.742626078347398e-2
"CA",6,29,713745,0.17958094277367967,0.10560494294180696,0.170884559611626,0.11043299777931896,0.14719822905939797,6.589748439568753e-2,0.14423498588431444,7.616585755416849e-2
"CA",6,30,771201,0.1693371766893456,0.14466915888335208,0.1592645756424071,0.1577007809896512,0.12321301450594592,5.684639931742827e-2,0.12391451774569796,6.505437622617191e-2
"CA",6,31,762208,0.1890704374658886,0.10292990889625928,0.18222978504555187,0.11982031151601664,0.14100219362693647,5.560949242201604e-2,0.1451126201771695,6.422525085016163e-2
"CA",6,32,725317,0.12524179083076778,8.35924154542083e-2,0.12647435535083282,9.819844288773048e-2,0.1858373649038972,9.663085244107061e-2,0.1709804127023081,0.11304436542918476
"CA",6,33,705588,0.18159747614755353,0.17186233325963593,0.18390193710777392,0.18449860258394415,8.395550944743958e-2,4.1429276008095366e-2,9.582645963366723e-2,5.6928405811890216e-2
"CA",6,34,763303,0.1318558947102265,6.2152251465014546e-2,0.1145508402298956,6.1573189152931404e-2,0.21528410080924612,0.10312287518849002,0.1896232557712992,0.1218375926728966
"CA",6,35,745237,0.1513290402918803,8.071392053803018e-2,0.13988704264549398,8.644766698379173e-2,0.20034163628483287,7.778062549229306e-2,0.183732155005723,7.976791275795485e-2
"CA",6,36,737403,0.17148424945382648,0.1805539169219545,0.17159951885197103,0.1839414811168384,8.973926062139699e-2,5.471228080167832e-2,8.365574862049653e-2,6.431354361183776e-2
"CA",6,37,713530,0.1296918139391476,6.807141956189648e-2,0.12972685100836684,7.918237495269996e-2,0.1832508794304374,0.10029991731251664,0.18860314212436757,0.12117360167056744
"CA",6,38,718428,0.1139668832506528,9.135779785865808e-2,0.11325560807763616,9.636317070047382e-2,0.18613695457304005,9.736675073911373e-2,0.18926600856314063,0.11228682623728474
"CA",6,39,736480,0.1434472083423854,0.10995817944818596,0.13720942863349989,0.11107158374972843,0.15729551379535087,9.044373234846839e-2,0.144826743428199,0.10574761025418206
"CA",6,40,738618,0.19018220514528483,7.760980642226428e-2,0.17897749580974198,8.857758679046544e-2,0.1688409976469569,6.465046884857938e-2,0.1570311040348326,7.413033530187459e-2
"CA",6,41,765770,0.13159173119866277,7.21691891821304e-2,0.12065241521605705,8.035310863575225e-2,0.22215939511863875,7.477441007090901e-2,0.21728586912519424,8.101388145265549e-2
