Year,StateFIPS,CongressionalDistrict,StateName,StateAbbreviation,ACSKey,ACSCount
2010,1,1,"Alabama","AL","FemaleWhiteNonHispanic18To24",18341
2010,1,1,"Alabama","AL","FemaleWhiteNonHispanic25To44",54291
2010,1,1,"Alabama","AL","FemaleWhiteNonHispanic45To64",66758
2010,1,1,"Alabama","AL","FemaleWhiteNonHispanic65To74",23195
2010,1,1,"Alabama","AL","FemaleWhiteNonHispanic75AndOver",20092
2010,1,1,"Alabama","AL","MaleWhiteNonHispanic18To24",18586
2010,1,1,"Alabama","AL","MaleWhiteNonHispanic25To44",55195
2010,1,1,"Alabama","AL","MaleWhiteNonHispanic45To64",63196
2010,1,1,"Alabama","AL","MaleWhiteNonHispanic65To74",20775
2010,1,1,"Alabama","AL","MaleWhiteNonHispanic75AndOver",13433
2010,1,1,"Alabama","AL","Female18To24",30667
2010,1,1,"Alabama","AL","Female25To44",87456
2010,1,1,"Alabama","AL","Female45To64",97510
2010,1,1,"Alabama","AL","Female65To74",30327
2010,1,1,"Alabama","AL","Female75AndOver",25701
2010,1,1,"Alabama","AL","Male18To24",31233
2010,1,1,"Alabama","AL","Male25To44",85125
2010,1,1,"Alabama","AL","Male45To64",89826
2010,1,1,"Alabama","AL","Male65To74",26275
2010,1,1,"Alabama","AL","Male75AndOver",16580
2010,1,2,"Alabama","AL","FemaleWhiteNonHispanic18To24",17452
2010,1,2,"Alabama","AL","FemaleWhiteNonHispanic25To44",51770
2010,1,2,"Alabama","AL","FemaleWhiteNonHispanic45To64",61757
2010,1,2,"Alabama","AL","FemaleWhiteNonHispanic65To74",22029
2010,1,2,"Alabama","AL","FemaleWhiteNonHispanic75AndOver",20070
2010,1,2,"Alabama","AL","MaleWhiteNonHispanic18To24",18248
2010,1,2,"Alabama","AL","MaleWhiteNonHispanic25To44",51875
2010,1,2,"Alabama","AL","MaleWhiteNonHispanic45To64",59081
2010,1,2,"Alabama","AL","MaleWhiteNonHispanic65To74",19062
2010,1,2,"Alabama","AL","MaleWhiteNonHispanic75AndOver",12955
2010,1,2,"Alabama","AL","Female18To24",34904
2010,1,2,"Alabama","AL","Female25To44",88115
2010,1,2,"Alabama","AL","Female45To64",90356
2010,1,2,"Alabama","AL","Female65To74",28884
2010,1,2,"Alabama","AL","Female75AndOver",25440
2010,1,2,"Alabama","AL","Male18To24",32686
2010,1,2,"Alabama","AL","Male25To44",84939
2010,1,2,"Alabama","AL","Male45To64",84401
2010,1,2,"Alabama","AL","Male65To74",23170
2010,1,2,"Alabama","AL","Male75AndOver",15213
2010,1,3,"Alabama","AL","FemaleWhiteNonHispanic18To24",24956
2010,1,3,"Alabama","AL","FemaleWhiteNonHispanic25To44",52131
2010,1,3,"Alabama","AL","FemaleWhiteNonHispanic45To64",61763
2010,1,3,"Alabama","AL","FemaleWhiteNonHispanic65To74",20330
2010,1,3,"Alabama","AL","FemaleWhiteNonHispanic75AndOver",17924
2010,1,3,"Alabama","AL","MaleWhiteNonHispanic18To24",25398
2010,1,3,"Alabama","AL","MaleWhiteNonHispanic25To44",52382
2010,1,3,"Alabama","AL","MaleWhiteNonHispanic45To64",60396
2010,1,3,"Alabama","AL","MaleWhiteNonHispanic65To74",18802
2010,1,3,"Alabama","AL","MaleWhiteNonHispanic75AndOver",10860
2010,1,3,"Alabama","AL","Female18To24",42915
2010,1,3,"Alabama","AL","Female25To44",89081
2010,1,3,"Alabama","AL","Female45To64",91878
2010,1,3,"Alabama","AL","Female65To74",27859
2010,1,3,"Alabama","AL","Female75AndOver",24702
2010,1,3,"Alabama","AL","Male18To24",43192
2010,1,3,"Alabama","AL","Male25To44",82285
2010,1,3,"Alabama","AL","Male45To64",88698
2010,1,3,"Alabama","AL","Male65To74",24569
2010,1,3,"Alabama","AL","Male75AndOver",14543
2010,1,4,"Alabama","AL","FemaleWhiteNonHispanic18To24",20911
2010,1,4,"Alabama","AL","FemaleWhiteNonHispanic25To44",69124
2010,1,4,"Alabama","AL","FemaleWhiteNonHispanic45To64",84811
2010,1,4,"Alabama","AL","FemaleWhiteNonHispanic65To74",30836
2010,1,4,"Alabama","AL","FemaleWhiteNonHispanic75AndOver",25488
2010,1,4,"Alabama","AL","MaleWhiteNonHispanic18To24",22788
2010,1,4,"Alabama","AL","MaleWhiteNonHispanic25To44",68432
2010,1,4,"Alabama","AL","MaleWhiteNonHispanic45To64",81128
2010,1,4,"Alabama","AL","MaleWhiteNonHispanic65To74",25941
2010,1,4,"Alabama","AL","MaleWhiteNonHispanic75AndOver",16711
2010,1,4,"Alabama","AL","Female18To24",26675
2010,1,4,"Alabama","AL","Female25To44",80748
2010,1,4,"Alabama","AL","Female45To64",92599
2010,1,4,"Alabama","AL","Female65To74",32189
2010,1,4,"Alabama","AL","Female75AndOver",27151
2010,1,4,"Alabama","AL","Male18To24",28779
2010,1,4,"Alabama","AL","Male25To44",80964
2010,1,4,"Alabama","AL","Male45To64",88632
2010,1,4,"Alabama","AL","Male65To74",27275
2010,1,4,"Alabama","AL","Male75AndOver",17673
2010,1,5,"Alabama","AL","FemaleWhiteNonHispanic18To24",21475
2010,1,5,"Alabama","AL","FemaleWhiteNonHispanic25To44",65656
2010,1,5,"Alabama","AL","FemaleWhiteNonHispanic45To64",78626
2010,1,5,"Alabama","AL","FemaleWhiteNonHispanic65To74",25834
2010,1,5,"Alabama","AL","FemaleWhiteNonHispanic75AndOver",22334
2010,1,5,"Alabama","AL","MaleWhiteNonHispanic18To24",22401
2010,1,5,"Alabama","AL","MaleWhiteNonHispanic25To44",64178
2010,1,5,"Alabama","AL","MaleWhiteNonHispanic45To64",77633
2010,1,5,"Alabama","AL","MaleWhiteNonHispanic65To74",22849
2010,1,5,"Alabama","AL","MaleWhiteNonHispanic75AndOver",14129
2010,1,5,"Alabama","AL","Female18To24",34914
2010,1,5,"Alabama","AL","Female25To44",93806
2010,1,5,"Alabama","AL","Female45To64",100318
2010,1,5,"Alabama","AL","Female65To74",29941
2010,1,5,"Alabama","AL","Female75AndOver",25728
2010,1,5,"Alabama","AL","Male18To24",35390
2010,1,5,"Alabama","AL","Male25To44",91807
2010,1,5,"Alabama","AL","Male45To64",96984
2010,1,5,"Alabama","AL","Male65To74",26356
2010,1,5,"Alabama","AL","Male75AndOver",15572
2010,1,6,"Alabama","AL","FemaleWhiteNonHispanic18To24",25449
2010,1,6,"Alabama","AL","FemaleWhiteNonHispanic25To44",79128
2010,1,6,"Alabama","AL","FemaleWhiteNonHispanic45To64",88630
2010,1,6,"Alabama","AL","FemaleWhiteNonHispanic65To74",27702
2010,1,6,"Alabama","AL","FemaleWhiteNonHispanic75AndOver",24856
2010,1,6,"Alabama","AL","MaleWhiteNonHispanic18To24",23347
2010,1,6,"Alabama","AL","MaleWhiteNonHispanic25To44",78489
2010,1,6,"Alabama","AL","MaleWhiteNonHispanic45To64",83381
2010,1,6,"Alabama","AL","MaleWhiteNonHispanic65To74",22417
2010,1,6,"Alabama","AL","MaleWhiteNonHispanic75AndOver",15949
2010,1,6,"Alabama","AL","Female18To24",34023
2010,1,6,"Alabama","AL","Female25To44",102505
2010,1,6,"Alabama","AL","Female45To64",104580
2010,1,6,"Alabama","AL","Female65To74",29710
2010,1,6,"Alabama","AL","Female75AndOver",26612
2010,1,6,"Alabama","AL","Male18To24",30839
2010,1,6,"Alabama","AL","Male25To44",102136
2010,1,6,"Alabama","AL","Male45To64",97212
2010,1,6,"Alabama","AL","Male65To74",23991
2010,1,6,"Alabama","AL","Male75AndOver",17134
2010,1,7,"Alabama","AL","FemaleWhiteNonHispanic18To24",16183
2010,1,7,"Alabama","AL","FemaleWhiteNonHispanic25To44",23014
2010,1,7,"Alabama","AL","FemaleWhiteNonHispanic45To64",28066
2010,1,7,"Alabama","AL","FemaleWhiteNonHispanic65To74",8490
2010,1,7,"Alabama","AL","FemaleWhiteNonHispanic75AndOver",11163
2010,1,7,"Alabama","AL","MaleWhiteNonHispanic18To24",15898
2010,1,7,"Alabama","AL","MaleWhiteNonHispanic25To44",24355
2010,1,7,"Alabama","AL","MaleWhiteNonHispanic45To64",27761
2010,1,7,"Alabama","AL","MaleWhiteNonHispanic65To74",8656
2010,1,7,"Alabama","AL","MaleWhiteNonHispanic75AndOver",6124
2010,1,7,"Alabama","AL","Female18To24",40479
2010,1,7,"Alabama","AL","Female25To44",81854
2010,1,7,"Alabama","AL","Female45To64",85315
2010,1,7,"Alabama","AL","Female65To74",20950
2010,1,7,"Alabama","AL","Female75AndOver",23907
2010,1,7,"Alabama","AL","Male18To24",41653
2010,1,7,"Alabama","AL","Male25To44",71926
2010,1,7,"Alabama","AL","Male45To64",72491
2010,1,7,"Alabama","AL","Male65To74",18131
2010,1,7,"Alabama","AL","Male75AndOver",12391
2010,2,0,"Alaska","AK","FemaleWhiteNonHispanic18To24",18722
2010,2,0,"Alaska","AK","FemaleWhiteNonHispanic25To44",60926
2010,2,0,"Alaska","AK","FemaleWhiteNonHispanic45To64",67493
2010,2,0,"Alaska","AK","FemaleWhiteNonHispanic65To74",12373
2010,2,0,"Alaska","AK","FemaleWhiteNonHispanic75AndOver",7940
2010,2,0,"Alaska","AK","MaleWhiteNonHispanic18To24",23180
2010,2,0,"Alaska","AK","MaleWhiteNonHispanic25To44",69192
2010,2,0,"Alaska","AK","MaleWhiteNonHispanic45To64",78345
2010,2,0,"Alaska","AK","MaleWhiteNonHispanic65To74",13861
2010,2,0,"Alaska","AK","MaleWhiteNonHispanic75AndOver",6501
2010,2,0,"Alaska","AK","Female18To24",35166
2010,2,0,"Alaska","AK","Female25To44",92511
2010,2,0,"Alaska","AK","Female45To64",95993
2010,2,0,"Alaska","AK","Female65To74",16824
2010,2,0,"Alaska","AK","Female75AndOver",10985
2010,2,0,"Alaska","AK","Male18To24",39857
2010,2,0,"Alaska","AK","Male25To44",104639
2010,2,0,"Alaska","AK","Male45To64",104095
2010,2,0,"Alaska","AK","Male65To74",17373
2010,2,0,"Alaska","AK","Male75AndOver",8157
2010,4,1,"Arizona","AZ","FemaleWhiteNonHispanic18To24",17497
2010,4,1,"Arizona","AZ","FemaleWhiteNonHispanic25To44",43556
2010,4,1,"Arizona","AZ","FemaleWhiteNonHispanic45To64",71164
2010,4,1,"Arizona","AZ","FemaleWhiteNonHispanic65To74",28987
