ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",17921,-0.0226,0.3837,0.554,0.0624,13930,0.5958,0.4042,0.0363,0.0137,0.0805,0.274,0.007,
"2",18048,-0.0156,0.4999,0.4343,0.0658,14188,0.6112,0.3888,0.0414,0.015,0.061,0.2729,0.008,
"3",18195,-0.0076,0.5308,0.4133,0.0559,14154,0.7249,0.2751,0.0457,0.0156,0.0625,0.1519,0.0143,
"4",18122,-0.0116,0.6569,0.2968,0.0463,14513,0.6132,0.3868,0.0582,0.0225,0.1077,0.2,0.0195,
"5",18707,0.0203,0.4334,0.5021,0.0645,14467,0.5563,0.4437,0.0614,0.0199,0.1873,0.1728,0.0121,
"6",18434,0.0054,0.4248,0.5278,0.0473,14788,0.8437,0.1563,0.0259,0.0074,0.0191,0.0845,0.0042,
"7",18465,0.0071,0.2497,0.6989,0.0514,13816,0.7734,0.2266,0.0422,0.0122,0.0309,0.1314,0.0077,
"8",18471,0.0074,0.2436,0.7096,0.0468,14564,0.8168,0.1832,0.0271,0.0111,0.0213,0.1091,0.0056,
"9",18284,-0.0028,0.4545,0.5065,0.0391,13957,0.8075,0.1925,0.0451,0.0185,0.0549,0.0632,0.0055,
"10",18523,0.0103,0.4377,0.5197,0.0426,13986,0.5898,0.4102,0.0974,0.0428,0.137,0.1227,0.024,
"11",18103,-0.0126,0.4219,0.5396,0.0385,13701,0.6627,0.3373,0.0653,0.0402,0.1141,0.112,0.0149,
"12",18217,-0.0064,0.4733,0.4799,0.0468,13822,0.538,0.462,0.0821,0.054,0.1706,0.1401,0.029,
"13",18185,-0.0082,0.4687,0.4809,0.0504,14342,0.5303,0.4697,0.0882,0.0652,0.1468,0.1503,0.0425,
"14",18213,-0.0066,0.5662,0.3864,0.0474,14827,0.5323,0.4677,0.0786,0.0681,0.1322,0.1611,0.0425,
"15",18168,-0.0091,0.442,0.5152,0.0427,13704,0.6273,0.3727,0.0549,0.037,0.1451,0.1201,0.025,
"16",18182,-0.0083,0.534,0.4211,0.0449,14269,0.6334,0.3666,0.0634,0.0371,0.1255,0.1217,0.029,
"17",18203,-0.0072,0.6334,0.3227,0.044,14949,0.559,0.441,0.0797,0.093,0.0916,0.1351,0.0538,
"18",18023,-0.017,0.4523,0.4744,0.0733,14130,0.5337,0.4663,0.129,0.1183,0.0732,0.1398,0.026,
"19",18243,-0.005,0.5883,0.3566,0.0551,13076,0.3399,0.6601,0.1224,0.1274,0.1611,0.1884,0.0997,
"20",18239,-0.0052,0.522,0.4205,0.0575,14234,0.5018,0.4982,0.0828,0.087,0.1457,0.1677,0.0431,
"21",18414,0.0043,0.4838,0.4693,0.0469,14029,0.5635,0.4365,0.0659,0.0939,0.11,0.1446,0.0446,
"22",18285,-0.0027,0.4899,0.45,0.0601,13349,0.4103,0.5897,0.0994,0.1339,0.1503,0.1655,0.0779,
"23",18205,-0.0071,0.3455,0.601,0.0535,13241,0.7691,0.2309,0.0637,0.0355,0.047,0.0772,0.0081,
"24",18032,-0.0165,0.2957,0.6532,0.0511,13509,0.7641,0.2359,0.0583,0.0272,0.04,0.0934,0.0068,
"25",18822,0.0266,0.281,0.6697,0.0493,13846,0.795,0.205,0.0416,0.0185,0.0296,0.1041,0.0091,
"26",18807,0.0258,0.2034,0.7488,0.0478,12876,0.7801,0.2199,0.0431,0.0217,0.0304,0.1123,0.0082,
"27",18799,0.0253,0.2071,0.7431,0.0497,13567,0.7733,0.2267,0.0432,0.019,0.0299,0.1216,0.0098,
"28",18793,0.025,0.2253,0.7225,0.0522,13583,0.7846,0.2154,0.0467,0.0203,0.0305,0.1122,0.0071,
"29",18780,0.0243,0.2705,0.6761,0.0534,13593,0.8022,0.1978,0.0369,0.0141,0.0257,0.1061,0.0054,
"30",18736,0.0219,0.2761,0.6775,0.0464,14973,0.7891,0.2109,0.0275,0.0164,0.0206,0.132,0.0093,
"31",18294,-0.0022,0.4595,0.4795,0.061,14336,0.5485,0.4515,0.0718,0.0902,0.0709,0.2148,0.0138,
"32",18522,0.0102,0.3252,0.6021,0.0727,13792,0.6135,0.3865,0.1286,0.1012,0.0568,0.0866,0.0142,
"33",18500,0.009,0.2111,0.726,0.0629,13457,0.7519,0.2481,0.0547,0.0366,0.0448,0.0984,0.0091,
"34",18382,0.0026,0.3716,0.5728,0.0556,13963,0.7791,0.2209,0.052,0.0276,0.0377,0.0863,0.0059,
"35",18367,0.0018,0.5125,0.4334,0.0541,14343,0.7256,0.2744,0.0469,0.0357,0.0494,0.1363,0.0053,
"36",18351,0.0009,0.4028,0.5347,0.0625,14023,0.6138,0.3862,0.0294,0.0121,0.0194,0.3193,0.006,
"37",18226,-0.0059,0.5371,0.3899,0.0729,14299,0.2488,0.7512,0.0985,0.049,0.161,0.4377,0.0203,
"38",17853,-0.0263,0.6159,0.2805,0.1036,11522,0.1068,0.8932,0.0108,0.0103,0.0193,0.858,0.0021,
"39",17453,-0.0481,0.5581,0.3291,0.1128,11120,0.12,0.88,0.0119,0.0075,0.0154,0.851,0.0035,
"40",18824,0.0267,0.4717,0.4152,0.1131,13165,0.2606,0.7394,0.0415,0.0215,0.0467,0.6196,0.0235,
"",18335,0.0748,0.4176,0.5276,0.0548,13850,0.6148,0.3852,0.0604,0.0427,0.0784,0.1909,0.0202,
