ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"A",35969,-0.0191,0.445,0.4908,0.0642,28118,0.6036,0.3964,0.0388,0.0144,0.0707,0.2735,0.0075,
"B",36317,-0.0096,0.591,0.3577,0.0513,28667,0.6684,0.3316,0.052,0.0191,0.0854,0.1762,0.0169,
"C",37141,0.0129,0.4285,0.5169,0.0546,29255,0.7016,0.2984,0.0434,0.0136,0.1023,0.1282,0.0081,
"D",36936,0.0073,0.2465,0.7045,0.049,28380,0.7957,0.2043,0.0344,0.0117,0.026,0.12,0.0066,
"E",36807,0.0037,0.4472,0.5122,0.0406,27943,0.6985,0.3015,0.0713,0.0307,0.096,0.093,0.0148,
"F",36320,-0.0095,0.4462,0.5114,0.0424,27523,0.6,0.4,0.0738,0.0471,0.1425,0.1261,0.022,
"G",36398,-0.0074,0.5168,0.4343,0.0489,29169,0.5313,0.4687,0.0833,0.0666,0.1394,0.1557,0.0425,
"H",36350,-0.0087,0.4891,0.4671,0.0438,27973,0.6304,0.3696,0.0592,0.0371,0.1351,0.1209,0.0271,
"I",36226,-0.0121,0.5669,0.3783,0.0547,29079,0.5467,0.4533,0.1037,0.1053,0.0827,0.1374,0.0403,
"J",36482,-0.0051,0.5497,0.3938,0.0565,27310,0.4243,0.5757,0.1018,0.1064,0.1531,0.1776,0.0702,
"K",36699,0.0008,0.4862,0.4615,0.0522,27378,0.4888,0.5112,0.0822,0.1134,0.1297,0.1548,0.0609,
"L",36237,-0.0118,0.3213,0.6263,0.0523,26750,0.7665,0.2335,0.0609,0.0313,0.0434,0.0854,0.0074,
"M",37629,0.0262,0.2462,0.7052,0.0487,26722,0.7879,0.2121,0.0423,0.0201,0.03,0.108,0.0086,
"N",37592,0.0252,0.2167,0.7323,0.051,27150,0.7789,0.2211,0.0449,0.0197,0.0302,0.1169,0.0085,
"O",37516,0.0231,0.2733,0.6768,0.0499,28566,0.7953,0.2047,0.032,0.0153,0.023,0.1197,0.0074,
"P",36816,0.004,0.4043,0.5298,0.0658,28128,0.5804,0.4196,0.0997,0.0956,0.064,0.1519,0.014,
"Q",36882,0.0058,0.2978,0.6433,0.0589,27420,0.7657,0.2343,0.0533,0.032,0.0412,0.0922,0.0075,
"R",36718,0.0013,0.4571,0.4845,0.0583,28366,0.6703,0.3297,0.0383,0.024,0.0345,0.2268,0.0056,
"S",36079,-0.0161,0.5751,0.3372,0.0877,25821,0.1854,0.8146,0.0594,0.0318,0.0977,0.6253,0.0122,
"T",36277,-0.0107,0.5187,0.3684,0.1129,24285,0.1962,0.8038,0.0279,0.0151,0.0324,0.7256,0.0144,
"",36670,0.0453,0.4176,0.5276,0.0548,27700,0.6148,0.3852,0.0604,0.0427,0.0784,0.1909,0.0202,
