ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",49457,0.0336,0.3185,0.6701,0.0113,39536,0.8529,0.1471,0.0247,0.0877,0.0095,0.023,0.0009,
"2",49685,0.0383,0.2258,0.7665,0.0076,39316,0.8766,0.1234,0.0352,0.0496,0.0073,0.0288,0.0009,
"3",49510,0.0347,0.4283,0.5621,0.0096,39001,0.6974,0.3026,0.0347,0.2285,0.0143,0.0252,0.0007,
"4",49921,0.0433,0.3411,0.6423,0.0166,37793,0.7265,0.2735,0.0599,0.1356,0.0452,0.0317,0.0018,
"5",49268,0.0296,0.3035,0.6847,0.0118,38314,0.7557,0.2443,0.0598,0.1407,0.0128,0.0303,0.0016,
"6",50166,0.0484,0.3572,0.6259,0.0169,38850,0.708,0.292,0.0366,0.1996,0.0204,0.033,0.0016,
"7",46018,-0.0383,0.3081,0.6866,0.0052,36300,0.7531,0.2469,0.026,0.1353,0.0051,0.0799,0.0011,
"8",46640,-0.0253,0.3919,0.5969,0.0112,35536,0.5907,0.4093,0.1325,0.2389,0.0116,0.0291,0.0014,
"9",45703,-0.0449,0.1704,0.8196,0.01,35378,0.8854,0.1146,0.0305,0.0347,0.0073,0.0376,0.0005,
"10",50200,0.0491,0.4912,0.4851,0.0237,39003,0.6064,0.3936,0.0869,0.2203,0.0609,0.0308,0.0024,
"11",48376,0.011,0.1189,0.8753,0.0058,37530,0.8976,0.1024,0.0522,0.0083,0.005,0.0299,0.0009,
"12",46033,-0.038,0.1437,0.8485,0.0078,35689,0.8981,0.1019,0.0377,0.0175,0.0095,0.0316,0.0013,
"13",48294,0.0093,0.2011,0.7914,0.0074,38075,0.8694,0.1306,0.0318,0.0655,0.0067,0.0259,0.0005,
"14",47980,0.0027,0.135,0.8595,0.0055,38074,0.9247,0.0753,0.0137,0.0238,0.003,0.0294,0.0007,
"15",50195,0.049,0.4017,0.5857,0.0126,38361,0.6494,0.3506,0.0389,0.2387,0.0533,0.0178,0.0009,
"16",45981,-0.0391,0.1635,0.8302,0.0063,36201,0.8565,0.1435,0.0192,0.0937,0.0048,0.0244,0.0008,
"17",48495,0.0135,0.1465,0.8485,0.005,38241,0.8887,0.1113,0.0239,0.0593,0.0038,0.0219,0.0007,
"18",46256,-0.0333,0.2292,0.7644,0.0063,35185,0.8143,0.1857,0.1121,0.0461,0.0036,0.0318,0.0007,
"19",49738,0.0395,0.7223,0.2655,0.0122,39267,0.3649,0.6351,0.051,0.5447,0.0228,0.025,0.0023,
"20",50198,0.0491,0.3634,0.6124,0.0242,39977,0.8436,0.1564,0.0352,0.0519,0.0399,0.0256,0.0017,
"21",50216,0.0494,0.3904,0.5911,0.0185,40137,0.7811,0.2189,0.0325,0.1277,0.0223,0.0354,0.0014,
"22",50117,0.0474,0.2694,0.7155,0.0152,38162,0.8203,0.1797,0.0295,0.0799,0.0171,0.0487,0.0018,
"23",50191,0.0489,0.203,0.7896,0.0074,39860,0.8717,0.1283,0.0254,0.0372,0.0059,0.0571,0.0005,
"24",49099,0.0261,0.1741,0.8181,0.0078,37549,0.8325,0.1675,0.0892,0.0213,0.0058,0.0634,0.0004,
"25",50225,0.0496,0.4422,0.5326,0.0253,39137,0.6728,0.3272,0.0469,0.1926,0.0606,0.0235,0.0032,
"26",48406,0.0116,0.1653,0.8243,0.0103,34903,0.7201,0.2799,0.2101,0.0333,0.0091,0.0413,0.0031,
"27",49206,0.0283,0.1742,0.8154,0.0104,38627,0.8902,0.1098,0.0391,0.0224,0.009,0.0355,0.0007,
"28",49103,0.0262,0.442,0.5481,0.0099,38183,0.6243,0.3757,0.052,0.2874,0.0137,0.0278,0.0006,
"29",48672,0.0172,0.1745,0.8172,0.0082,38438,0.8989,0.1011,0.0161,0.0465,0.0061,0.0286,0.0011,
"30",45780,-0.0433,0.1611,0.8306,0.0083,35803,0.8939,0.1061,0.0243,0.0394,0.0087,0.03,0.0007,
"31",48162,0.0065,0.2425,0.7503,0.0072,38378,0.7357,0.2643,0.0204,0.2139,0.0072,0.0205,0.0009,
"32",45477,-0.0496,0.6025,0.3918,0.0056,36171,0.4324,0.5676,0.0266,0.5213,0.006,0.0169,0.0009,
"33",45555,-0.048,0.3668,0.6282,0.005,36403,0.6835,0.3165,0.0156,0.2769,0.0039,0.018,0.0011,
"34",45544,-0.0482,0.1121,0.8812,0.0067,35044,0.8654,0.1346,0.075,0.0207,0.0049,0.0306,0.0012,
"35",47783,-0.0014,0.2529,0.7407,0.0064,37365,0.7811,0.2189,0.0328,0.1552,0.009,0.0225,0.0011,
"36",50212,0.0494,0.2848,0.7047,0.0105,39841,0.7901,0.2099,0.0284,0.1417,0.0141,0.0235,0.0017,
"37",45526,-0.0486,0.3254,0.6693,0.0053,36158,0.7139,0.2861,0.0217,0.2323,0.0124,0.0195,0.0006,
"38",50130,0.0476,0.3385,0.655,0.0066,38591,0.6583,0.3417,0.0329,0.2751,0.0136,0.0202,0.001,
"39",47480,-0.0077,0.1696,0.8249,0.0055,36540,0.8362,0.1638,0.0957,0.0314,0.0033,0.0365,0.0007,
"40",47937,0.0018,0.2348,0.7553,0.0099,38148,0.7545,0.2455,0.0312,0.1707,0.0182,0.0237,0.0018,
"41",49986,0.0446,0.2727,0.7178,0.0095,38110,0.7536,0.2464,0.0438,0.1655,0.009,0.025,0.0008,
"42",49617,0.0369,0.1783,0.8159,0.0058,37892,0.8208,0.1792,0.05,0.1018,0.0054,0.0212,0.0007,
"43",48589,0.0154,0.3143,0.6654,0.0204,38500,0.7949,0.2051,0.0352,0.0956,0.0505,0.0202,0.001,
"44",49545,0.0354,0.3148,0.673,0.0121,37580,0.7064,0.2936,0.0308,0.2237,0.0177,0.021,0.0007,
"45",45786,-0.0431,0.2938,0.6923,0.0138,35395,0.7847,0.2153,0.0399,0.128,0.0212,0.0223,0.0007,
"46",49530,0.0351,0.43,0.5455,0.0244,37617,0.7964,0.2036,0.0267,0.1227,0.0397,0.0133,0.0005,
"47",48009,0.0033,0.4566,0.5219,0.0215,37098,0.6753,0.3247,0.06,0.1941,0.0538,0.0182,0.0013,
"48",47542,-0.0064,0.3408,0.6389,0.0203,37016,0.8441,0.1559,0.0305,0.067,0.0422,0.0129,0.0007,
"49",49262,0.0295,0.2802,0.708,0.0118,37537,0.7573,0.2427,0.0825,0.1273,0.0083,0.0267,0.0016,
"50",48179,0.0069,0.1957,0.7936,0.0106,36521,0.8212,0.1788,0.0222,0.1122,0.011,0.0285,0.0003,
"51",46013,-0.0384,0.1865,0.8034,0.0101,35774,0.8409,0.1591,0.024,0.0925,0.0108,0.028,0.0009,
"52",46455,-0.0292,0.8709,0.1179,0.0113,38006,0.256,0.744,0.0494,0.6588,0.0295,0.0115,0.0013,
"53",50191,0.0489,0.7504,0.2355,0.0141,40157,0.3609,0.6391,0.0956,0.5053,0.0255,0.0272,0.004,
"54",46029,-0.0381,0.8372,0.1501,0.0127,37434,0.3768,0.6232,0.0473,0.5548,0.0122,0.0146,0.0009,
"55",45471,-0.0497,0.8937,0.0968,0.0096,37920,0.3138,0.6862,0.0352,0.6069,0.0357,0.0123,0.0009,
"56",46054,-0.0375,0.7625,0.2317,0.0058,35665,0.3144,0.6856,0.0621,0.5853,0.0281,0.0148,0.0006,
"57",46512,-0.028,0.6553,0.3395,0.0052,36228,0.3693,0.6307,0.0358,0.576,0.0042,0.0173,0.0006,
"58",46573,-0.0267,0.7656,0.2275,0.0069,34553,0.2746,0.7254,0.056,0.6516,0.0069,0.0149,0.0008,
"59",46440,-0.0295,0.8413,0.1535,0.0052,34498,0.1939,0.8061,0.0884,0.7028,0.0048,0.0171,0.0032,
"60",45861,-0.0416,0.7604,0.2336,0.006,36385,0.2999,0.7001,0.0276,0.6554,0.0051,0.0155,0.0015,
"61",46187,-0.0348,0.3044,0.6874,0.0082,35481,0.7453,0.2547,0.0398,0.1853,0.0117,0.0212,0.0011,
"62",49196,0.0281,0.3247,0.6661,0.0091,37352,0.709,0.291,0.0435,0.2174,0.007,0.0203,0.0007,
"63",46979,-0.0182,0.4763,0.5035,0.0203,40404,0.6931,0.3069,0.0837,0.1669,0.0419,0.0128,0.0013,
"64",49931,0.0435,0.2268,0.7633,0.0099,38122,0.7872,0.2128,0.0613,0.1043,0.0108,0.0329,0.0013,
"65",46009,-0.0385,0.3506,0.6468,0.0026,36373,0.6583,0.3417,0.0084,0.2872,0.0039,0.0421,0.0008,
"66",49328,0.0309,0.2772,0.717,0.0058,39021,0.7076,0.2924,0.0205,0.2095,0.0058,0.0536,0.0013,
"67",45466,-0.0498,0.6996,0.2978,0.0025,35173,0.3007,0.6993,0.0079,0.6833,0.005,0.0083,0.001,
"68",49233,0.0289,0.5497,0.4479,0.0023,38756,0.4451,0.5549,0.0092,0.5257,0.0046,0.0174,0.0006,
"69",48400,0.0115,0.6087,0.3869,0.0044,37751,0.4367,0.5633,0.0238,0.5221,0.0061,0.0147,0.0015,
"70",45641,-0.0462,0.726,0.2635,0.0105,36457,0.39,0.61,0.0359,0.5432,0.0202,0.0139,0.0014,
"71",48384,0.0112,0.6366,0.3594,0.004,38058,0.393,0.607,0.0418,0.5511,0.008,0.0111,0.001,
"72",49629,0.0372,0.6319,0.3641,0.004,38480,0.4094,0.5906,0.0124,0.5636,0.008,0.0098,0.0011,
"73",49323,0.0308,0.3479,0.6349,0.0172,37255,0.6915,0.3085,0.1202,0.1406,0.0217,0.0278,0.0014,
"74",47348,-0.0105,0.6028,0.387,0.0102,36835,0.3941,0.6059,0.037,0.5322,0.0258,0.0146,0.0013,
"75",48647,0.0167,0.3507,0.6384,0.0108,37043,0.6347,0.3653,0.0283,0.2414,0.0771,0.0174,0.0012,
"76",45878,-0.0412,0.7647,0.2279,0.0074,35153,0.2295,0.7705,0.0413,0.6789,0.0457,0.0115,0.0009,
"77",46048,-0.0377,0.7469,0.2437,0.0094,35820,0.3415,0.6585,0.0422,0.596,0.0128,0.0134,0.0014,
"78",46271,-0.033,0.6911,0.3012,0.0077,36210,0.3097,0.6903,0.0387,0.6107,0.0333,0.0111,0.0012,
"79",50209,0.0493,0.4663,0.5078,0.0259,40046,0.6831,0.3169,0.0412,0.1521,0.1085,0.0156,0.0012,
"80",50214,0.0494,0.342,0.6499,0.0081,38168,0.6886,0.3114,0.042,0.2307,0.0155,0.0243,0.0024,
"81",46326,-0.0319,0.3146,0.6791,0.0063,36557,0.7134,0.2866,0.0218,0.2316,0.015,0.0181,0.0002,
"82",45655,-0.0459,0.6714,0.3175,0.0111,38563,0.3847,0.6153,0.037,0.5202,0.0466,0.0149,0.0015,
"83",49797,0.0407,0.59,0.4029,0.0071,37549,0.3942,0.6058,0.057,0.5171,0.0189,0.0203,0.0021,
"84",48729,0.0184,0.5822,0.4146,0.0032,38276,0.4179,0.5821,0.0456,0.5182,0.0074,0.0141,0.0022,
"85",46765,-0.0227,0.4401,0.5542,0.0057,36088,0.5202,0.4798,0.0273,0.4257,0.0113,0.0178,0.0017,
"86",46928,-0.0193,0.2363,0.757,0.0067,36624,0.7435,0.2565,0.0329,0.1853,0.0117,0.0252,0.0013,
"87",48058,0.0043,0.1574,0.8358,0.0068,37101,0.8247,0.1753,0.0373,0.0944,0.0136,0.0295,0.0015,
"88",46768,-0.0226,0.3055,0.683,0.0115,35402,0.7012,0.2988,0.0359,0.2073,0.0273,0.0242,0.0012,
"89",46092,-0.0367,0.3763,0.6163,0.0074,36504,0.6068,0.3932,0.0404,0.3068,0.0242,0.022,0.0024,
"90",45682,-0.0453,0.3562,0.6403,0.0035,36271,0.6465,0.3535,0.011,0.318,0.0075,0.0178,0.0012,
"91",46948,-0.0189,0.268,0.7218,0.0102,35679,0.6674,0.3326,0.0826,0.1952,0.0277,0.0338,0.0036,
"92",45604,-0.0469,0.179,0.8166,0.0044,35579,0.8259,0.1741,0.0136,0.1274,0.008,0.023,0.0003,
"93",45499,-0.0491,0.2806,0.7106,0.0088,35647,0.696,0.304,0.0431,0.2154,0.0212,0.0263,0.002,
"94",49348,0.0313,0.2776,0.7091,0.0133,38828,0.8547,0.1453,0.0425,0.0646,0.0093,0.0246,0.0014,
"95",49017,0.0244,0.2215,0.768,0.0105,40658,0.8601,0.1399,0.0532,0.0376,0.0119,0.0258,0.0008,
"96",50189,0.0489,0.3151,0.6679,0.017,38204,0.8033,0.1967,0.0385,0.1055,0.0215,0.0264,0.0013,
"97",45905,-0.0407,0.6914,0.2984,0.0102,35899,0.41,0.59,0.0181,0.5449,0.0097,0.0199,0.0011,
"98",48083,0.0049,0.6064,0.3881,0.0054,36781,0.4199,0.5801,0.0099,0.5406,0.0053,0.026,0.0007,
"99",45672,-0.0455,0.6788,0.3147,0.0065,34888,0.3742,0.6258,0.0266,0.5755,0.0091,0.0194,0.0006,
"100",47686,-0.0034,0.3014,0.6874,0.0112,35937,0.7147,0.2853,0.0379,0.1738,0.0434,0.0273,0.0015,
"101",45885,-0.0411,0.3699,0.6159,0.0142,36356,0.6948,0.3052,0.0403,0.2128,0.031,0.0202,0.0015,
