ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",145951,0.0167,0.2783,0.7116,0.0102,115624,0.8405,0.1595,0.0312,0.0886,0.0112,0.0266,0.001,
"2",150708,0.0499,0.4963,0.4814,0.0223,117745,0.5847,0.4153,0.0499,0.2903,0.0513,0.0254,0.003,
"3",150083,0.0455,0.3182,0.6696,0.0122,115850,0.7169,0.2831,0.0755,0.1544,0.0199,0.0332,0.0012,
"4",140747,-0.0195,0.1314,0.8621,0.0065,110270,0.9089,0.0911,0.0319,0.0184,0.0061,0.0297,0.001,
"5",137763,-0.0403,0.1792,0.8145,0.0063,107920,0.8695,0.1305,0.0236,0.0769,0.0053,0.0232,0.0006,
"6",145684,0.0149,0.3142,0.6787,0.0071,112941,0.7549,0.2451,0.0627,0.1325,0.0066,0.0452,0.0009,
"7",150663,0.0495,0.4604,0.5211,0.0185,117929,0.6675,0.3325,0.0499,0.229,0.0249,0.031,0.002,
"8",148526,0.0347,0.2582,0.7316,0.0102,116322,0.8014,0.1986,0.0477,0.0909,0.0086,0.0542,0.0008,
"9",150552,0.0488,0.2273,0.7599,0.0128,114591,0.7835,0.2165,0.11,0.0561,0.0162,0.0372,0.002,
"10",150508,0.0485,0.2519,0.7397,0.0083,117304,0.7929,0.2071,0.0545,0.1136,0.0087,0.0317,0.0007,
"11",147539,0.0278,0.2801,0.7116,0.0084,114732,0.7406,0.2594,0.0246,0.2011,0.0075,0.0234,0.0006,
"12",150048,0.0453,0.3345,0.6566,0.009,118726,0.6997,0.3003,0.0312,0.2321,0.0133,0.0226,0.0017,
"13",149072,0.0385,0.3079,0.6861,0.006,115310,0.7046,0.2954,0.0299,0.2332,0.0123,0.0215,0.0012,
"14",141510,-0.0142,0.3,0.6872,0.0128,106833,0.7304,0.2696,0.079,0.152,0.0143,0.025,0.0012,
"15",137614,-0.0414,0.3187,0.6638,0.0176,106193,0.8171,0.1829,0.0417,0.0908,0.029,0.0185,0.0007,
"16",143702,0.0011,0.3984,0.5806,0.021,112173,0.7247,0.2753,0.043,0.1577,0.0563,0.0172,0.001,
"17",137438,-0.0426,0.1742,0.8167,0.0091,105931,0.8438,0.1562,0.0399,0.0757,0.0092,0.0276,0.0009,
"18",138146,-0.0377,0.8317,0.1562,0.0121,112636,0.3631,0.6369,0.044,0.5499,0.0341,0.0135,0.0012,
"19",136601,-0.0484,0.6594,0.3355,0.005,106840,0.3614,0.6386,0.0404,0.5772,0.0069,0.0167,0.0007,
"20",138987,-0.0318,0.7721,0.2209,0.0071,105239,0.2708,0.7292,0.0616,0.6492,0.0074,0.0161,0.0016,
"21",143889,0.0024,0.4006,0.5876,0.0118,115872,0.6786,0.3214,0.0633,0.2188,0.0217,0.0181,0.0011,
"22",136607,-0.0484,0.2615,0.7319,0.0067,106258,0.7368,0.2632,0.0275,0.1782,0.0069,0.0483,0.0012,
"23",141391,-0.015,0.5814,0.4162,0.0024,110887,0.4205,0.5795,0.0094,0.555,0.0054,0.0131,0.0008,
"24",140966,-0.018,0.6445,0.3508,0.0047,110105,0.3917,0.6083,0.0187,0.5721,0.0105,0.0104,0.001,
"25",147800,0.0296,0.3635,0.6273,0.0092,115472,0.6227,0.3773,0.023,0.2901,0.0459,0.0171,0.001,
"26",148450,0.0341,0.7679,0.2248,0.0074,114604,0.2705,0.7295,0.0436,0.661,0.0188,0.0125,0.0013,
"27",148431,0.034,0.4107,0.5747,0.0145,119050,0.6626,0.3374,0.0407,0.2181,0.0599,0.0186,0.0012,
"28",147002,0.024,0.5822,0.4134,0.0044,114472,0.41,0.59,0.0351,0.535,0.0086,0.0159,0.002,
"29",142364,-0.0083,0.2317,0.7606,0.0077,110678,0.7425,0.2575,0.0416,0.1718,0.0172,0.0273,0.0017,
"30",136395,-0.0498,0.3091,0.6829,0.008,105654,0.6959,0.3041,0.0325,0.2359,0.0132,0.0207,0.0011,
"31",137028,-0.0454,0.2589,0.7341,0.007,106709,0.711,0.289,0.0425,0.2027,0.0189,0.0264,0.0021,
"32",150428,0.0479,0.2743,0.7125,0.0132,119827,0.8328,0.1672,0.0473,0.0741,0.0133,0.0254,0.0012,
"33",136593,-0.0485,0.7368,0.2549,0.0083,103752,0.3285,0.6715,0.0224,0.6253,0.0118,0.0166,0.001,
"34",138149,-0.0376,0.3376,0.653,0.0094,106489,0.6813,0.3187,0.0302,0.2278,0.0208,0.0388,0.0011,
"35",136944,-0.046,0.318,0.6714,0.0106,106228,0.708,0.292,0.0354,0.1838,0.0419,0.0269,0.0016,
"",143551,0.0997,0.3962,0.5938,0.0101,111919,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
