ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",30815,0.0232,0.1967,0.7632,0.0401,23745,0.9399,0.0601,0.0151,0.0065,0.0032,0.0262,0.0007,
"2",30892,0.0258,0.2263,0.7351,0.0386,24198,0.9123,0.0877,0.0152,0.0089,0.0074,0.0355,0.0145,
"3",31181,0.0354,0.2164,0.7525,0.0311,25865,0.9279,0.0721,0.0197,0.004,0.0091,0.0315,0.0009,
"4",29687,-0.0142,0.2049,0.7637,0.0313,24123,0.9223,0.0777,0.0179,0.0031,0.0058,0.0411,0.0016,
"5",30881,0.0254,0.19,0.7813,0.0287,23952,0.9118,0.0882,0.0221,0.0051,0.0097,0.0441,0.001,
"6",29541,-0.0191,0.3044,0.6668,0.0288,23422,0.8317,0.1683,0.0878,0.0065,0.013,0.0468,0.0103,
"7",29885,-0.0076,0.3342,0.6289,0.0368,22272,0.652,0.348,0.2646,0.0097,0.0123,0.0578,0.0111,
"8",30027,-0.0029,0.2848,0.6773,0.0379,22367,0.7981,0.2019,0.1133,0.0129,0.0199,0.0498,0.0054,
"9",30625,0.0169,0.4586,0.5062,0.0352,20046,0.2946,0.7054,0.5021,0.028,0.032,0.0396,0.127,
"10",31066,0.0316,0.3689,0.592,0.0391,22828,0.7877,0.2123,0.0778,0.0242,0.0605,0.0453,0.0024,
"11",29776,-0.0113,0.3623,0.6037,0.034,21070,0.5194,0.4806,0.3136,0.0289,0.0235,0.0468,0.0804,
"12",30767,0.0216,0.2649,0.7034,0.0317,24550,0.8589,0.1411,0.0503,0.0092,0.0156,0.0582,0.0022,
"13",29618,-0.0165,0.3829,0.582,0.0352,21957,0.5796,0.4204,0.1241,0.0357,0.2177,0.0356,0.0089,
"14",29752,-0.0121,0.3288,0.6294,0.0418,20454,0.7015,0.2985,0.1189,0.0478,0.0776,0.0518,0.0058,
"15",29405,-0.0236,0.3875,0.571,0.0414,21788,0.5943,0.4057,0.3009,0.022,0.0328,0.0482,0.0112,
"16",29446,-0.0222,0.3013,0.6658,0.0328,20342,0.7622,0.2378,0.1321,0.0197,0.0343,0.0473,0.0067,
"17",29726,-0.0129,0.222,0.7346,0.0434,21828,0.688,0.312,0.169,0.0128,0.0292,0.1024,0.0027,
"18",29291,-0.0274,0.3564,0.6069,0.0367,21710,0.7198,0.2802,0.1382,0.0377,0.0339,0.0501,0.0209,
"19",29276,-0.0279,0.4,0.5687,0.0313,22457,0.6707,0.3293,0.189,0.04,0.0325,0.0457,0.0289,
"20",29707,-0.0136,0.5519,0.4144,0.0337,22865,0.8008,0.1992,0.06,0.0469,0.0377,0.0464,0.0058,
"21",29499,-0.0205,0.696,0.2618,0.0422,25955,0.7513,0.2487,0.0788,0.0756,0.0474,0.0408,0.0053,
"22",29260,-0.0284,0.4762,0.4795,0.0443,23654,0.776,0.224,0.075,0.0626,0.0324,0.0498,0.0036,
"23",29561,-0.0184,0.3187,0.6455,0.0358,22061,0.8261,0.1739,0.0541,0.0183,0.0218,0.0749,0.0019,
"24",29388,-0.0241,0.1986,0.7758,0.0256,22453,0.8506,0.1494,0.0387,0.0156,0.0119,0.0775,0.0011,
"25",29668,-0.0149,0.2863,0.6779,0.0358,22774,0.8724,0.1276,0.0382,0.0094,0.0121,0.0619,0.0018,
"26",30381,0.0088,0.2263,0.7424,0.0312,23108,0.8482,0.1518,0.0651,0.0065,0.0146,0.0502,0.0092,
"27",31177,0.0353,0.1864,0.7753,0.0382,25452,0.9113,0.0887,0.0161,0.0134,0.0046,0.0475,0.0013,
"28",31081,0.0321,0.1791,0.7851,0.0359,24006,0.9218,0.0782,0.021,0.0121,0.0047,0.033,0.0012,
"29",30392,0.0092,0.2713,0.7058,0.0229,23844,0.7934,0.2066,0.0375,0.1323,0.0048,0.0296,0.0018,
"30",30278,0.0054,0.2299,0.7358,0.0343,22819,0.8587,0.1413,0.0321,0.0668,0.0044,0.0301,0.001,
"31",31014,0.0298,0.2251,0.7424,0.0325,23221,0.8874,0.1126,0.0334,0.026,0.0066,0.0309,0.0072,
"32",31106,0.0329,0.3717,0.593,0.0353,23535,0.6728,0.3272,0.0652,0.2084,0.0305,0.0233,0.0009,
"33",31192,0.0358,0.2131,0.7566,0.0303,23339,0.8849,0.1151,0.0344,0.0466,0.0063,0.0225,0.0007,
"34",30073,-0.0014,0.4649,0.5085,0.0266,22218,0.4878,0.5122,0.032,0.4584,0.0086,0.0151,0.0003,
"35",30532,0.0138,0.5228,0.4518,0.0254,22282,0.4056,0.5944,0.0267,0.5432,0.0111,0.0155,0.0008,
"36",31082,0.0321,0.3107,0.658,0.0313,23238,0.7238,0.2762,0.06,0.1739,0.0148,0.0247,0.001,
"37",30593,0.0159,0.3044,0.6668,0.0287,23354,0.7022,0.2978,0.0171,0.2538,0.0065,0.0193,0.0009,
"38",31048,0.031,0.2587,0.711,0.0303,23886,0.8067,0.1933,0.0299,0.1165,0.0198,0.0234,0.0014,
"39",31122,0.0334,0.2231,0.7491,0.0278,24228,0.8346,0.1654,0.027,0.0992,0.0053,0.0283,0.0005,
"40",30068,-0.0016,0.2138,0.754,0.0322,22720,0.8478,0.1522,0.0722,0.0265,0.0131,0.0345,0.001,
"41",30194,0.0026,0.1913,0.7799,0.0288,24549,0.9301,0.0699,0.0182,0.004,0.0054,0.0336,0.0007,
"42",30098,-0.0006,0.1977,0.7707,0.0316,22588,0.904,0.096,0.022,0.0201,0.0062,0.041,0.0006,
