ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",83996,-0.0238,0.3077,0.6673,0.025,65061,0.6842,0.3158,0.0447,0.2432,0.0068,0.0195,0.0014,
"2",84817,-0.0143,0.3292,0.6413,0.0295,65753,0.6437,0.3563,0.0273,0.2985,0.008,0.0218,0.001,
"3",85018,-0.0119,0.3367,0.6378,0.0255,66651,0.6477,0.3523,0.0519,0.2689,0.0079,0.023,0.001,
"4",85801,-0.0028,0.2609,0.7195,0.0196,65002,0.6669,0.3331,0.0852,0.2013,0.0073,0.038,0.0032,
"5",85322,-0.0084,0.1836,0.7825,0.034,66116,0.8612,0.1388,0.0591,0.0075,0.0124,0.0523,0.0012,
"6",87633,0.0185,0.3096,0.6626,0.0277,71247,0.8059,0.1941,0.0528,0.086,0.0117,0.0393,0.0014,
"7",87139,0.0127,0.2488,0.7228,0.0284,67494,0.842,0.158,0.0421,0.0693,0.0101,0.0322,0.0013,
"8",84746,-0.0151,0.5798,0.3924,0.0278,67543,0.4027,0.5973,0.0272,0.5468,0.0087,0.0154,0.0013,
"9",86031,-0.0001,0.5457,0.4282,0.0261,65066,0.3908,0.6092,0.0246,0.5649,0.0081,0.0149,0.0008,
"10",86509,0.0054,0.3071,0.6641,0.0288,67518,0.7233,0.2767,0.0212,0.225,0.0062,0.0217,0.0012,
"11",87691,0.0191,0.2534,0.7141,0.0326,65479,0.7991,0.2009,0.046,0.0922,0.0213,0.0366,0.0021,
"12",88122,0.0242,0.7039,0.2675,0.0286,68468,0.3571,0.6429,0.0724,0.5473,0.0137,0.0263,0.0014,
"13",87995,0.0227,0.4265,0.5449,0.0286,68234,0.6834,0.3166,0.0423,0.2181,0.0263,0.028,0.001,
"14",88142,0.0244,0.5606,0.4116,0.0279,70286,0.6975,0.3025,0.034,0.1927,0.0535,0.0214,0.0009,
"15",88233,0.0254,0.7678,0.2091,0.0231,65887,0.2404,0.7596,0.1469,0.5778,0.0241,0.0235,0.001,
"16",88036,0.0232,0.3085,0.6606,0.0309,65814,0.7731,0.2269,0.0587,0.108,0.0226,0.033,0.0008,
"17",88291,0.0261,0.4062,0.5594,0.0344,69613,0.7214,0.2786,0.0496,0.1681,0.0262,0.0311,0.0013,
"18",86919,0.0102,0.1957,0.7732,0.0311,66943,0.8641,0.1359,0.0341,0.0482,0.0108,0.0343,0.0012,
"19",87870,0.0212,0.2915,0.6788,0.0297,65848,0.7483,0.2517,0.0309,0.1903,0.0062,0.0214,0.0005,
"20",86347,0.0035,0.3291,0.6388,0.0321,64949,0.7104,0.2896,0.057,0.1832,0.0237,0.0238,0.0012,
"21",86220,0.0021,0.2104,0.7509,0.0387,65761,0.9113,0.0887,0.0227,0.0158,0.0052,0.0291,0.0082,
"22",85266,-0.009,0.1995,0.7677,0.0327,66672,0.898,0.102,0.0373,0.0155,0.0084,0.034,0.0012,
"23",85228,-0.0095,0.2063,0.7621,0.0315,69284,0.922,0.078,0.0179,0.007,0.0067,0.0378,0.0011,
"24",87083,0.0121,0.2023,0.764,0.0336,66851,0.8989,0.1011,0.0265,0.0185,0.006,0.0428,0.0008,
"25",87991,0.0226,0.2646,0.7047,0.0307,67764,0.797,0.203,0.0852,0.0576,0.0126,0.0435,0.0013,
"26",85205,-0.0097,0.2263,0.7425,0.0312,64590,0.8403,0.1597,0.0581,0.0182,0.0269,0.05,0.0016,
"27",84320,-0.02,0.3659,0.5979,0.0363,64152,0.6108,0.3892,0.1664,0.0995,0.0651,0.0654,0.0018,
"28",85216,-0.0096,0.2454,0.7227,0.0319,66567,0.8612,0.1388,0.0597,0.006,0.0129,0.048,0.0072,
"29",85094,-0.011,0.2538,0.7151,0.031,64522,0.8329,0.1671,0.0548,0.0176,0.0187,0.0707,0.0016,
"30",84140,-0.0221,0.5886,0.3736,0.0379,69574,0.7719,0.2281,0.0714,0.0655,0.0415,0.0432,0.0052,
"31",84647,-0.0162,0.3746,0.5912,0.0341,59561,0.49,0.51,0.3389,0.0303,0.029,0.0462,0.0794,
"32",83999,-0.0238,0.3252,0.6358,0.039,61701,0.6552,0.3448,0.2484,0.0138,0.018,0.0547,0.0175,
"33",84881,-0.0135,0.3308,0.6342,0.0351,61336,0.6836,0.3164,0.1365,0.0271,0.1045,0.0442,0.007,
"34",83569,-0.0288,0.3294,0.6346,0.036,62517,0.8024,0.1976,0.0733,0.0258,0.0474,0.0459,0.003,
"35",84007,-0.0237,0.2938,0.6671,0.0391,62449,0.7594,0.2406,0.1044,0.0236,0.0281,0.081,0.0028,
"Summary",86044,0.0549,0.3419,0.627,0.0311,66065,0.7152,0.2848,0.0701,0.1522,0.0211,0.0367,0.0045,
