ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",237896,-0.002,0.3447,0.6361,0.0192,200724,0.8099,0.1901,0.1178,0.0107,0.0188,0.0368,0.0031,
"2",246674,0.0348,0.4635,0.5141,0.0224,192714,0.6528,0.3472,0.1978,0.0556,0.0646,0.0326,0.0038,
"3",236955,-0.006,0.3635,0.6251,0.0115,195367,0.8515,0.1485,0.0588,0.0194,0.0472,0.0173,0.0022,
"4",244298,0.0248,0.4716,0.5138,0.0146,200823,0.7928,0.2072,0.0879,0.0265,0.0709,0.0175,0.0027,
"5",239088,0.003,0.6713,0.3079,0.0207,192005,0.5319,0.4681,0.3118,0.0803,0.0419,0.0497,0.0034,
"6",225474,-0.0542,0.6431,0.3286,0.0283,166613,0.2934,0.7066,0.0876,0.0127,0.0123,0.6013,0.0023,
"7",240214,0.0077,0.3669,0.6127,0.0204,199383,0.7376,0.2624,0.1638,0.0235,0.0207,0.0541,0.0035,
"8",244166,0.0243,0.6157,0.3592,0.025,204640,0.5693,0.4307,0.2198,0.0759,0.0868,0.0591,0.0056,
"9",238117,-0.0011,0.4944,0.4764,0.0293,179431,0.5244,0.4756,0.3292,0.0645,0.0378,0.0558,0.0076,
"10",235579,-0.0118,0.3702,0.6078,0.0221,189789,0.7585,0.2415,0.1512,0.0319,0.031,0.0278,0.004,
"11",237844,-0.0023,0.747,0.2311,0.0219,170914,0.2204,0.7796,0.538,0.1724,0.0421,0.0595,0.0059,
"12",238923,0.0023,0.5582,0.4208,0.021,189809,0.6229,0.3771,0.1736,0.0751,0.095,0.0402,0.0052,
"13",237866,-0.0022,0.4797,0.5018,0.0185,182046,0.6069,0.3931,0.1856,0.06,0.1245,0.0278,0.0049,
"14",241692,0.0139,0.3969,0.5829,0.0202,169224,0.6984,0.3016,0.1463,0.0484,0.0838,0.0233,0.0055,
"15",240028,0.0069,0.3494,0.6315,0.0191,168589,0.7066,0.2934,0.1775,0.0498,0.0398,0.0272,0.0067,
"16",236940,-0.0061,0.4617,0.5182,0.0202,180256,0.5074,0.4926,0.3089,0.0685,0.03,0.0979,0.0086,
"17",239669,0.0054,0.4451,0.5366,0.0183,192421,0.7367,0.2633,0.1637,0.0333,0.043,0.0259,0.0036,
"18",243411,0.0211,0.5852,0.3954,0.0194,203739,0.6779,0.3221,0.1944,0.0482,0.0537,0.0306,0.0041,
"19",230476,-0.0332,0.3696,0.6095,0.0209,182745,0.653,0.347,0.2553,0.0371,0.0267,0.0318,0.0047,
"20",238486,0.0004,0.741,0.2367,0.0223,191639,0.3849,0.6151,0.4897,0.0437,0.0415,0.0679,0.0032,
"21",244412,0.0253,0.6292,0.348,0.0227,182589,0.3452,0.6548,0.5454,0.0585,0.0305,0.0416,0.004,
"22",238320,-0.0003,0.6642,0.314,0.0218,164609,0.2284,0.7716,0.6006,0.1104,0.0446,0.0388,0.0067,
"23",232246,-0.0257,0.5681,0.4123,0.0196,169035,0.291,0.709,0.586,0.0456,0.0227,0.0719,0.0037,
"24",234992,-0.0142,0.6453,0.3299,0.0248,163820,0.2454,0.7546,0.6124,0.0873,0.0378,0.0406,0.0038,
"25",243005,0.0194,0.3601,0.6237,0.0162,181727,0.574,0.426,0.3172,0.0544,0.0284,0.033,0.0051,
"26",237193,-0.005,0.6747,0.3001,0.0252,169212,0.2585,0.7415,0.5662,0.1019,0.0469,0.0516,0.0034,
"27",240634,0.0094,0.4374,0.5398,0.0229,187248,0.6352,0.3648,0.2223,0.0598,0.055,0.0333,0.0043,
"28",228803,-0.0402,0.3604,0.6253,0.0143,189892,0.829,0.171,0.0782,0.0277,0.0454,0.0173,0.0023,
"29",240102,0.0072,0.4187,0.5632,0.0181,182717,0.632,0.368,0.2311,0.0688,0.0462,0.0275,0.0055,
"30",237999,-0.0016,0.2396,0.7452,0.0152,198256,0.7744,0.2256,0.1425,0.0146,0.0187,0.0485,0.0043,
"",238383,0.0889,0.479,0.5011,0.02,184733,0.5807,0.4193,0.2688,0.0545,0.0465,0.0576,0.0044,
