ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",938834,-0.0498,0.3931,0.5856,0.0213,740326,0.6883,0.3117,0.1732,0.0236,0.0588,0.0568,0.0062,
"2",991571,0.0035,0.7141,0.2625,0.0233,797342,0.6674,0.3326,0.1975,0.0262,0.059,0.0532,0.0065,
"3",1034770,0.0472,0.6435,0.3358,0.0207,815965,0.4553,0.5447,0.2709,0.0936,0.1591,0.0355,0.013,
"4",1032056,0.0445,0.452,0.529,0.019,796204,0.5751,0.4249,0.2974,0.0269,0.0607,0.0468,0.0094,
"5",1021134,0.0334,0.5718,0.4092,0.0191,759742,0.3513,0.6487,0.3201,0.0763,0.2376,0.034,0.0115,
"6",966763,-0.0216,0.4692,0.508,0.0227,748129,0.631,0.369,0.154,0.0597,0.1249,0.0332,0.0099,
"7",960880,-0.0275,0.8905,0.0911,0.0184,777315,0.33,0.67,0.2427,0.1806,0.2348,0.0322,0.0092,
"8",945172,-0.0434,0.6864,0.2939,0.0197,718520,0.3393,0.6607,0.2425,0.1403,0.254,0.0359,0.0237,
"9",992658,0.0046,0.6953,0.285,0.0197,771364,0.428,0.572,0.224,0.0865,0.2463,0.0263,0.0115,
"10",1036376,0.0489,0.7419,0.2401,0.0181,821021,0.199,0.801,0.1917,0.044,0.5526,0.0198,0.0149,
"11",1022311,0.0346,0.8514,0.1309,0.0177,882376,0.37,0.63,0.156,0.0607,0.4015,0.0194,0.0084,
"12",939354,-0.0493,0.366,0.6174,0.0166,708317,0.5256,0.4744,0.3022,0.0471,0.0967,0.0433,0.0048,
"13",1012486,0.0247,0.7617,0.2203,0.018,801579,0.4518,0.5482,0.1792,0.0268,0.3208,0.0185,0.0132,
"14",998216,0.0103,0.5889,0.3948,0.0163,707401,0.2077,0.7923,0.624,0.0564,0.1012,0.048,0.0043,
"15",1032570,0.045,0.7095,0.2706,0.0199,804423,0.2934,0.7066,0.3235,0.0366,0.3375,0.0315,0.008,
"16",942212,-0.0464,0.5286,0.4528,0.0186,669914,0.2038,0.7962,0.6802,0.0527,0.052,0.0401,0.0037,
"17",993921,0.0059,0.6671,0.3114,0.0215,782631,0.4837,0.5163,0.3962,0.0275,0.0728,0.0407,0.007,
"18",956746,-0.0317,0.654,0.3281,0.0179,732205,0.1855,0.8145,0.6574,0.0535,0.1023,0.0357,0.007,
"19",952665,-0.0358,0.4655,0.5187,0.0158,746113,0.5213,0.4787,0.3246,0.0666,0.065,0.0391,0.0062,
"20",946077,-0.0425,0.7285,0.2514,0.0201,738068,0.262,0.738,0.5698,0.0458,0.1186,0.0354,0.0032,
"21",1024600,0.037,0.6157,0.3638,0.0205,795567,0.4244,0.5756,0.4541,0.0266,0.0796,0.0422,0.0053,
"22",1009475,0.0216,0.6485,0.3322,0.0193,783994,0.1603,0.8397,0.5969,0.0497,0.1916,0.0388,0.0042,
"23",1033749,0.0462,0.5116,0.4688,0.0196,764114,0.3434,0.6566,0.4407,0.1228,0.0814,0.0388,0.0056,
"24",1035622,0.0481,0.7016,0.2799,0.0185,870584,0.5935,0.4065,0.1445,0.0512,0.1946,0.0173,0.0055,
"25",1034541,0.047,0.6457,0.3357,0.0186,843770,0.3591,0.6409,0.2392,0.0451,0.3535,0.0215,0.0038,
"26",948823,-0.0397,0.8439,0.1368,0.0193,770582,0.1902,0.8098,0.5588,0.05,0.2,0.0405,0.0032,
"27",993140,0.0051,0.6329,0.3488,0.0182,807111,0.5755,0.4245,0.2205,0.0514,0.1398,0.0219,0.0042,
"28",985823,-0.0023,0.8597,0.1241,0.0162,786012,0.2343,0.7657,0.4253,0.2233,0.1134,0.0336,0.0037,
"29",943463,-0.0452,0.6294,0.3512,0.0194,691198,0.1963,0.8037,0.6034,0.1114,0.0847,0.0392,0.0056,
"30",991239,0.0032,0.6616,0.3193,0.0191,780910,0.1421,0.8579,0.5882,0.0381,0.2297,0.0352,0.0052,
"31",955140,-0.0333,0.6124,0.368,0.0196,699375,0.2129,0.7871,0.588,0.0991,0.0925,0.039,0.0067,
"32",940016,-0.0486,0.4137,0.5689,0.0174,715196,0.4684,0.5316,0.2937,0.0658,0.1551,0.0326,0.0083,
"33",1036292,0.0488,0.7464,0.2317,0.0219,794079,0.1824,0.8176,0.6161,0.0943,0.1012,0.0411,0.0089,
"34",948688,-0.0399,0.6451,0.3351,0.0199,724829,0.1715,0.8285,0.6054,0.0262,0.1913,0.0422,0.0061,
"35",953821,-0.0347,0.8202,0.1625,0.0173,719229,0.091,0.909,0.5627,0.2502,0.0944,0.0361,0.0097,
"36",988357,0.0003,0.4885,0.493,0.0185,799101,0.4469,0.5531,0.2101,0.0237,0.3038,0.0216,0.0076,
"37",1019944,0.0322,0.5271,0.4527,0.0202,812499,0.47,0.53,0.214,0.0269,0.2765,0.0197,0.0057,
"38",975288,-0.013,0.5417,0.4374,0.0209,776623,0.607,0.393,0.2192,0.0325,0.1209,0.0244,0.0088,
"39",1036034,0.0485,0.6418,0.3369,0.0213,833904,0.4721,0.5279,0.2766,0.0957,0.141,0.0283,0.0106,
"40",952610,-0.0359,0.4895,0.4899,0.0206,739473,0.5166,0.4834,0.2324,0.0314,0.1984,0.0292,0.008,
"",988086,0.0987,0.63,0.3507,0.0194,770678,0.3787,0.6213,0.3595,0.0681,0.1785,0.0339,0.0077,
