ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",721714,0,0.7632,0.1995,0.0373,586410,0.588,0.412,0.2445,0.0966,0.0524,0.0334,0.0036,
"2",721714,0,0.6485,0.3076,0.0439,585158,0.7866,0.2134,0.1224,0.0162,0.0476,0.0231,0.0025,
"3",721714,0,0.4318,0.5244,0.0438,568549,0.7011,0.2989,0.2278,0.0149,0.0143,0.0485,0.0026,
"4",721715,0,0.3591,0.6004,0.0404,543442,0.7846,0.2154,0.1182,0.0246,0.0449,0.0267,0.0029,
"5",721714,0,0.3879,0.5601,0.0519,551904,0.6909,0.3091,0.1546,0.0766,0.0492,0.0348,0.0076,
"6",721715,0,0.5613,0.3974,0.0413,553658,0.5979,0.4021,0.1942,0.1138,0.0733,0.0303,0.0048,
"7",721714,0,0.5166,0.4378,0.0455,584424,0.7742,0.2258,0.1329,0.0204,0.0406,0.0319,0.0023,
"8",721714,0,0.4824,0.4691,0.0485,536031,0.5611,0.4389,0.345,0.0259,0.0434,0.04,0.0029,
"Summary",721714,0,0.5209,0.4352,0.0439,563697,0.6865,0.3135,0.1916,0.0486,0.0456,0.0335,0.0036,
