ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",161220,-0.0227,0.2692,0.6916,0.0393,122593,0.727,0.273,0.2139,0.0194,0.0136,0.0306,0.0023,
"2",167200,0.0136,0.3764,0.5806,0.0431,121886,0.8055,0.1945,0.0932,0.0244,0.051,0.0233,0.0037,
"3",168122,0.0191,0.4946,0.4592,0.0462,130863,0.5463,0.4537,0.3798,0.0292,0.0158,0.0533,0.0026,
"4",167757,0.0169,0.3682,0.5879,0.0438,142852,0.8393,0.1607,0.0845,0.0206,0.0136,0.0332,0.0021,
"5",163126,-0.0111,0.4665,0.4937,0.0398,127854,0.7537,0.2463,0.19,0.0093,0.0143,0.0319,0.002,
"6",161485,-0.0211,0.4802,0.4735,0.0463,129096,0.719,0.281,0.1904,0.0099,0.0122,0.0736,0.0026,
"7",161633,-0.0202,0.3214,0.6346,0.0439,127516,0.8056,0.1944,0.1251,0.0116,0.0171,0.0359,0.0032,
"8",161606,-0.0204,0.5135,0.4404,0.0461,129403,0.7927,0.2073,0.1541,0.01,0.017,0.0235,0.0026,
"9",164770,-0.0012,0.3352,0.6219,0.0429,125329,0.785,0.215,0.0896,0.0397,0.0595,0.0237,0.0043,
"10",168724,0.0228,0.3718,0.5748,0.0534,130152,0.7109,0.2891,0.1407,0.0689,0.0522,0.0344,0.0066,
"11",167144,0.0132,0.4795,0.4544,0.0661,125343,0.539,0.461,0.2563,0.1295,0.0478,0.0458,0.0102,
"12",169103,0.0251,0.4661,0.4798,0.054,131416,0.6955,0.3045,0.1489,0.0814,0.0433,0.0356,0.0104,
"13",162191,-0.0168,0.4514,0.4959,0.0526,119075,0.5084,0.4916,0.4124,0.0287,0.0256,0.0422,0.0033,
"14",160983,-0.0241,0.6395,0.3101,0.0504,133326,0.7909,0.2091,0.114,0.0227,0.0446,0.0259,0.0031,
"15",160877,-0.0248,0.4798,0.4746,0.0456,130149,0.8449,0.1551,0.0912,0.0113,0.0176,0.0286,0.0021,
"16",166292,0.0081,0.4927,0.4673,0.04,130600,0.8228,0.1772,0.0942,0.0176,0.0379,0.0246,0.0023,
"17",164918,-0.0003,0.6311,0.3249,0.0439,126362,0.7275,0.2725,0.1779,0.0163,0.0505,0.0286,0.0021,
"18",164297,-0.004,0.8063,0.1568,0.037,138015,0.7918,0.2082,0.0852,0.0181,0.0798,0.0165,0.0025,
"19",164524,-0.0027,0.527,0.4264,0.0466,131619,0.7743,0.2257,0.1378,0.0176,0.0416,0.032,0.0024,
"20",168082,0.0189,0.5224,0.4354,0.0422,133303,0.8057,0.1943,0.1059,0.015,0.045,0.0269,0.0019,
"21",169032,0.0247,0.5383,0.4124,0.0493,123304,0.4552,0.5448,0.4494,0.033,0.0395,0.0466,0.0031,
"22",162619,-0.0142,0.6149,0.3352,0.0499,134415,0.6976,0.3024,0.2032,0.0268,0.0424,0.0378,0.0025,
"23",160874,-0.0248,0.3831,0.5743,0.0426,117869,0.7889,0.2111,0.1377,0.0115,0.0334,0.0275,0.0023,
"24",167345,0.0144,0.519,0.4332,0.0478,123196,0.5408,0.4592,0.343,0.0269,0.0665,0.038,0.003,
"25",169069,0.0249,0.5605,0.3938,0.0458,132074,0.6857,0.3143,0.1925,0.0244,0.0711,0.0324,0.0028,
"26",164117,-0.0051,0.6121,0.3481,0.0398,132131,0.6697,0.3303,0.1543,0.0843,0.0682,0.0294,0.0033,
"27",165568,0.0037,0.5138,0.4479,0.0383,122822,0.655,0.345,0.1174,0.0907,0.1193,0.0241,0.004,
"28",163988,-0.0059,0.6337,0.3207,0.0456,119450,0.3538,0.6462,0.3715,0.1823,0.0761,0.0396,0.0079,
"29",162492,-0.015,0.6211,0.3339,0.045,126236,0.488,0.512,0.2282,0.1929,0.0736,0.0332,0.0063,
"30",168526,0.0216,0.4417,0.5232,0.0351,125884,0.7873,0.2127,0.0782,0.0212,0.0907,0.0192,0.0024,
"31",164485,-0.0029,0.7861,0.1793,0.0346,143171,0.7594,0.2406,0.1069,0.0667,0.0465,0.0233,0.0025,
"32",161740,-0.0195,0.7102,0.2485,0.0413,131811,0.5855,0.4145,0.2639,0.0721,0.0586,0.036,0.0026,
"33",163990,-0.0059,0.8294,0.1393,0.0313,119952,0.3924,0.6076,0.3131,0.2226,0.0596,0.0339,0.0071,
"34",167908,0.0179,0.7904,0.1686,0.041,137570,0.555,0.445,0.3409,0.0431,0.0414,0.0426,0.0023,
"35",167907,0.0178,0.2647,0.6928,0.0425,132939,0.7326,0.2674,0.187,0.0262,0.0175,0.0416,0.0032,
"Summary",164963,0.0499,0.5209,0.4352,0.0439,128845,0.6865,0.3135,0.1916,0.0486,0.0456,0.0335,0.0036,
