ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",22842,-0.0429,0.8908,0.0863,0.0229,17953,0.1824,0.8176,0.2287,0.5655,0.0468,0.02,0.0021,
"2",24188,0.0135,0.5398,0.4402,0.02,19448,0.7204,0.2796,0.115,0.0558,0.0687,0.0129,0.0003,
"3",23031,-0.0349,0.8793,0.1044,0.0163,17237,0.1021,0.8979,0.6079,0.2567,0.0397,0.026,0.003,
"4",23748,-0.0049,0.867,0.115,0.018,18266,0.2023,0.7977,0.5009,0.2417,0.0845,0.0196,0.0027,
"5",23667,-0.0083,0.7973,0.1841,0.0186,18928,0.2653,0.7347,0.1557,0.5342,0.054,0.0118,0.0016,
"6",23648,-0.0091,0.8406,0.1453,0.0142,17767,0.1808,0.8192,0.5599,0.228,0.0547,0.0197,0.0041,
"7",22938,-0.0388,0.9453,0.0426,0.0121,17319,0.1195,0.8805,0.2201,0.662,0.0156,0.0171,0.0013,
"8",23464,-0.0168,0.4892,0.4757,0.0351,18886,0.9084,0.0916,0.0335,0.0144,0.0157,0.0177,0.001,
"9",23418,-0.0187,0.6429,0.3302,0.0268,18405,0.5133,0.4867,0.1915,0.2023,0.0916,0.0195,0.0023,
"10",23676,-0.0079,0.7092,0.2677,0.0231,18441,0.3716,0.6284,0.306,0.2857,0.0415,0.0177,0.0024,
"11",23512,-0.0148,0.7245,0.2551,0.0204,18416,0.3337,0.6663,0.2528,0.2868,0.1347,0.021,0.0018,
"12",24349,0.0203,0.6415,0.3293,0.0292,19072,0.588,0.412,0.1527,0.1728,0.0837,0.0183,0.0014,
"13",23483,-0.016,0.611,0.3571,0.0318,18618,0.6771,0.3229,0.1191,0.1274,0.0711,0.0175,0.0012,
"14",23664,-0.0084,0.5853,0.3851,0.0295,18219,0.7319,0.2681,0.0476,0.0504,0.1556,0.0088,0.0009,
"15",23775,-0.0038,0.8183,0.1624,0.0194,20154,0.3869,0.6131,0.0689,0.5125,0.0332,0.0122,0.0018,
"16",24527,0.0278,0.5629,0.4036,0.0335,18850,0.858,0.142,0.0437,0.0283,0.0559,0.0107,0.0008,
"17",24278,0.0173,0.5276,0.4441,0.0283,18854,0.8515,0.1485,0.0372,0.0229,0.0701,0.009,0.0008,
