ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",23066,-0.0447,0.8724,0.1061,0.0215,18644,0.3105,0.6895,0.0517,0.6204,0.0201,0.0161,0.001,
"2",23821,-0.0134,0.8684,0.1126,0.019,17986,0.2457,0.7543,0.1269,0.6143,0.0234,0.0154,0.0019,
"3",23366,-0.0323,0.8392,0.137,0.0237,17132,0.2827,0.7173,0.2102,0.5078,0.0133,0.025,0.0019,
"4",23586,-0.0232,0.4459,0.5393,0.0148,20387,0.8466,0.1534,0.0512,0.0546,0.0157,0.0284,0.0008,
"5",23394,-0.0311,0.8051,0.1765,0.0184,17839,0.307,0.693,0.1086,0.5179,0.0649,0.0182,0.0015,
"6",23054,-0.0452,0.6741,0.3025,0.0233,18551,0.7586,0.2414,0.0389,0.1429,0.047,0.0126,0.0014,
"7",22931,-0.0503,0.6996,0.2764,0.024,18256,0.5822,0.4178,0.0696,0.2519,0.0875,0.0181,0.0005,
"8",25283,0.0471,0.6189,0.3605,0.0206,18712,0.5779,0.4221,0.0748,0.2858,0.0571,0.017,0.001,
"9",25123,0.0405,0.5701,0.4095,0.0203,18593,0.651,0.349,0.0451,0.2295,0.0593,0.0167,0.001,
"10",23180,-0.04,0.636,0.3443,0.0197,18734,0.7502,0.2498,0.0298,0.1073,0.1,0.01,0.0007,
"11",24861,0.0297,0.4179,0.5601,0.0221,18917,0.7865,0.2135,0.0438,0.1241,0.0182,0.0279,0.002,
"12",25133,0.0409,0.6434,0.3376,0.019,20604,0.851,0.149,0.0356,0.0366,0.0599,0.0092,0.0006,
"13",25044,0.0372,0.6641,0.3092,0.0268,19338,0.5889,0.4111,0.2334,0.1548,0.0206,0.0226,0.002,
"14",23044,-0.0456,0.586,0.4013,0.0127,20401,0.8851,0.1149,0.0402,0.0349,0.0203,0.0127,0.0012,
"15",24530,0.0159,0.6859,0.2929,0.0212,19301,0.4847,0.5153,0.0727,0.3524,0.081,0.0208,0.0009,
"16",24169,0.001,0.7951,0.1844,0.0205,18704,0.3612,0.6388,0.1593,0.4604,0.0184,0.022,0.0018,
"17",24699,0.0229,0.7065,0.2724,0.0211,19596,0.4736,0.5264,0.1382,0.3476,0.0354,0.021,0.0016,
"18",24505,0.0149,0.7153,0.2617,0.023,19715,0.4726,0.5274,0.1074,0.3006,0.1121,0.0185,0.0016,
"19",25130,0.0408,0.6095,0.3652,0.0253,20134,0.6765,0.3235,0.1742,0.0987,0.0358,0.0222,0.0005,
"20",23078,-0.0442,0.5205,0.4638,0.0157,19835,0.85,0.15,0.0559,0.0563,0.0192,0.0157,0.0007,
"21",24050,-0.0039,0.6087,0.3656,0.0257,19597,0.7521,0.2479,0.0655,0.0949,0.0743,0.0138,0.0013,
"22",25064,0.0381,0.5927,0.3865,0.0208,20007,0.7794,0.2206,0.0301,0.0379,0.1378,0.0077,0.0004,
"23",23870,-0.0114,0.6464,0.3251,0.0285,20508,0.7185,0.2815,0.052,0.1107,0.1066,0.0103,0.0011,
"24",24939,0.0329,0.655,0.3156,0.0294,19544,0.5698,0.4302,0.1374,0.2151,0.0678,0.0242,0.0015,
"25",25000,0.0354,0.6557,0.3161,0.0281,21231,0.6276,0.3724,0.0676,0.2079,0.0891,0.0131,0.0009,
"26",22925,-0.0505,0.7277,0.2482,0.0241,17298,0.4095,0.5905,0.1297,0.3202,0.1353,0.0182,0.0009,
"27",24954,0.0335,0.6031,0.3752,0.0217,19145,0.6232,0.3768,0.0523,0.2104,0.103,0.0147,0.0009,
"28",25703,0.0645,0.5797,0.397,0.0232,19965,0.5357,0.4643,0.0676,0.3557,0.0267,0.025,0.002,
"29",23301,-0.035,0.547,0.4333,0.0197,17835,0.5916,0.4084,0.0518,0.2974,0.0348,0.0281,0.0006,
"30",24785,0.0265,0.3417,0.6384,0.0199,19285,0.7714,0.2286,0.042,0.1384,0.0151,0.0333,0.0012,
"31",25086,0.039,0.6719,0.3036,0.0245,20283,0.4367,0.5633,0.0621,0.443,0.0433,0.0225,0.0018,
"32",23371,-0.0321,0.6234,0.35,0.0266,17030,0.4706,0.5294,0.1006,0.3682,0.0477,0.0291,0.0044,
"33",23735,-0.017,0.4271,0.5516,0.0213,18403,0.679,0.321,0.0804,0.1986,0.0246,0.0262,0.0024,
"34",24498,0.0146,0.5098,0.4673,0.0229,18794,0.6222,0.3778,0.0583,0.2537,0.0501,0.0279,0.0024,
"35",22898,-0.0516,0.3641,0.6189,0.0171,17709,0.6714,0.3286,0.1136,0.1788,0.0142,0.0285,0.0016,
"36",23024,-0.0464,0.4267,0.5531,0.0202,17941,0.6929,0.3071,0.1153,0.1579,0.0159,0.0257,0.0012,
"37",24099,-0.0019,0.4254,0.558,0.0166,18738,0.6237,0.3763,0.204,0.1452,0.0105,0.0267,0.0014,
"38",25152,0.0417,0.4079,0.5802,0.0119,22893,0.9326,0.0674,0.0232,0.0136,0.0142,0.0103,0.0007,
"39",23622,-0.0217,0.3984,0.5812,0.0204,18008,0.637,0.363,0.1118,0.2154,0.0183,0.0251,0.0012,
"40",23633,-0.0212,0.3151,0.6676,0.0173,17831,0.7485,0.2515,0.0643,0.1439,0.0177,0.0227,0.0021,
"41",25242,0.0454,0.3864,0.5993,0.0144,20119,0.7363,0.2637,0.1007,0.1218,0.0199,0.0214,0.0009,
"",24145,0.1162,0.587,0.3922,0.0208,19111,0.6244,0.3756,0.0867,0.2276,0.0483,0.0199,0.0013,
