ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",44708,-0.0516,0.7288,0.2475,0.0238,37095,0.6728,0.3272,0.0443,0.2312,0.0429,0.0126,0.0011,
"2",45528,-0.0342,0.8346,0.1475,0.0179,34390,0.2555,0.7445,0.1259,0.6074,0.0143,0.0202,0.0017,
"3",44517,-0.0557,0.826,0.1517,0.0223,33184,0.2993,0.7007,0.2094,0.4854,0.0183,0.0221,0.0018,
"4",44976,-0.0459,0.6143,0.3658,0.0199,36131,0.7693,0.2307,0.0387,0.0501,0.1269,0.0092,0.0008,
"5",44972,-0.046,0.6659,0.3125,0.0216,35924,0.6894,0.3106,0.0479,0.1696,0.0824,0.0139,0.0007,
"6",48422,0.0272,0.552,0.4336,0.0144,42283,0.8693,0.1307,0.046,0.0457,0.0199,0.0145,0.001,
"7",45275,-0.0396,0.6168,0.3571,0.0261,35927,0.6856,0.3144,0.1681,0.0985,0.0349,0.0214,0.0013,
"8",45574,-0.0332,0.6322,0.34,0.0278,39559,0.7027,0.2973,0.0556,0.1391,0.0933,0.0105,0.0011,
"9",45283,-0.0394,0.6383,0.3344,0.0272,36077,0.6198,0.3802,0.1235,0.1708,0.0752,0.0194,0.0013,
"10",47223,0.0018,0.6041,0.3752,0.0207,35228,0.6068,0.3932,0.0602,0.2438,0.0812,0.0162,0.001,
"11",47937,0.0169,0.7092,0.2658,0.025,36678,0.4648,0.5352,0.1101,0.305,0.1122,0.019,0.0009,
"12",47273,0.0028,0.6458,0.3333,0.0209,37098,0.5663,0.4337,0.059,0.2965,0.065,0.0177,0.0009,
"13",48134,0.0211,0.7492,0.2299,0.0208,37635,0.3877,0.6123,0.1231,0.4227,0.0648,0.0201,0.0016,
"14",50527,0.0718,0.5614,0.4162,0.0223,38278,0.6079,0.3921,0.0529,0.2969,0.0267,0.0224,0.0014,
"15",46948,-0.0041,0.3703,0.6097,0.02,36432,0.7755,0.2245,0.041,0.1325,0.0169,0.0327,0.0014,
"16",47734,0.0126,0.4921,0.4852,0.0226,36211,0.6302,0.3698,0.0753,0.2336,0.0439,0.0282,0.0033,
"17",48809,0.0354,0.6386,0.3372,0.0242,38338,0.4522,0.5478,0.0724,0.4192,0.0417,0.0263,0.002,
"18",48379,0.0263,0.3973,0.5835,0.0192,37288,0.6708,0.3292,0.1162,0.1776,0.0163,0.0264,0.0017,
"19",49666,0.0536,0.4278,0.556,0.0162,40374,0.7272,0.2728,0.1241,0.1148,0.0132,0.024,0.0011,
"20",49084,0.0412,0.4082,0.5789,0.0129,42324,0.8343,0.1657,0.064,0.0641,0.0161,0.0193,0.0008,
"21",48979,0.039,0.3506,0.6314,0.018,37089,0.7026,0.2974,0.0856,0.1716,0.018,0.0234,0.0017,
"",47140,0.1275,0.587,0.3922,0.0208,37312,0.6244,0.3756,0.0867,0.2276,0.0483,0.0199,0.0013,
