ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",769221,0,0.3003,0.6757,0.0239,605557,0.7216,0.2784,0.0669,0.1354,0.0424,0.0318,0.0038,
"2",769221,0,0.4382,0.5454,0.0164,619356,0.6548,0.3452,0.0642,0.2309,0.0278,0.0234,0.0018,
"3",769221,0,0.4213,0.5629,0.0158,624295,0.6773,0.3227,0.1064,0.1588,0.0389,0.0195,0.0016,
"4",769221,0,0.4398,0.5434,0.0168,590934,0.5533,0.4467,0.0782,0.3166,0.0358,0.0216,0.0027,
"5",769221,0,0.3773,0.6025,0.0201,606741,0.6749,0.3251,0.1086,0.128,0.0704,0.0183,0.0027,
"6",769221,0,0.374,0.6085,0.0174,634516,0.7476,0.2524,0.0978,0.1122,0.0206,0.0206,0.0016,
"7",769221,0,0.4484,0.5264,0.0251,616306,0.6459,0.3541,0.1897,0.1053,0.0472,0.0195,0.002,
"8",769221,0,0.3902,0.5876,0.0223,633719,0.7491,0.2509,0.1005,0.0968,0.0318,0.0202,0.0021,
"9",769221,0,0.5881,0.3922,0.0197,593636,0.3234,0.6766,0.5004,0.1302,0.052,0.0189,0.0031,
"10",769221,0,0.6388,0.3394,0.0218,610303,0.3853,0.6147,0.2863,0.2598,0.0609,0.0175,0.0029,
"11",769221,0,0.4145,0.5694,0.0161,618709,0.6327,0.3673,0.1709,0.1276,0.0461,0.0177,0.0019,
"12",769221,0,0.3532,0.623,0.0238,626932,0.7831,0.2169,0.1172,0.0529,0.0251,0.0213,0.0016,
"13",769221,0,0.4515,0.525,0.0235,650487,0.7719,0.2281,0.0956,0.0709,0.041,0.0181,0.0019,
"14",769221,0,0.5838,0.3956,0.0206,620281,0.4942,0.5058,0.2597,0.1913,0.0501,0.0163,0.0018,
"15",769221,0,0.4659,0.5121,0.022,599800,0.5492,0.4508,0.2274,0.154,0.0602,0.0206,0.0021,
"16",769221,0,0.4272,0.5519,0.0209,607353,0.6451,0.3549,0.1867,0.1198,0.036,0.0185,0.0018,
"17",769221,0,0.4079,0.5753,0.0168,654821,0.7908,0.2092,0.1154,0.0556,0.0199,0.015,0.0011,
"18",769221,0,0.3766,0.6064,0.017,603562,0.598,0.402,0.2368,0.1321,0.02,0.0213,0.0016,
"19",769221,0,0.3612,0.6253,0.0135,650465,0.7407,0.2593,0.1622,0.0607,0.0222,0.0127,0.0012,
"20",769221,0,0.7788,0.2116,0.0095,595408,0.2354,0.7646,0.2298,0.5011,0.0337,0.0119,0.0021,
"21",769221,0,0.4497,0.5376,0.0127,629736,0.6809,0.3191,0.1514,0.1248,0.028,0.0155,0.0016,
"22",769220,0,0.5891,0.399,0.012,625981,0.5532,0.4468,0.2465,0.1588,0.0335,0.0152,0.0015,
"23",769221,0,0.5652,0.423,0.0118,632647,0.5841,0.4159,0.2051,0.1317,0.0443,0.0106,0.0015,
"24",769221,0,0.7895,0.2017,0.0087,611792,0.1823,0.8177,0.3846,0.4217,0.0222,0.0092,0.0013,
"25",769221,0,0.6198,0.3676,0.0127,607264,0.3435,0.6565,0.4226,0.1752,0.0602,0.0126,0.0018,
"26",769221,0,0.4388,0.5486,0.0126,623498,0.1968,0.8032,0.7322,0.0692,0.0152,0.0087,0.0008,
"27",769221,0,0.5238,0.4646,0.0116,636002,0.1688,0.8312,0.7418,0.0707,0.0262,0.0086,0.0009,
"28",769221,0,0.5103,0.4759,0.0138,609131,0.1523,0.8477,0.7335,0.1032,0.0223,0.0115,0.001,
"",769219,0,0.4753,0.5074,0.0173,619258,0.5465,0.4535,0.2499,0.1554,0.0368,0.017,0.0018,
