ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",178511,-0.0054,0.3562,0.6231,0.0207,141588,0.6564,0.3436,0.0539,0.2112,0.0435,0.0332,0.0032,
"2",180797,0.0073,0.3899,0.5872,0.0229,145701,0.6998,0.3002,0.0601,0.1687,0.0424,0.0269,0.0033,
"3",178528,-0.0053,0.2061,0.7689,0.025,137282,0.7952,0.2048,0.0542,0.0769,0.0315,0.0366,0.004,
"4",183737,0.0237,0.267,0.7039,0.0291,143223,0.7047,0.2953,0.0971,0.112,0.0573,0.031,0.0051,
"5",181243,0.0098,0.2268,0.761,0.0122,144921,0.7753,0.2247,0.0506,0.1293,0.0126,0.0304,0.0019,
"6",175216,-0.0238,0.2547,0.7254,0.0199,139659,0.7592,0.2408,0.0685,0.1062,0.0339,0.0302,0.0028,
"7",182734,0.0181,0.2644,0.7229,0.0127,147456,0.7513,0.2487,0.0614,0.1526,0.0083,0.0245,0.0016,
"8",175555,-0.0219,0.7329,0.2502,0.0169,140699,0.376,0.624,0.0879,0.5008,0.0279,0.0169,0.0016,
"9",182853,0.0188,0.5242,0.4585,0.0173,148872,0.6937,0.3063,0.0632,0.1808,0.0459,0.0164,0.0015,
"10",180867,0.0077,0.2894,0.697,0.0136,143038,0.7346,0.2654,0.0589,0.1675,0.016,0.0208,0.0015,
"11",177922,-0.0087,0.2885,0.6912,0.0203,134291,0.6815,0.3185,0.102,0.1444,0.05,0.0256,0.004,
"12",181072,0.0088,0.4199,0.5596,0.0205,141370,0.583,0.417,0.1288,0.2162,0.0567,0.0207,0.0029,
"13",183002,0.0196,0.6176,0.3673,0.0151,140588,0.4056,0.5944,0.0663,0.4851,0.0312,0.0191,0.0022,
"14",176278,-0.0179,0.6386,0.3455,0.0159,135795,0.3565,0.6435,0.1016,0.5041,0.0317,0.0175,0.0025,
"15",182272,0.0155,0.327,0.6571,0.016,141830,0.6999,0.3001,0.0633,0.1869,0.0288,0.0229,0.0021,
"16",180047,0.0031,0.3819,0.5966,0.0214,144681,0.6759,0.3241,0.1032,0.124,0.0796,0.0196,0.0042,
"17",183248,0.021,0.4136,0.5644,0.022,149525,0.6063,0.3937,0.123,0.1456,0.1084,0.016,0.0028,
"18",180300,0.0045,0.2966,0.6862,0.0171,132656,0.8016,0.1984,0.0772,0.0452,0.0547,0.0167,0.0017,
"19",175457,-0.0224,0.4012,0.5806,0.0182,147545,0.781,0.219,0.0816,0.0928,0.0242,0.0178,0.0014,
"20",175874,-0.0201,0.2778,0.7069,0.0153,140566,0.7904,0.2096,0.0714,0.097,0.0122,0.0253,0.0021,
"21",176405,-0.0172,0.6408,0.3408,0.0184,143932,0.5064,0.4936,0.1296,0.2903,0.0617,0.0179,0.0015,
"22",183529,0.0225,0.4757,0.5066,0.0177,149565,0.7336,0.2664,0.1005,0.0851,0.0595,0.0193,0.0015,
"23",176178,-0.0184,0.2969,0.6808,0.0224,150289,0.8646,0.1354,0.0582,0.0333,0.0182,0.0208,0.0012,
"24",175595,-0.0217,0.3682,0.6157,0.0162,143416,0.6943,0.3057,0.1605,0.0995,0.0287,0.0198,0.0018,
"25",176494,-0.0167,0.4145,0.5689,0.0165,141722,0.6232,0.3768,0.2056,0.1128,0.0379,0.0215,0.0021,
"26",177279,-0.0123,0.3602,0.6236,0.0162,146798,0.7464,0.2536,0.1013,0.1116,0.0217,0.0184,0.0019,
"27",183145,0.0204,0.3332,0.6498,0.017,149959,0.7682,0.2318,0.1242,0.0671,0.0175,0.0221,0.0016,
"28",178466,-0.0057,0.4583,0.5216,0.02,151647,0.7161,0.2839,0.0691,0.1667,0.0288,0.0183,0.0014,
"29",176556,-0.0163,0.4552,0.5251,0.0196,140315,0.5993,0.4007,0.2507,0.1166,0.0221,0.0237,0.002,
"30",181596,0.0118,0.369,0.6103,0.0207,152294,0.838,0.162,0.0527,0.0618,0.0225,0.0208,0.0016,
"31",179252,-0.0013,0.3705,0.6026,0.0269,148501,0.7862,0.2138,0.0778,0.0799,0.0288,0.023,0.0029,
"32",178737,-0.0042,0.3866,0.5885,0.025,146498,0.7747,0.2253,0.0929,0.0671,0.0434,0.0192,0.0023,
"33",183186,0.0206,0.4525,0.5242,0.0233,147310,0.6414,0.3586,0.1396,0.1607,0.0412,0.0217,0.0022,
"34",178835,-0.0036,0.3707,0.6162,0.0131,151768,0.7907,0.2093,0.1003,0.0719,0.0175,0.0148,0.0011,
"35",176404,-0.0172,0.5005,0.476,0.0235,134827,0.4812,0.5188,0.3186,0.1184,0.0779,0.0191,0.0028,
"36",175313,-0.0232,0.4922,0.4814,0.0264,136389,0.5534,0.4466,0.1984,0.165,0.0745,0.0193,0.0022,
"37",175353,-0.023,0.5289,0.4415,0.0296,143656,0.5438,0.4562,0.2533,0.1154,0.0794,0.0181,0.0025,
"38",175442,-0.0225,0.4973,0.471,0.0317,141572,0.5794,0.4206,0.2437,0.1229,0.0492,0.0192,0.0023,
"39",175326,-0.0232,0.4722,0.5077,0.0201,134694,0.5346,0.4654,0.2297,0.1793,0.0447,0.0201,0.002,
"40",175326,-0.0232,0.696,0.2872,0.0169,132410,0.2822,0.7178,0.1849,0.4803,0.0484,0.0171,0.0026,
"41",176364,-0.0174,0.7858,0.1972,0.017,134976,0.1882,0.8118,0.2946,0.4426,0.0472,0.0153,0.0031,
"42",180528,0.0058,0.5496,0.4285,0.0219,150826,0.6443,0.3557,0.1914,0.1016,0.0516,0.0174,0.0025,
"43",175629,-0.0215,0.6279,0.3484,0.0237,136423,0.2597,0.7403,0.5769,0.1282,0.0534,0.0203,0.0029,
"44",175329,-0.0232,0.6076,0.3718,0.0206,137829,0.3409,0.6591,0.4338,0.1096,0.0991,0.0163,0.0041,
"45",175973,-0.0196,0.4829,0.4996,0.0176,132296,0.5781,0.4219,0.2043,0.0848,0.0887,0.0148,0.0022,
"46",176200,-0.0183,0.6757,0.3061,0.0182,134263,0.2116,0.7884,0.5899,0.1694,0.0449,0.0194,0.0032,
"47",176233,-0.0181,0.5773,0.4037,0.0191,134235,0.2742,0.7258,0.5848,0.1195,0.0385,0.0202,0.0031,
"48",183593,0.0229,0.4374,0.547,0.0156,145704,0.5543,0.4457,0.2321,0.1852,0.0231,0.0188,0.0016,
"49",178192,-0.0072,0.3592,0.6205,0.0203,134973,0.6301,0.3699,0.2043,0.124,0.0254,0.0231,0.0018,
"50",180902,0.0079,0.4127,0.5649,0.0224,142687,0.6113,0.3887,0.1876,0.1629,0.0244,0.0215,0.0017,
"51",182359,0.016,0.4494,0.5319,0.0188,143072,0.5473,0.4527,0.2936,0.1274,0.0225,0.0227,0.002,
"52",182726,0.0181,0.2967,0.6894,0.0139,163421,0.8411,0.1589,0.0614,0.0673,0.0118,0.0153,0.0009,
"53",175358,-0.023,0.3554,0.6212,0.0235,144801,0.7834,0.2166,0.1304,0.0463,0.0187,0.0216,0.0016,
"54",176277,-0.0179,0.4132,0.565,0.0218,138511,0.6505,0.3495,0.183,0.1068,0.0451,0.0202,0.0018,
"55",175430,-0.0226,0.3723,0.6049,0.0228,136606,0.7409,0.2591,0.1399,0.0569,0.0433,0.0195,0.0017,
"56",176367,-0.0174,0.402,0.5704,0.0275,144047,0.7767,0.2233,0.1278,0.0511,0.0236,0.0222,0.0018,
"57",177343,-0.0119,0.4192,0.5586,0.0223,148415,0.8378,0.1622,0.0745,0.0355,0.0322,0.0157,0.0016,
"58",175888,-0.02,0.4549,0.5217,0.0234,149163,0.7377,0.2623,0.1265,0.0837,0.034,0.0194,0.002,
"59",178235,-0.007,0.4356,0.5386,0.0258,150127,0.7755,0.2245,0.0962,0.0667,0.0383,0.0192,0.0019,
"60",175492,-0.0222,0.533,0.4391,0.0279,149167,0.7347,0.2653,0.1003,0.0765,0.067,0.0187,0.0015,
"61",175321,-0.0232,0.4629,0.5142,0.0229,151627,0.8015,0.1985,0.0829,0.047,0.0464,0.0175,0.0019,
"62",176028,-0.0193,0.7312,0.2516,0.0172,136589,0.3581,0.6419,0.2073,0.3987,0.0362,0.0169,0.0021,
"63",175559,-0.0219,0.7705,0.2131,0.0164,133480,0.2883,0.7117,0.2406,0.447,0.0322,0.0182,0.0025,
"64",175706,-0.0211,0.6021,0.3767,0.0212,142335,0.2796,0.7204,0.5666,0.1173,0.0476,0.0156,0.0016,
"65",176912,-0.0143,0.4848,0.4945,0.0207,144407,0.6674,0.3326,0.1779,0.074,0.0671,0.0157,0.0023,
"66",175639,-0.0214,0.4399,0.5389,0.0212,138501,0.5992,0.4008,0.2425,0.0821,0.0664,0.0162,0.002,
"67",177964,-0.0085,0.5789,0.398,0.023,139746,0.4617,0.5383,0.2136,0.2006,0.1186,0.0178,0.0026,
"68",175705,-0.0211,0.3661,0.6118,0.022,133952,0.5872,0.4128,0.2575,0.1054,0.0362,0.0268,0.0017,
"69",175349,-0.023,0.4572,0.5197,0.0232,131279,0.5541,0.4459,0.2217,0.1614,0.0552,0.0212,0.0025,
"70",175478,-0.0223,0.4141,0.5666,0.0193,138876,0.6377,0.3623,0.1924,0.1298,0.0304,0.0191,0.0018,
"71",175460,-0.0224,0.4367,0.5424,0.021,142952,0.6812,0.3188,0.1741,0.109,0.0184,0.0175,0.0016,
"72",176500,-0.0166,0.3846,0.5965,0.0189,145169,0.7639,0.2361,0.132,0.0529,0.033,0.0155,0.0011,
"73",183473,0.0222,0.4778,0.5065,0.0156,162815,0.8293,0.1707,0.0836,0.0449,0.0248,0.0122,0.0011,
"74",183447,0.0221,0.4073,0.5742,0.0185,150727,0.803,0.197,0.1038,0.0473,0.024,0.0153,0.0011,
"75",183275,0.0211,0.3745,0.6083,0.0172,162238,0.8682,0.1318,0.0567,0.0384,0.0171,0.0152,0.0012,
"76",181871,0.0133,0.3282,0.6551,0.0167,156232,0.7993,0.2007,0.115,0.0555,0.0123,0.0151,0.0008,
"77",183022,0.0197,0.4174,0.5686,0.014,139756,0.5209,0.4791,0.3132,0.1347,0.0215,0.017,0.0012,
"78",183124,0.0203,0.4305,0.5548,0.0147,151693,0.6512,0.3488,0.1803,0.1243,0.0289,0.0154,0.0012,
"79",183355,0.0216,0.3571,0.6295,0.0134,149397,0.7013,0.2987,0.2142,0.0475,0.022,0.0148,0.0014,
"80",183411,0.0219,0.3317,0.656,0.0123,163563,0.8596,0.1404,0.0936,0.0138,0.0186,0.0093,0.001,
"81",182510,0.0169,0.3308,0.6564,0.0129,160168,0.7752,0.2248,0.1537,0.0429,0.0172,0.0095,0.0009,
"82",183534,0.0226,0.3794,0.6063,0.0143,140061,0.4346,0.5654,0.4396,0.1012,0.0158,0.0195,0.0011,
"83",178332,-0.0064,0.3097,0.6777,0.0126,143384,0.6597,0.3403,0.2109,0.0983,0.0154,0.019,0.0014,
"84",183408,0.0219,0.4837,0.5043,0.012,149012,0.5994,0.4006,0.1609,0.2051,0.0202,0.0169,0.0017,
"85",182082,0.0145,0.4711,0.5156,0.0134,144502,0.6258,0.3742,0.1722,0.1572,0.0274,0.0161,0.0021,
"86",179269,-0.0012,0.3868,0.5994,0.0138,149344,0.7762,0.2238,0.1405,0.05,0.0188,0.0176,0.0011,
"87",182880,0.0189,0.4879,0.4995,0.0127,154022,0.7192,0.2808,0.1584,0.0753,0.035,0.0148,0.0018,
"88",175984,-0.0195,0.7745,0.2144,0.0111,132898,0.2366,0.7634,0.2316,0.5005,0.036,0.0143,0.002,
"89",177515,-0.011,0.6183,0.3676,0.0141,134359,0.2929,0.7071,0.5151,0.1664,0.028,0.0315,0.0023,
"90",179439,-0.0003,0.6067,0.3811,0.0122,151729,0.5856,0.4144,0.1329,0.2405,0.0288,0.0104,0.0013,
"91",180714,0.0069,0.5166,0.4721,0.0114,152122,0.7156,0.2844,0.1465,0.0608,0.0394,0.008,0.0011,
"92",179284,-0.0011,0.6006,0.3889,0.0105,151592,0.7365,0.2635,0.1267,0.075,0.0374,0.0072,0.001,
"93",180537,0.0059,0.5493,0.438,0.0127,140854,0.5409,0.4591,0.2497,0.1533,0.0488,0.0124,0.0015,
"94",178736,-0.0042,0.5098,0.4795,0.0107,144186,0.5518,0.4482,0.2004,0.2034,0.0334,0.0128,0.0017,
"95",181346,0.0104,0.6211,0.3672,0.0117,141565,0.4447,0.5553,0.2393,0.2208,0.0622,0.0105,0.0019,
"96",180503,0.0057,0.6612,0.3254,0.0135,141086,0.374,0.626,0.3092,0.2531,0.0606,0.0103,0.0019,
"97",181456,0.011,0.8241,0.1673,0.0086,141121,0.1748,0.8252,0.2159,0.5794,0.0373,0.0101,0.0026,
"98",183663,0.0233,0.7269,0.2633,0.0098,147364,0.3493,0.6507,0.2313,0.3496,0.027,0.0126,0.0016,
"99",180790,0.0073,0.7942,0.1979,0.0079,142035,0.2761,0.7239,0.1795,0.5202,0.0246,0.013,0.0022,
"100",182865,0.0188,0.4969,0.492,0.0111,159791,0.6929,0.3071,0.1674,0.0831,0.0267,0.0117,0.0013,
"101",179020,-0.0026,0.6018,0.3852,0.013,147079,0.4701,0.5299,0.3445,0.1365,0.0431,0.014,0.002,
"102",183490,0.0223,0.5878,0.3988,0.0134,144997,0.454,0.546,0.3489,0.1284,0.0669,0.0101,0.0017,
"103",182670,0.0177,0.606,0.3815,0.0125,138088,0.2536,0.7464,0.5158,0.1437,0.0869,0.0098,0.0015,
"104",176085,-0.0189,0.7679,0.2232,0.0089,138416,0.1092,0.8908,0.4531,0.4118,0.0475,0.0087,0.0016,
"105",183727,0.0236,0.7575,0.2319,0.0106,143605,0.2023,0.7977,0.3977,0.3815,0.0346,0.0157,0.002,
"106",180735,0.007,0.5903,0.3953,0.0144,152281,0.4347,0.5653,0.4676,0.048,0.0275,0.0084,0.0011,
"107",183505,0.0224,0.8223,0.17,0.0077,143948,0.1242,0.8758,0.3616,0.5037,0.0256,0.009,0.0013,
"108",181345,0.0104,0.8482,0.1441,0.0077,145415,0.1358,0.8642,0.3542,0.5069,0.0208,0.0097,0.0012,
"109",183366,0.0216,0.8239,0.1691,0.0071,144240,0.0486,0.9514,0.5837,0.4006,0.0099,0.011,0.0009,
"110",178199,-0.0072,0.4503,0.5375,0.0122,144796,0.0541,0.9459,0.8891,0.065,0.0139,0.0058,0.0006,
"111",182977,0.0195,0.4762,0.5101,0.0137,145230,0.0538,0.9462,0.9011,0.0315,0.0212,0.0062,0.0007,
"112",179362,-0.0007,0.4114,0.579,0.0096,151343,0.0407,0.9593,0.9399,0.0358,0.0064,0.0054,0.0007,
"113",182742,0.0181,0.5786,0.4069,0.0145,153773,0.2075,0.7925,0.7194,0.0455,0.0257,0.0115,0.001,
"114",181962,0.0138,0.5189,0.4713,0.0097,151972,0.1815,0.8185,0.745,0.0579,0.0224,0.0074,0.0011,
"115",183386,0.0217,0.5094,0.4791,0.0114,146786,0.2377,0.7623,0.6586,0.0677,0.0408,0.0087,0.0008,
"116",182984,0.0195,0.4371,0.5489,0.0139,153522,0.0824,0.9176,0.8741,0.0332,0.0211,0.0067,0.0008,
"117",182260,0.0155,0.7287,0.2615,0.0098,135281,0.066,0.934,0.6506,0.2893,0.0177,0.0122,0.001,
"118",183694,0.0235,0.4647,0.5225,0.0128,150228,0.0767,0.9233,0.8574,0.056,0.022,0.0064,0.0007,
"119",183655,0.0232,0.5104,0.4758,0.0138,146300,0.0748,0.9252,0.852,0.0537,0.0315,0.0083,0.0007,
"120",183229,0.0209,0.4918,0.4926,0.0156,145013,0.4158,0.5842,0.4489,0.116,0.0194,0.0205,0.0016,
"",179484,0.0475,0.4753,0.5074,0.0173,144494,0.5465,0.4535,0.2499,0.1554,0.0368,0.017,0.0018,
