ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",539263,0.0015,0.322,0.655,0.0229,425129,0.7121,0.2879,0.0569,0.1563,0.0396,0.0322,0.0036,
"2",538769,0.0006,0.2482,0.7312,0.0206,427245,0.7505,0.2495,0.0712,0.1128,0.0342,0.0305,0.0032,
"3",541142,0.005,0.5098,0.4744,0.0158,437027,0.6109,0.3891,0.0706,0.2743,0.0274,0.0193,0.0015,
"4",542508,0.0075,0.3568,0.6237,0.0195,434081,0.6865,0.3135,0.0918,0.1354,0.0659,0.0197,0.0029,
"5",543411,0.0092,0.5792,0.4033,0.0175,419708,0.4231,0.5769,0.1043,0.4162,0.0474,0.0189,0.0026,
"6",538821,0.0007,0.3638,0.6183,0.0179,425131,0.7033,0.2967,0.0879,0.1464,0.0408,0.0219,0.0023,
"7",541606,0.0059,0.348,0.6345,0.0175,432446,0.7898,0.2102,0.0785,0.0781,0.0314,0.0185,0.0017,
"8",543176,0.0088,0.4192,0.5607,0.0202,446999,0.7102,0.2898,0.1321,0.1148,0.0242,0.0214,0.0017,
"9",536986,-0.0027,0.4082,0.5756,0.0162,438273,0.6826,0.3174,0.1239,0.1385,0.0358,0.0208,0.0017,
"10",535435,-0.0056,0.4834,0.4892,0.0273,423987,0.6024,0.3976,0.2015,0.1253,0.0616,0.0178,0.0021,
"11",538539,0.0002,0.3167,0.6632,0.02,461615,0.8313,0.1687,0.0819,0.0488,0.0165,0.0189,0.0012,
"12",536474,-0.0037,0.44,0.5408,0.0193,421893,0.5629,0.4371,0.2429,0.1613,0.0236,0.0212,0.0017,
"13",536634,-0.0034,0.4045,0.5789,0.0167,426144,0.6646,0.3354,0.1573,0.0989,0.0511,0.0185,0.002,
"14",535992,-0.0046,0.499,0.4798,0.0212,429795,0.5106,0.4894,0.3262,0.0942,0.0654,0.0157,0.002,
"15",534207,-0.0079,0.6503,0.3319,0.0178,407725,0.3096,0.6904,0.2535,0.3748,0.0475,0.0179,0.0028,
"16",535448,-0.0056,0.6866,0.2943,0.0191,420545,0.4059,0.5941,0.2178,0.332,0.0433,0.0179,0.0024,
"17",533788,-0.0087,0.5824,0.3929,0.0248,427713,0.4346,0.5654,0.3803,0.118,0.0694,0.0193,0.0028,
"18",542722,0.0079,0.461,0.5137,0.0252,460442,0.7669,0.2331,0.097,0.064,0.0497,0.0189,0.0018,
"19",537497,-0.0018,0.4005,0.5747,0.0249,440944,0.7388,0.2612,0.1015,0.1008,0.037,0.0209,0.0024,
"20",535067,-0.0063,0.4128,0.5666,0.0207,423758,0.6707,0.3293,0.1722,0.1097,0.0332,0.0188,0.0018,
"21",535205,-0.006,0.4156,0.5607,0.0237,443414,0.7908,0.2092,0.1061,0.0522,0.0313,0.0188,0.0018,
"22",533476,-0.0092,0.4322,0.5502,0.0175,457296,0.8175,0.1825,0.0959,0.0433,0.0245,0.0136,0.001,
"23",536137,-0.0043,0.423,0.5547,0.0222,412257,0.598,0.402,0.2141,0.1189,0.0562,0.0221,0.0019,
"24",543535,0.0094,0.6308,0.3566,0.0126,426669,0.3947,0.6053,0.3222,0.251,0.0311,0.0203,0.002,
"25",533312,-0.0095,0.5993,0.3813,0.0194,411271,0.3001,0.6999,0.5256,0.1277,0.052,0.0191,0.0033,
"26",540142,0.0031,0.5811,0.4077,0.0111,450997,0.6467,0.3533,0.1453,0.1581,0.0363,0.0087,0.0012,
"27",534545,-0.0073,0.3491,0.634,0.0169,434101,0.7131,0.2869,0.1604,0.0905,0.0189,0.0184,0.0014,
"28",537495,-0.0018,0.355,0.6319,0.013,438888,0.6286,0.3714,0.2659,0.0768,0.0188,0.0136,0.001,
"29",535749,-0.005,0.405,0.5823,0.0127,439428,0.676,0.324,0.1546,0.1334,0.0191,0.017,0.0014,
"30",539428,0.0018,0.6112,0.3769,0.0118,424951,0.4684,0.5316,0.2281,0.2129,0.0503,0.0106,0.0016,
"31",540900,0.0045,0.4414,0.546,0.0126,439436,0.6892,0.3108,0.1557,0.1102,0.0301,0.0152,0.0016,
"32",542051,0.0067,0.7684,0.2218,0.0098,429267,0.2719,0.7281,0.2313,0.4615,0.0378,0.0106,0.0021,
"33",538875,0.0008,0.3739,0.6119,0.0142,452580,0.7286,0.2714,0.1718,0.0626,0.0216,0.0142,0.0013,
"34",533571,-0.0091,0.8261,0.1663,0.0076,419631,0.1193,0.8807,0.3796,0.5007,0.0191,0.0091,0.0013,
"35",542250,0.0071,0.6376,0.35,0.0123,420434,0.2732,0.7268,0.4526,0.2079,0.0712,0.0116,0.0017,
"36",540685,0.0041,0.5328,0.4547,0.0126,457302,0.145,0.855,0.7849,0.0623,0.0211,0.0098,0.0009,
"37",542618,0.0077,0.5847,0.4038,0.0115,451875,0.5093,0.4907,0.2979,0.1512,0.0274,0.0123,0.0015,
"38",543674,0.0097,0.5677,0.4213,0.011,429766,0.1841,0.8159,0.6639,0.1301,0.0298,0.0094,0.001,
"39",534522,-0.0073,0.4612,0.5268,0.012,435487,0.0486,0.9514,0.9013,0.054,0.0142,0.0058,0.0007,
"40",542532,0.0076,0.4861,0.4996,0.0143,433582,0.1873,0.8127,0.715,0.0823,0.0233,0.0118,0.001,
"",538453,0.0192,0.4753,0.5074,0.0173,433481,0.5465,0.4535,0.2499,0.1554,0.0368,0.017,0.0018,
