ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",59666,0.0026,0.191,0.7784,0.0306,46801,0.8943,0.1057,0.0211,0.042,0.0076,0.0302,0.0009,
"2",59773,0.0044,0.1709,0.8042,0.0248,46159,0.8533,0.1467,0.0757,0.0315,0.0131,0.0259,0.0005,
"3",60199,0.0116,0.1975,0.7746,0.0278,46716,0.8846,0.1154,0.0296,0.0335,0.0184,0.0293,0.002,
"4",59070,-0.0074,0.3523,0.6194,0.0283,42798,0.4778,0.5222,0.4413,0.0538,0.0151,0.045,0.001,
"5",58837,-0.0113,0.1721,0.8035,0.0244,44623,0.7855,0.2145,0.1262,0.046,0.0148,0.0301,0.0009,
"6",59712,0.0034,0.1551,0.823,0.022,45152,0.83,0.17,0.1196,0.0151,0.0073,0.0345,0.0006,
"7",59081,-0.0072,0.1657,0.8118,0.0225,48771,0.9015,0.0985,0.0553,0.0062,0.0067,0.0288,0.0004,
"8",59244,-0.0045,0.1664,0.8123,0.0214,49612,0.9187,0.0813,0.0274,0.0143,0.0077,0.0262,0.0006,
"9",59474,-0.0006,0.1491,0.8222,0.0287,48273,0.8893,0.1107,0.0474,0.0157,0.0129,0.03,0.0015,
"10",59519,0.0001,0.1658,0.8087,0.0255,47164,0.8182,0.1818,0.1004,0.0373,0.0184,0.026,0.0012,
"11",58792,-0.0121,0.1587,0.8164,0.0249,45396,0.8931,0.1069,0.0423,0.0185,0.0138,0.0268,0.0009,
"12",59300,-0.0035,0.1935,0.7843,0.0222,46487,0.8042,0.1958,0.0615,0.0968,0.0125,0.0244,0.0006,
"13",59150,-0.0061,0.325,0.6493,0.0257,45176,0.663,0.337,0.1084,0.1918,0.0166,0.0245,0.0009,
"14",59135,-0.0063,0.175,0.8,0.025,45511,0.8302,0.1698,0.0588,0.0685,0.011,0.0298,0.0007,
"15",59213,-0.005,0.2629,0.7118,0.0252,45791,0.719,0.281,0.0967,0.1419,0.0169,0.0279,0.0014,
"16",59402,-0.0018,0.2036,0.7725,0.0239,44009,0.7642,0.2358,0.0861,0.1169,0.0103,0.0234,0.0013,
"17",59120,-0.0066,0.3151,0.6602,0.0247,42761,0.6602,0.3398,0.0694,0.2302,0.0194,0.0222,0.0016,
"18",59335,-0.003,0.1537,0.8256,0.0207,45159,0.8601,0.1399,0.0239,0.0798,0.0088,0.0248,0.0008,
"19",58955,-0.0093,0.3384,0.6395,0.0221,44299,0.6537,0.3463,0.068,0.2415,0.0171,0.0241,0.0014,
"20",60107,0.01,0.2818,0.6897,0.0285,45725,0.764,0.236,0.0918,0.0925,0.0279,0.0223,0.0013,
"21",59529,0.0003,0.2308,0.7415,0.0277,44931,0.8207,0.1793,0.0744,0.0506,0.0249,0.0238,0.0013,
"22",59460,-0.0009,0.3724,0.5956,0.0319,45815,0.6561,0.3439,0.1157,0.151,0.0492,0.0261,0.0017,
