ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",191402,0.0006,0.3986,0.5803,0.0211,145428,0.6199,0.3801,0.0755,0.2508,0.0371,0.0217,0.0051,
"2",190408,-0.0046,0.7073,0.2716,0.0212,150843,0.4021,0.5979,0.0748,0.4686,0.0445,0.0161,0.0026,
"3",191212,-0.0004,0.3169,0.6603,0.0229,148915,0.6888,0.3112,0.0617,0.2118,0.0181,0.022,0.0023,
"4",191098,-0.001,0.3074,0.6684,0.0243,146443,0.6678,0.3322,0.0552,0.2337,0.0244,0.0202,0.0018,
"5",191921,0.0033,0.727,0.2508,0.0223,139394,0.1569,0.8431,0.4167,0.2994,0.1317,0.0291,0.0018,
"6",191401,0.0006,0.5425,0.4329,0.0246,155781,0.5779,0.4221,0.0824,0.239,0.0807,0.0142,0.0013,
"7",189709,-0.0082,0.5304,0.4441,0.0255,147425,0.3784,0.6216,0.1656,0.2144,0.2362,0.0172,0.0018,
"8",192396,0.0058,0.3285,0.6516,0.0199,145144,0.601,0.399,0.0621,0.3038,0.0174,0.018,0.0023,
"9",192915,0.0085,0.5473,0.4305,0.0222,142054,0.3581,0.6419,0.1877,0.2953,0.1543,0.0207,0.0013,
"10",192898,0.0084,0.7734,0.2131,0.0135,147884,0.1964,0.8036,0.0518,0.7146,0.0359,0.0156,0.0012,
"11",189976,-0.0068,0.3339,0.6486,0.0175,144597,0.5897,0.4103,0.076,0.3104,0.0094,0.0178,0.0007,
"12",190819,-0.0024,0.5639,0.4237,0.0124,149154,0.3671,0.6329,0.0348,0.5797,0.012,0.0112,0.0014,
"13",189326,-0.0102,0.2765,0.708,0.0155,144141,0.641,0.359,0.0601,0.2697,0.0149,0.0165,0.0009,
"14",192533,0.0065,0.531,0.4443,0.0247,155340,0.571,0.429,0.1213,0.1897,0.1038,0.0154,0.0015,
"15",189446,-0.0096,0.6481,0.3364,0.0155,144506,0.3652,0.6348,0.0659,0.54,0.0212,0.0171,0.0046,
"16",191829,0.0028,0.3232,0.6566,0.0202,147133,0.6691,0.3309,0.0503,0.227,0.0346,0.0192,0.0011,
"17",192510,0.0064,0.3566,0.6241,0.0193,144472,0.5942,0.4058,0.0513,0.3201,0.0185,0.0198,0.0013,
"18",191825,0.0028,0.364,0.6185,0.0175,150196,0.6069,0.3931,0.0451,0.304,0.0298,0.0174,0.0012,
"19",192316,0.0054,0.2365,0.7441,0.0194,146131,0.6399,0.3601,0.0838,0.2572,0.0085,0.0156,0.0013,
"20",192588,0.0068,0.3187,0.6632,0.0181,147033,0.6171,0.3829,0.0349,0.3128,0.0227,0.0144,0.0014,
"21",192572,0.0067,0.2912,0.6839,0.0249,145120,0.7387,0.2613,0.0877,0.0746,0.0768,0.0215,0.0014,
"22",193163,0.0098,0.6812,0.3012,0.0176,150450,0.3438,0.6562,0.0535,0.565,0.03,0.0166,0.003,
"23",190344,-0.0049,0.4008,0.5811,0.0181,144113,0.5689,0.4311,0.0452,0.3548,0.0185,0.0177,0.0023,
"24",192674,0.0073,0.2967,0.6838,0.0195,148602,0.6981,0.3019,0.044,0.1985,0.0408,0.0188,0.0024,
"25",191161,-0.0006,0.3844,0.5978,0.0178,148917,0.5994,0.4006,0.0366,0.3348,0.0141,0.0164,0.0011,
"26",189945,-0.007,0.6251,0.3588,0.0161,145744,0.366,0.634,0.0424,0.5699,0.0132,0.0148,0.0012,
"27",190676,-0.0032,0.2544,0.7184,0.0271,139196,0.715,0.285,0.102,0.05,0.1098,0.02,0.001,
"28",190422,-0.0045,0.2921,0.6848,0.0231,144973,0.6944,0.3056,0.0644,0.1951,0.0253,0.0226,0.0012,
"29",189424,-0.0097,0.3495,0.6319,0.0186,145674,0.6322,0.3678,0.0445,0.2688,0.0369,0.0188,0.0022,
"30",191475,0.001,0.2971,0.6803,0.0226,145077,0.6941,0.3059,0.061,0.2092,0.0131,0.024,0.001,
"31",192560,0.0067,0.2992,0.6775,0.0233,142251,0.6826,0.3174,0.0742,0.207,0.0156,0.023,0.0014,
"32",192448,0.0061,0.3799,0.5902,0.0299,149879,0.6578,0.3422,0.1055,0.1486,0.0627,0.023,0.0016,
"33",192694,0.0074,0.6782,0.3004,0.0215,146415,0.3025,0.6975,0.2293,0.4296,0.0292,0.025,0.0016,
"34",190668,-0.0032,0.8124,0.1731,0.0145,141840,0.1336,0.8664,0.1275,0.6954,0.0461,0.0177,0.0012,
"35",192839,0.0081,0.7883,0.1972,0.0145,144675,0.1882,0.8118,0.0751,0.719,0.0163,0.0154,0.0015,
"36",192282,0.0052,0.868,0.1098,0.0221,161385,0.3618,0.6382,0.0706,0.5134,0.0498,0.0146,0.0013,
"37",192671,0.0073,0.391,0.5834,0.0256,147779,0.6537,0.3463,0.0869,0.1927,0.0476,0.0207,0.0013,
"38",193155,0.0098,0.8004,0.181,0.0186,148367,0.2187,0.7813,0.0844,0.653,0.0412,0.0157,0.0012,
"39",191500,0.0011,0.8514,0.131,0.0177,156022,0.2787,0.7213,0.0565,0.607,0.0566,0.0124,0.0015,
"40",190544,-0.0039,0.5801,0.3948,0.025,147000,0.4634,0.5366,0.2162,0.1924,0.1206,0.0237,0.0015,
"41",191023,-0.0014,0.7993,0.1826,0.0181,145278,0.2139,0.7861,0.0668,0.6261,0.0916,0.0154,0.0013,
"42",190940,-0.0018,0.8017,0.177,0.0213,153952,0.5139,0.4861,0.0864,0.3078,0.0827,0.0155,0.0013,
"43",192729,0.0076,0.7012,0.2846,0.0142,145741,0.2653,0.7347,0.0689,0.6433,0.0168,0.0154,0.0018,
"44",190036,-0.0065,0.8553,0.13,0.0147,145224,0.1529,0.8471,0.086,0.7134,0.0488,0.0157,0.0014,
"45",190692,-0.0031,0.3621,0.6126,0.0254,140706,0.5547,0.4453,0.1305,0.1858,0.1169,0.0198,0.0014,
"46",190312,-0.0051,0.3722,0.6036,0.0242,146713,0.699,0.301,0.0699,0.169,0.045,0.0178,0.001,
"47",190607,-0.0035,0.386,0.5889,0.0252,146599,0.6746,0.3254,0.0957,0.1742,0.0339,0.0208,0.0014,
"48",190123,-0.0061,0.415,0.5625,0.0225,136995,0.5225,0.4775,0.07,0.0947,0.3003,0.011,0.0013,
"49",189355,-0.0101,0.2433,0.7316,0.0251,144123,0.6564,0.3436,0.219,0.0796,0.0262,0.0248,0.0009,
"50",189320,-0.0103,0.1687,0.8079,0.0234,148799,0.8154,0.1846,0.0878,0.0561,0.0149,0.0263,0.0011,
"51",190167,-0.0058,0.1577,0.8179,0.0244,155571,0.9024,0.0976,0.0434,0.0121,0.0091,0.029,0.0008,
"52",190799,-0.0025,0.2461,0.7291,0.0248,146620,0.7474,0.2526,0.0824,0.1304,0.0143,0.027,0.0008,
"53",190236,-0.0055,0.1844,0.7883,0.0273,148201,0.8731,0.1269,0.0323,0.051,0.0122,0.0274,0.0012,
"54",192443,0.0061,0.2172,0.7586,0.0242,143843,0.6998,0.3002,0.2264,0.0379,0.0137,0.0358,0.0008,
"55",190155,-0.0059,0.7641,0.2207,0.0151,141968,0.2056,0.7944,0.0871,0.6597,0.0486,0.017,0.0015,
"56",191226,-0.0003,0.3711,0.6012,0.0277,144448,0.7617,0.2383,0.0766,0.0757,0.0644,0.0168,0.0011,
"Summary",191284,0.0201,0.4705,0.5085,0.021,146791,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
