ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",25246,-0.1153,0.72,0.2416,0.0385,20059,0.298,0.702,0.0876,0.0154,0.4987,0.0307,0.2661,
"2",25215,-0.1163,0.7485,0.2168,0.0347,20288,0.1718,0.8282,0.0897,0.0128,0.6316,0.03,0.2971,
"3",25170,-0.1179,0.7059,0.2538,0.0403,19495,0.2776,0.7224,0.0996,0.0187,0.4162,0.0386,0.3904,
"4",25080,-0.1211,0.6683,0.2777,0.0539,19540,0.4229,0.5771,0.1055,0.0205,0.3165,0.0481,0.2629,
"5",25515,-0.1058,0.6865,0.2626,0.0509,20283,0.4144,0.5856,0.0916,0.0211,0.3133,0.0459,0.2922,
"6",24957,-0.1254,0.6333,0.3262,0.0405,20489,0.5135,0.4865,0.0788,0.0147,0.2828,0.031,0.1739,
"7",24321,-0.1477,0.6084,0.3489,0.0427,19026,0.4395,0.5605,0.0847,0.0152,0.2927,0.0316,0.2828,
"8",25125,-0.1195,0.6654,0.2965,0.0381,19531,0.3943,0.6057,0.0875,0.0126,0.3568,0.0343,0.3038,
"9",28196,-0.0119,0.7245,0.2391,0.0364,21495,0.1144,0.8856,0.0707,0.0095,0.6966,0.0181,0.2475,
"10",26997,-0.0539,0.6965,0.2646,0.0389,20722,0.2107,0.7893,0.0882,0.0151,0.5724,0.0278,0.2893,
"11",27617,-0.0322,0.6485,0.3034,0.0481,22966,0.5624,0.4376,0.0885,0.0202,0.2567,0.0314,0.1047,
"12",27202,-0.0467,0.6989,0.2572,0.044,21445,0.421,0.579,0.0929,0.0172,0.3523,0.0316,0.2514,
"13",27492,-0.0365,0.7092,0.2394,0.0514,21477,0.4085,0.5915,0.0799,0.0165,0.3034,0.0318,0.3155,
"14",27332,-0.0421,0.6389,0.3165,0.0446,21706,0.3864,0.6136,0.1023,0.0152,0.3878,0.0254,0.1938,
"15",24299,-0.1484,0.6695,0.2869,0.0436,19145,0.4299,0.5701,0.0888,0.0142,0.3506,0.0328,0.228,
"16",24454,-0.143,0.6696,0.2985,0.0319,19232,0.2789,0.7211,0.0757,0.0129,0.5605,0.0245,0.2085,
"17",24545,-0.1398,0.6789,0.2871,0.0339,19167,0.3046,0.6954,0.0889,0.0119,0.5051,0.0285,0.2357,
"18",27341,-0.0418,0.6579,0.3163,0.0258,22056,0.2607,0.7393,0.0493,0.0152,0.6465,0.0177,0.1287,
"19",26885,-0.0578,0.6664,0.3074,0.0263,22288,0.2433,0.7567,0.0396,0.0118,0.6699,0.0178,0.1172,
"20",27027,-0.0528,0.7061,0.2657,0.0281,22699,0.2083,0.7917,0.0489,0.0131,0.6898,0.0173,0.139,
"21",27188,-0.0472,0.7267,0.2434,0.0299,22689,0.1885,0.8115,0.0511,0.0183,0.6636,0.0195,0.1878,
"22",27492,-0.0365,0.742,0.2269,0.0311,23629,0.2126,0.7874,0.0574,0.0264,0.6523,0.018,0.1447,
"23",27030,-0.0527,0.7074,0.2567,0.0359,23624,0.1291,0.8709,0.06,0.0265,0.7042,0.0191,0.1682,
"24",28417,-0.0041,0.6524,0.3095,0.0381,25633,0.348,0.652,0.0633,0.0387,0.5079,0.0201,0.0772,
"25",28187,-0.0122,0.6878,0.2825,0.0297,24477,0.2058,0.7942,0.0532,0.0271,0.676,0.0171,0.1141,
"26",27767,-0.0269,0.7067,0.2561,0.0372,24024,0.1831,0.8169,0.066,0.0284,0.6377,0.0195,0.1969,
"27",27560,-0.0342,0.6989,0.2704,0.0307,23104,0.1244,0.8756,0.0493,0.0149,0.7359,0.0161,0.2047,
"28",27502,-0.0362,0.6716,0.2909,0.0375,22551,0.0918,0.9082,0.0429,0.0234,0.7154,0.0141,0.2065,
"29",27582,-0.0334,0.6704,0.2968,0.0328,21542,0.0496,0.9504,0.0403,0.0135,0.7712,0.011,0.2254,
"30",34804,0.2197,0.6585,0.3101,0.0314,25819,0.1484,0.8516,0.0578,0.0427,0.6362,0.0127,0.2041,
"31",38967,0.3656,0.6577,0.3099,0.0324,30646,0.2467,0.7533,0.0959,0.062,0.5417,0.0214,0.1391,
"32",35332,0.2382,0.6635,0.3095,0.027,27888,0.1787,0.8213,0.0781,0.0568,0.6452,0.0197,0.1679,
"33",28847,0.0109,0.6871,0.2882,0.0247,24214,0.1112,0.8888,0.0569,0.0229,0.7821,0.016,0.1641,
"34",28935,0.014,0.6859,0.2892,0.025,23387,0.0875,0.9125,0.0733,0.0281,0.7602,0.0188,0.2204,
"35",28297,-0.0083,0.6516,0.3207,0.0277,22814,0.072,0.928,0.0561,0.0213,0.8152,0.0138,0.1464,
"36",27096,-0.0504,0.6691,0.3063,0.0246,20959,0.0213,0.9787,0.0415,0.0128,0.8251,0.009,0.1891,
"37",27975,-0.0196,0.6475,0.3251,0.0274,22373,0.1256,0.8744,0.0742,0.0278,0.7576,0.0207,0.1916,
"38",28874,0.0119,0.6305,0.3418,0.0277,21917,0.1325,0.8675,0.0856,0.0315,0.7336,0.0265,0.1997,
"39",28339,-0.0069,0.6033,0.3687,0.028,22118,0.0809,0.9191,0.0676,0.0306,0.7637,0.0164,0.2005,
"40",29919,0.0485,0.5483,0.4232,0.0285,22452,0.1379,0.8621,0.0987,0.042,0.6621,0.0257,0.2161,
"41",31537,0.1052,0.54,0.4302,0.0298,23165,0.2193,0.7807,0.1055,0.0689,0.5564,0.0282,0.1948,
