ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",50485,-0.1327,0.7361,0.2282,0.0357,40042,0.1892,0.8108,0.0905,0.0134,0.5788,0.0292,0.3406,
"2",50344,-0.1351,0.6781,0.2716,0.0503,39284,0.3919,0.6081,0.1079,0.0218,0.3357,0.049,0.2909,
"3",49943,-0.142,0.6443,0.3108,0.0449,39922,0.4615,0.5385,0.0797,0.0157,0.295,0.0332,0.2377,
"4",49857,-0.1435,0.6611,0.2996,0.0392,39463,0.4241,0.5759,0.0843,0.0147,0.3462,0.0339,0.2626,
"5",55218,-0.0514,0.7051,0.257,0.0379,42618,0.159,0.841,0.0791,0.0119,0.6266,0.0223,0.2855,
"6",54924,-0.0565,0.6471,0.3064,0.0465,44271,0.4823,0.5177,0.0955,0.0182,0.3263,0.029,0.1301,
"7",54694,-0.0604,0.7036,0.2489,0.0474,42922,0.4148,0.5852,0.0864,0.0168,0.3279,0.0317,0.2835,
"8",73298,0.2592,0.6727,0.2908,0.0365,57544,0.3377,0.6623,0.0844,0.013,0.4722,0.0286,0.2241,
"9",53830,-0.0753,0.6757,0.297,0.0272,44639,0.2452,0.7548,0.0446,0.0132,0.6623,0.0172,0.1201,
"10",54930,-0.0564,0.7263,0.2424,0.0313,46532,0.1709,0.8291,0.0589,0.0225,0.6724,0.0207,0.1842,
"11",55147,-0.0526,0.722,0.2442,0.0338,47705,0.1934,0.8066,0.0594,0.0268,0.6494,0.0186,0.1723,
"12",56390,-0.0313,0.6665,0.2989,0.0346,50109,0.2609,0.7391,0.0568,0.0315,0.6091,0.018,0.093,
"13",55447,-0.0475,0.69,0.2763,0.0337,46133,0.1187,0.8813,0.0477,0.0204,0.7162,0.0149,0.1973,
"14",58220,0.0002,0.68,0.2896,0.0305,45801,0.0815,0.9185,0.0462,0.0226,0.7332,0.0129,0.2274,
"15",81543,0.4008,0.6512,0.3178,0.031,62296,0.2287,0.7713,0.0896,0.0634,0.559,0.0198,0.1513,
"16",57229,-0.0169,0.6815,0.2933,0.0253,47550,0.0998,0.9002,0.061,0.0245,0.7807,0.0173,0.1834,
"17",57701,-0.0088,0.629,0.3413,0.0298,44514,0.1176,0.8824,0.0897,0.0314,0.7242,0.0261,0.2313,
"18",54571,-0.0625,0.6313,0.3397,0.0291,43358,0.1018,0.8982,0.0715,0.0274,0.7658,0.0194,0.1871,
"19",56059,-0.037,0.6658,0.3088,0.0254,43803,0.0444,0.9556,0.0529,0.0187,0.8139,0.0113,0.1828,
"20",61401,0.0548,0.5464,0.4245,0.0291,45632,0.1708,0.8292,0.101,0.053,0.6259,0.0265,0.2001,
"21",59486,0.0219,0.5478,0.4181,0.0341,44406,0.1469,0.8531,0.1085,0.0461,0.6121,0.0272,0.3073,
"22",53267,-0.0849,0.5111,0.4502,0.0387,38691,0.128,0.872,0.1248,0.0358,0.4315,0.0334,0.5926,
"23",78951,0.3563,0.5741,0.3856,0.0402,60538,0.344,0.656,0.1226,0.0592,0.343,0.028,0.2576,
"24",66736,0.1465,0.6514,0.3142,0.0344,53557,0.3247,0.6753,0.1044,0.0275,0.463,0.0256,0.2399,
"25",55600,-0.0449,0.6497,0.3192,0.0311,44575,0.3064,0.6936,0.0604,0.016,0.5016,0.0226,0.2581,
"Summary",58211,0.5443,0.6587,0.3063,0.035,46236,0.2384,0.7616,0.0805,0.0277,0.5593,0.0243,0.2288,
