ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",32022,0.0037,0.5218,0.4493,0.0289,22990,0.569,0.431,0.2519,0.0708,0.0578,0.0538,0.0099,
"2",31969,0.002,0.4127,0.5582,0.0291,23895,0.7211,0.2789,0.1453,0.0672,0.0319,0.0329,0.0033,
"3",31928,0.0008,0.208,0.7754,0.0166,23649,0.8896,0.1104,0.0746,0.0142,0.0082,0.0115,0.003,
"4",31733,-0.0054,0.1221,0.8651,0.0128,22462,0.8911,0.1089,0.0887,0.0041,0.0065,0.0075,0.0017,
"5",31904,0,0.2336,0.7513,0.0151,24547,0.9027,0.0973,0.0636,0.0105,0.007,0.011,0.0035,
"6",31878,-0.0008,0.3431,0.6348,0.0221,24036,0.7333,0.2667,0.1603,0.0203,0.0588,0.0128,0.0149,
"7",31944,0.0013,0.2702,0.7153,0.0145,24778,0.9399,0.0601,0.0266,0.0133,0.0044,0.0121,0.0015,
"8",31874,-0.0009,0.4044,0.5688,0.0268,25319,0.8595,0.1405,0.0465,0.0654,0.0118,0.0149,0.0019,
"9",31980,0.0024,0.3294,0.6506,0.02,25270,0.9131,0.0869,0.049,0.015,0.0083,0.0103,0.0009,
"10",31915,0.0004,0.3089,0.6751,0.016,25289,0.9553,0.0447,0.0182,0.0062,0.0057,0.0091,0.0007,
"11",31989,0.0027,0.3126,0.67,0.0174,24531,0.9514,0.0486,0.0221,0.0095,0.0046,0.0097,0.0006,
"12",31818,-0.0027,0.2787,0.7063,0.015,23920,0.8244,0.1756,0.1329,0.0153,0.0134,0.0151,0.001,
"13",31807,-0.003,0.2399,0.7454,0.0147,24288,0.9456,0.0544,0.0219,0.006,0.0045,0.0161,0.0021,
"14",31893,-0.0003,0.3597,0.611,0.0293,23931,0.828,0.172,0.0826,0.0357,0.0239,0.0254,0.006,
"15",31749,-0.0048,0.3155,0.657,0.0275,24443,0.9536,0.0464,0.0158,0.0033,0.0067,0.0134,0.0003,
"16",31826,-0.0024,0.2848,0.6917,0.0236,24026,0.938,0.062,0.024,0.0051,0.0061,0.0171,0.0018,
"17",31748,-0.0049,0.2936,0.6899,0.0165,24756,0.9235,0.0765,0.0279,0.0208,0.0083,0.0164,0.0009,
"18",31759,-0.0045,0.2843,0.6996,0.0161,24814,0.9424,0.0576,0.0218,0.0049,0.0053,0.0177,0.0024,
"19",31784,-0.0038,0.4389,0.5162,0.0448,24775,0.8488,0.1512,0.0773,0.0333,0.0149,0.0212,0.0014,
"20",31882,-0.0007,0.4498,0.5003,0.0499,24151,0.8205,0.1795,0.0952,0.0331,0.014,0.0307,0.0017,
"21",31787,-0.0037,0.4056,0.5613,0.0331,24298,0.933,0.067,0.0212,0.0121,0.008,0.0176,0.0013,
"22",31772,-0.0041,0.3964,0.5729,0.0308,23378,0.9281,0.0719,0.0261,0.0105,0.0112,0.0126,0.0006,
"23",31838,-0.0021,0.318,0.6615,0.0205,23884,0.95,0.05,0.0157,0.0062,0.0077,0.0132,0.0012,
"24",31766,-0.0043,0.3021,0.6815,0.0164,24150,0.9106,0.0894,0.0526,0.0089,0.0079,0.0144,0.0031,
"25",31972,0.0021,0.4227,0.5525,0.0248,24392,0.7994,0.2006,0.1032,0.0433,0.0216,0.0212,0.0121,
"26",31768,-0.0043,0.2992,0.684,0.0168,23753,0.9542,0.0458,0.0149,0.0068,0.0057,0.0121,0.0008,
"27",31685,-0.0069,0.4563,0.5144,0.0293,22295,0.8531,0.1469,0.0405,0.0343,0.0568,0.0096,0.0017,
"28",32137,0.0073,0.4486,0.5207,0.0307,23962,0.8417,0.1583,0.0344,0.0326,0.0754,0.0115,0.0012,
"29",31865,-0.0012,0.5986,0.3634,0.038,23192,0.5742,0.4258,0.1935,0.1024,0.1126,0.0263,0.0009,
"30",31878,-0.0008,0.5826,0.3785,0.0389,24127,0.7139,0.2861,0.1332,0.08,0.0491,0.0238,0.0015,
"31",32047,0.0045,0.5249,0.4444,0.0307,24838,0.8175,0.1825,0.052,0.0536,0.0597,0.0101,0.0008,
"32",32176,0.0085,0.5478,0.4196,0.0327,24982,0.7759,0.2241,0.0765,0.0586,0.0656,0.0152,0.0016,
"33",32104,0.0063,0.6498,0.3082,0.042,23728,0.5807,0.4193,0.2077,0.1175,0.0744,0.0274,0.002,
"34",31886,-0.0006,0.7354,0.2257,0.0389,24078,0.5444,0.4556,0.1394,0.2152,0.0863,0.0238,0.002,
"35",32015,0.0035,0.6521,0.3091,0.0389,25163,0.7743,0.2257,0.0531,0.0827,0.0735,0.011,0.0013,
"36",31963,0.0019,0.7207,0.2472,0.0321,26578,0.7723,0.2277,0.0619,0.1035,0.0438,0.0164,0.0018,
"37",31835,-0.0022,0.2811,0.6934,0.0255,24155,0.9424,0.0576,0.0156,0.0077,0.0161,0.012,0.0014,
"38",31898,-0.0002,0.4133,0.5562,0.0306,25024,0.9205,0.0795,0.0245,0.0233,0.0087,0.0144,0.0018,
"39",31995,0.0029,0.5126,0.4489,0.0384,24316,0.7766,0.2234,0.0857,0.0684,0.0431,0.0206,0.002,
"40",32036,0.0041,0.4591,0.5026,0.0383,23982,0.8656,0.1344,0.0443,0.0458,0.0229,0.0168,0.0015,
"41",32054,0.0047,0.4562,0.5105,0.0334,23657,0.8874,0.1126,0.0313,0.0297,0.0293,0.0114,0.0011,
"42",31911,0.0002,0.4592,0.5036,0.0372,23493,0.892,0.108,0.0361,0.0276,0.0258,0.0119,0.0013,
"43",32052,0.0046,0.4676,0.5036,0.0289,23698,0.8565,0.1435,0.0316,0.0408,0.0549,0.01,0.0009,
