ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",63991,0.0029,0.46,0.511,0.029,46885,0.6465,0.3535,0.1976,0.0689,0.0446,0.0431,0.0065,
"2",63661,-0.0023,0.1646,0.8207,0.0147,46111,0.8904,0.1096,0.0815,0.0093,0.0074,0.0096,0.0024,
"3",63782,-0.0004,0.2841,0.6976,0.0183,48583,0.8189,0.1811,0.1115,0.0153,0.0326,0.0119,0.0091,
"4",63818,0.0002,0.3321,0.6477,0.0202,50097,0.8993,0.1007,0.0366,0.0396,0.0082,0.0135,0.0017,
"5",63895,0.0014,0.3189,0.6632,0.0179,50559,0.9342,0.0658,0.0336,0.0106,0.007,0.0097,0.0008,
"6",63807,0,0.2968,0.6869,0.0163,48451,0.8887,0.1113,0.0768,0.0123,0.0089,0.0123,0.0008,
"7",63700,-0.0017,0.2952,0.6834,0.0214,48219,0.8872,0.1128,0.052,0.0207,0.0141,0.0207,0.004,
"8",63575,-0.0036,0.3005,0.6739,0.0256,48469,0.9459,0.0541,0.0199,0.0042,0.0064,0.0152,0.0011,
"9",63507,-0.0047,0.2889,0.6948,0.0163,49570,0.933,0.067,0.0248,0.0128,0.0068,0.017,0.0017,
"10",63666,-0.0022,0.4439,0.509,0.0471,48926,0.8348,0.1652,0.0861,0.0332,0.0145,0.0259,0.0015,
"11",63559,-0.0039,0.4008,0.5673,0.0319,47676,0.9306,0.0694,0.0236,0.0113,0.0096,0.0151,0.0009,
"12",63604,-0.0032,0.3106,0.6709,0.0186,48034,0.9302,0.0698,0.0342,0.0076,0.0078,0.0138,0.0022,
"13",63740,-0.0011,0.3563,0.6232,0.0205,48145,0.8758,0.1242,0.0597,0.0253,0.0138,0.0167,0.0065,
"14",63822,0.0002,0.4525,0.5176,0.03,46257,0.8472,0.1528,0.0373,0.0334,0.0665,0.0105,0.0014,
"15",63743,-0.001,0.5899,0.3716,0.0385,47319,0.6454,0.3546,0.1627,0.0909,0.0802,0.025,0.0012,
"16",64223,0.0065,0.5363,0.432,0.0317,49820,0.7966,0.2034,0.0643,0.0561,0.0627,0.0127,0.0012,
"17",63990,0.0029,0.694,0.2656,0.0404,47806,0.5624,0.4376,0.1733,0.1667,0.0804,0.0256,0.002,
"18",63978,0.0027,0.6859,0.2785,0.0355,51741,0.7733,0.2267,0.0576,0.0934,0.0582,0.0138,0.0016,
"19",63733,-0.0012,0.3436,0.6285,0.0279,49179,0.9313,0.0687,0.0201,0.0156,0.0124,0.0132,0.0016,
"20",64031,0.0035,0.4847,0.477,0.0384,48298,0.8208,0.1792,0.0651,0.0572,0.033,0.0187,0.0018,
"21",63965,0.0025,0.4577,0.507,0.0353,47150,0.8897,0.1103,0.0337,0.0287,0.0275,0.0116,0.0012,
"22",63809,0,0.4905,0.4786,0.0309,47892,0.8443,0.1557,0.0384,0.0448,0.0564,0.0101,0.0012,
"23",63308,-0.0078,0.3945,0.5753,0.0303,44725,0.9122,0.0878,0.0269,0.0178,0.0224,0.0143,0.001,
"24",63865,0.0009,0.4079,0.5667,0.0254,49089,0.9012,0.0988,0.057,0.0124,0.0092,0.0153,0.0016,
"25",63738,-0.0011,0.6154,0.3382,0.0464,55637,0.7743,0.2257,0.0562,0.0448,0.1105,0.0107,0.0231,
"26",63918,0.0017,0.4307,0.5376,0.0316,47705,0.8097,0.1903,0.1247,0.0186,0.0262,0.0183,0.0008,
"27",63643,-0.0026,0.3743,0.6058,0.0199,49455,0.9015,0.0985,0.0409,0.012,0.0112,0.0314,0.0021,
"28",64060,0.004,0.3233,0.6572,0.0195,48987,0.8869,0.1131,0.0784,0.0078,0.0096,0.0144,0.0015,
