ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",53610,0.0203,0.3025,0.6611,0.0364,42696,0.9064,0.0936,0.0317,0.0045,0.0106,0.0308,0.0026,
"2",52071,-0.009,0.2251,0.744,0.031,41912,0.8942,0.1058,0.0267,0.0046,0.0084,0.0494,0.0023,
"3",51953,-0.0113,0.2261,0.7392,0.0348,40141,0.8984,0.1016,0.0376,0.0044,0.0147,0.0311,0.003,
"4",52384,-0.0031,0.3641,0.5973,0.0385,40736,0.8803,0.1197,0.0458,0.0077,0.0206,0.0331,0.0046,
"5",51943,-0.0115,0.2427,0.7219,0.0353,39199,0.8797,0.1203,0.0473,0.0063,0.0164,0.0391,0.0041,
"6",53431,0.0168,0.448,0.5092,0.0428,42577,0.8451,0.1549,0.0435,0.0109,0.0311,0.061,0.0034,
"7",52629,0.0016,0.2426,0.7149,0.0425,41903,0.8947,0.1053,0.0333,0.0069,0.0122,0.043,0.0028,
"8",52297,-0.0047,0.2956,0.6627,0.0417,40900,0.8104,0.1896,0.0987,0.0224,0.0267,0.0329,0.0051,
"9",52960,0.0079,0.2015,0.7617,0.0368,39310,0.7755,0.2245,0.1591,0.0044,0.015,0.0383,0.0024,
"10",53498,0.0181,0.2299,0.7246,0.0456,37817,0.8223,0.1777,0.1081,0.0093,0.0205,0.0293,0.005,
"11",53483,0.0178,0.3491,0.603,0.0479,37569,0.5977,0.4023,0.3353,0.0141,0.0176,0.0394,0.0048,
"12",53363,0.0156,0.3079,0.6443,0.0478,38831,0.7022,0.2978,0.2266,0.0119,0.0212,0.0348,0.0061,
"13",53581,0.0197,0.2991,0.6516,0.0493,39411,0.7375,0.2625,0.1944,0.0112,0.018,0.0365,0.006,
"14",53577,0.0196,0.2618,0.6996,0.0387,40785,0.8769,0.1231,0.0596,0.0055,0.0225,0.0251,0.0031,
"15",52475,-0.0013,0.4259,0.5252,0.0489,40353,0.8018,0.1982,0.0845,0.0267,0.0521,0.0281,0.0058,
"16",51206,-0.0255,0.5471,0.4077,0.0452,41204,0.8072,0.1928,0.0956,0.025,0.0329,0.0297,0.0054,
"17",52195,-0.0067,0.5356,0.4152,0.0492,42171,0.8014,0.1986,0.0872,0.031,0.0431,0.0283,0.0059,
"18",51948,-0.0114,0.5643,0.394,0.0417,42462,0.8069,0.1931,0.0755,0.0179,0.0661,0.0197,0.0058,
"19",52334,-0.004,0.645,0.3212,0.0338,41603,0.8637,0.1363,0.0544,0.0146,0.0345,0.0224,0.0031,
"20",52542,-0.0001,0.3243,0.6285,0.0472,36365,0.836,0.164,0.0758,0.0126,0.0425,0.0236,0.0051,
"21",53066,0.0099,0.3208,0.6314,0.0478,39847,0.8316,0.1684,0.0905,0.0145,0.0305,0.026,0.005,
"22",53342,0.0152,0.3469,0.6065,0.0466,38011,0.8236,0.1764,0.0757,0.0185,0.0461,0.0271,0.0067,
"23",53424,0.0167,0.2166,0.7376,0.0459,39190,0.7945,0.2055,0.1361,0.0104,0.0153,0.0369,0.0033,
"24",53121,0.0109,0.203,0.7481,0.0489,38364,0.7792,0.2208,0.1773,0.0042,0.008,0.0283,0.0018,
"25",53600,0.0201,0.2992,0.6428,0.058,39212,0.7692,0.2308,0.1476,0.0183,0.031,0.0298,0.005,
"26",53636,0.0207,0.4657,0.4961,0.0382,39718,0.7113,0.2887,0.247,0.004,0.0112,0.0271,0.0027,
"27",50832,-0.0326,0.1616,0.7812,0.0571,35655,0.6909,0.3091,0.2741,0.0047,0.0092,0.0262,0.0021,
"28",51270,-0.0243,0.2504,0.6886,0.061,35721,0.8225,0.1775,0.0985,0.006,0.0131,0.0564,0.0048,
"29",53264,0.0137,0.4424,0.4975,0.0601,40417,0.824,0.176,0.0892,0.018,0.0266,0.0404,0.0055,
"30",50566,-0.0377,0.2083,0.7301,0.0616,35237,0.7569,0.2431,0.1512,0.0049,0.0095,0.0828,0.0019,
"31",53043,0.0095,0.1428,0.799,0.0582,37120,0.8719,0.1281,0.0898,0.0044,0.008,0.0217,0.0027,
"32",50982,-0.0298,0.2265,0.7089,0.0646,34472,0.8296,0.1704,0.1177,0.007,0.022,0.0202,0.003,
"33",51585,-0.0183,0.325,0.6056,0.0694,37737,0.8036,0.1964,0.1381,0.0114,0.0176,0.0298,0.003,
"34",52913,0.007,0.1243,0.7664,0.1093,42141,0.8334,0.1666,0.0968,0.0195,0.029,0.0138,0.0087,
"35",50982,-0.0298,0.2384,0.7067,0.0548,35613,0.8941,0.1059,0.0708,0.0045,0.0091,0.0175,0.0024,
"Summary",52546,0.0584,0.3231,0.6292,0.0478,39326,0.8148,0.1852,0.1102,0.0117,0.0235,0.0331,0.0042,
