ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",108418,-0.0015,0.7864,0.1685,0.0451,79747,0.1359,0.8641,0.7609,0.064,0.04,0.0561,0.0017,
"2",108632,0.0005,0.7053,0.2396,0.055,81320,0.2913,0.7087,0.6457,0.0442,0.0171,0.0538,0.0013,
"3",108636,0.0005,0.7997,0.154,0.0462,85941,0.3559,0.6441,0.5413,0.0589,0.0493,0.042,0.0023,
"4",108533,-0.0004,0.8399,0.1131,0.047,85345,0.3029,0.6971,0.5265,0.1445,0.035,0.0356,0.0019,
"5",108665,0.0008,0.8399,0.1119,0.0482,90114,0.2998,0.7002,0.05,0.5342,0.1126,0.0115,0.0013,
"6",108689,0.001,0.8527,0.0965,0.0508,83350,0.1916,0.8084,0.2619,0.4741,0.0751,0.021,0.0017,
"7",108592,0.0001,0.763,0.1951,0.0419,86043,0.2961,0.7039,0.2249,0.4405,0.0373,0.02,0.0013,
"8",108552,-0.0003,0.7623,0.1894,0.0483,82046,0.3197,0.6803,0.1511,0.5126,0.0177,0.015,0.0009,
"9",108762,0.0017,0.8169,0.1339,0.0492,88923,0.3402,0.6598,0.0931,0.4231,0.1377,0.012,0.0012,
"10",108647,0.0006,0.8285,0.1233,0.0482,87730,0.4166,0.5834,0.1141,0.4077,0.0592,0.012,0.0015,
"11",108793,0.002,0.7869,0.1736,0.0395,92217,0.763,0.237,0.0943,0.0474,0.0853,0.0122,0.0011,
"12",108581,0,0.7381,0.2261,0.0358,99953,0.7721,0.2279,0.0645,0.0552,0.096,0.0079,0.0014,
"13",108814,0.0021,0.8411,0.1181,0.0408,93844,0.6048,0.3952,0.1424,0.1258,0.1164,0.0192,0.0014,
"14",108411,-0.0016,0.8579,0.1005,0.0416,94154,0.495,0.505,0.1696,0.2098,0.1153,0.0227,0.0019,
"15",108709,0.0012,0.612,0.3436,0.0444,86244,0.5806,0.4194,0.1448,0.033,0.2351,0.0151,0.0016,
"16",108861,0.0026,0.6856,0.2799,0.0345,83455,0.45,0.55,0.1442,0.1015,0.2982,0.0151,0.0019,
"17",108432,-0.0014,0.6458,0.3236,0.0307,83881,0.6689,0.3311,0.0667,0.0451,0.2099,0.0094,0.0014,
"18",108339,-0.0022,0.7643,0.2035,0.0322,85102,0.6358,0.3642,0.0915,0.146,0.1158,0.0145,0.0016,
"19",108549,-0.0003,0.6583,0.2891,0.0526,87612,0.5924,0.4076,0.2732,0.0348,0.0949,0.0251,0.0018,
"20",108620,0.0004,0.5018,0.446,0.0523,87062,0.7291,0.2709,0.1902,0.0178,0.0577,0.017,0.0012,
"21",108781,0.0018,0.6773,0.2723,0.0504,82157,0.3767,0.6233,0.5174,0.0735,0.028,0.0387,0.001,
"22",108518,-0.0006,0.6761,0.2777,0.0462,81961,0.326,0.674,0.6279,0.025,0.0199,0.0462,0.001,
"23",108507,-0.0007,0.8485,0.1032,0.0483,79088,0.0447,0.9553,0.8444,0.0783,0.036,0.0617,0.0011,
"24",108608,0.0003,0.788,0.1562,0.0557,86820,0.1924,0.8076,0.485,0.0468,0.2773,0.0463,0.0014,
"25",108487,-0.0009,0.8906,0.0638,0.0456,87839,0.1824,0.8176,0.1815,0.5646,0.0733,0.0202,0.0016,
"26",108741,0.0015,0.8177,0.1378,0.0445,92486,0.3402,0.6598,0.0551,0.4826,0.1186,0.0105,0.0013,
"27",108605,0.0002,0.7253,0.2278,0.0469,86379,0.3768,0.6232,0.0649,0.5335,0.0221,0.0104,0.0007,
"28",108557,-0.0002,0.7227,0.2293,0.048,84075,0.352,0.648,0.1549,0.4675,0.0199,0.0153,0.0011,
"29",108520,-0.0006,0.7135,0.2417,0.0449,83630,0.336,0.664,0.0612,0.5885,0.0078,0.013,0.001,
"30",108525,-0.0005,0.7817,0.175,0.0432,83134,0.2851,0.7149,0.1574,0.5325,0.022,0.0173,0.0009,
"31",108638,0.0005,0.772,0.1777,0.0503,84552,0.3345,0.6655,0.1123,0.535,0.0165,0.0141,0.001,
"32",108536,-0.0004,0.8349,0.115,0.0501,81140,0.1531,0.8469,0.3117,0.5222,0.0135,0.0276,0.0007,
"33",108624,0.0004,0.8388,0.1138,0.0474,84696,0.1403,0.8597,0.2083,0.6465,0.0069,0.0196,0.0012,
"34",108429,-0.0014,0.7914,0.161,0.0476,85853,0.2135,0.7865,0.0858,0.6916,0.0056,0.0143,0.0009,
"35",108568,-0.0001,0.5556,0.3926,0.0518,86037,0.6597,0.3403,0.0867,0.2211,0.0234,0.0124,0.001,
"36",108750,0.0016,0.5682,0.3813,0.0505,85363,0.679,0.321,0.1412,0.1412,0.0283,0.0149,0.0009,
"37",108575,-0.0001,0.3976,0.5561,0.0463,83772,0.868,0.132,0.064,0.024,0.0307,0.0105,0.0005,
"38",108601,0.0002,0.6974,0.2585,0.0441,84257,0.4241,0.5759,0.0582,0.4867,0.0253,0.011,0.0006,
"39",108434,-0.0013,0.8214,0.1319,0.0467,87107,0.3862,0.6138,0.5161,0.0492,0.0513,0.0387,0.002,
"40",108660,0.0007,0.8071,0.145,0.048,86810,0.4045,0.5955,0.4276,0.0562,0.1074,0.0353,0.0018,
"41",108579,0,0.5447,0.413,0.0423,82672,0.6735,0.3265,0.0805,0.0585,0.1738,0.0107,0.0014,
"42",108677,0.0009,0.5454,0.406,0.0486,84807,0.7454,0.2546,0.0755,0.0534,0.1107,0.0121,0.0008,
"43",108591,0.0001,0.6364,0.3164,0.0472,79871,0.3248,0.6752,0.5119,0.0712,0.0866,0.044,0.0019,
"44",108540,-0.0004,0.6167,0.3363,0.047,83676,0.464,0.536,0.2693,0.0584,0.2014,0.0267,0.0017,
"45",108585,0,0.5038,0.4522,0.044,82945,0.7368,0.2632,0.0985,0.0337,0.118,0.012,0.0011,
"46",108562,-0.0002,0.5791,0.3718,0.0491,84453,0.5198,0.4802,0.2385,0.0643,0.1676,0.0226,0.0017,
"47",108621,0.0004,0.4768,0.4753,0.0479,84860,0.7624,0.2376,0.0779,0.0417,0.104,0.0119,0.001,
"48",108566,-0.0001,0.4865,0.4697,0.0438,87354,0.7146,0.2854,0.1235,0.0261,0.1242,0.0142,0.0009,
"49",108753,0.0016,0.5409,0.4127,0.0464,82742,0.554,0.446,0.2385,0.0479,0.1482,0.0219,0.0012,
"50",108660,0.0007,0.623,0.3268,0.0502,79966,0.3718,0.6282,0.4878,0.0885,0.0469,0.0368,0.0013,
"51",108489,-0.0008,0.4841,0.475,0.0409,83795,0.7641,0.2359,0.0623,0.0186,0.143,0.0093,0.0009,
"52",108647,0.0006,0.4551,0.502,0.0429,84323,0.7862,0.2138,0.0957,0.0166,0.0871,0.0134,0.0009,
"53",108563,-0.0002,0.5443,0.4122,0.0435,85255,0.6635,0.3365,0.1422,0.0337,0.1525,0.0141,0.0009,
"54",108589,0.0001,0.5425,0.4155,0.042,85542,0.7174,0.2826,0.14,0.028,0.1053,0.014,0.001,
"55",108686,0.001,0.5508,0.4083,0.0409,86450,0.6487,0.3513,0.1206,0.0316,0.1918,0.0133,0.0009,
"56",108413,-0.0015,0.571,0.3842,0.0448,85509,0.5868,0.4132,0.1691,0.0412,0.1949,0.0175,0.0011,
"57",108417,-0.0015,0.5827,0.3838,0.0335,84926,0.6744,0.3256,0.1412,0.0187,0.1561,0.0129,0.0008,
"58",108398,-0.0017,0.618,0.3534,0.0286,85058,0.7728,0.2272,0.0975,0.0487,0.0692,0.0105,0.0024,
"59",108549,-0.0003,0.6052,0.3597,0.0351,82422,0.5565,0.4435,0.1889,0.0285,0.2169,0.0159,0.0013,
"60",108705,0.0011,0.7031,0.2499,0.0471,80694,0.235,0.765,0.5027,0.2079,0.0475,0.0428,0.0021,
"61",108652,0.0007,0.5366,0.4157,0.0477,82496,0.5445,0.4555,0.2322,0.1335,0.0737,0.0281,0.0022,
"62",108565,-0.0001,0.5581,0.3942,0.0477,81251,0.5891,0.4109,0.2732,0.048,0.0753,0.0267,0.0017,
"63",108529,-0.0005,0.4604,0.4908,0.0487,84666,0.7993,0.2007,0.1359,0.0164,0.0276,0.0193,0.0009,
"64",108575,-0.0001,0.4056,0.543,0.0514,85426,0.8397,0.1603,0.0904,0.0209,0.026,0.0188,0.0015,
"65",108537,-0.0004,0.4426,0.5141,0.0433,82669,0.7931,0.2069,0.0981,0.0236,0.0692,0.0157,0.0006,
"66",108650,0.0006,0.5046,0.4473,0.0482,84127,0.7019,0.2981,0.1692,0.0389,0.0739,0.0215,0.001,
"67",108458,-0.0011,0.5521,0.3945,0.0534,82540,0.57,0.43,0.1653,0.2204,0.0245,0.0264,0.0011,
