ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",217050,-0.0005,0.7409,0.2084,0.0507,161067,0.2144,0.7856,0.7027,0.054,0.0284,0.0549,0.0015,
"2",217169,0,0.8197,0.1337,0.0466,171286,0.3295,0.6705,0.5339,0.1016,0.0422,0.0388,0.0021,
"3",217354,0.0009,0.8455,0.1051,0.0494,173464,0.2478,0.7522,0.1519,0.5053,0.0946,0.0161,0.0015,
"4",217144,-0.0001,0.7627,0.1924,0.045,168089,0.3076,0.6924,0.1889,0.4757,0.0278,0.0176,0.0011,
"5",217334,0.0008,0.823,0.1283,0.0487,176578,0.3782,0.6218,0.1036,0.4154,0.0987,0.012,0.0014,
"6",217449,0.0013,0.763,0.1993,0.0377,192245,0.7676,0.2324,0.0788,0.0516,0.0909,0.01,0.0012,
"7",217225,0.0003,0.8489,0.1099,0.0412,187998,0.5498,0.4502,0.156,0.1679,0.1158,0.021,0.0017,
"8",217570,0.0019,0.6456,0.3145,0.0399,169699,0.5164,0.4836,0.1445,0.0667,0.2661,0.0151,0.0017,
"9",216771,-0.0018,0.7048,0.2638,0.0314,168983,0.6522,0.3478,0.0792,0.0959,0.1625,0.012,0.0015,
"10",217169,0,0.5801,0.3675,0.0524,174674,0.6605,0.3395,0.2318,0.0264,0.0764,0.0211,0.0015,
"11",217299,0.0006,0.6767,0.275,0.0483,164118,0.3514,0.6486,0.5726,0.0493,0.024,0.0424,0.001,
"12",217115,-0.0002,0.8118,0.1354,0.0528,165908,0.122,0.878,0.6563,0.0618,0.1623,0.0536,0.0013,
"13",217228,0.0003,0.8534,0.1016,0.0451,180325,0.2633,0.7367,0.1167,0.5225,0.0966,0.0152,0.0014,
"14",217162,0,0.7241,0.2285,0.0474,170454,0.3646,0.6354,0.1093,0.5009,0.0211,0.0128,0.0009,
"15",217045,-0.0005,0.7464,0.2096,0.0441,166764,0.3106,0.6894,0.1092,0.5606,0.0149,0.0151,0.001,
"16",217174,0.0001,0.8005,0.1493,0.0502,165692,0.2457,0.7543,0.21,0.5287,0.015,0.0207,0.0009,
"17",217053,-0.0005,0.814,0.1385,0.0475,170549,0.1771,0.8229,0.1466,0.6692,0.0062,0.017,0.001,
"18",217318,0.0007,0.5614,0.3874,0.0512,171400,0.6693,0.3307,0.1139,0.1813,0.0259,0.0137,0.001,
"19",217176,0.0001,0.5459,0.4088,0.0452,168029,0.6454,0.3546,0.0611,0.2561,0.028,0.0107,0.0005,
"20",217094,-0.0003,0.8143,0.1384,0.0473,173917,0.3954,0.6046,0.4719,0.0527,0.0793,0.037,0.0019,
"21",217256,0.0004,0.545,0.4095,0.0455,167479,0.7099,0.2901,0.078,0.0559,0.1418,0.0114,0.0011,
"22",217131,-0.0001,0.6255,0.3275,0.047,163547,0.396,0.604,0.3878,0.0646,0.1454,0.0352,0.0018,
"23",217147,-0.0001,0.5357,0.4182,0.0462,167398,0.6273,0.3727,0.1691,0.0491,0.143,0.0174,0.0014,
"24",217189,0.0001,0.4813,0.4727,0.046,172216,0.7382,0.2618,0.101,0.0338,0.1142,0.0131,0.001,
"25",217413,0.0012,0.5769,0.3751,0.0481,162708,0.4644,0.5356,0.361,0.0679,0.0984,0.0292,0.0013,
"26",217136,-0.0001,0.4695,0.4886,0.0419,168118,0.7751,0.2249,0.0791,0.0176,0.1149,0.0113,0.0009,
"27",217152,0,0.5434,0.4139,0.0427,170797,0.6905,0.3095,0.1411,0.0309,0.1289,0.0141,0.0009,
"28",217099,-0.0003,0.5606,0.3966,0.0428,171959,0.6179,0.3821,0.1447,0.0364,0.1934,0.0154,0.001,
"29",216815,-0.0016,0.6013,0.3677,0.0309,169984,0.7236,0.2764,0.1193,0.0338,0.1126,0.0117,0.0016,
"30",217254,0.0004,0.6451,0.3149,0.04,163116,0.3974,0.6026,0.3441,0.1172,0.1331,0.0292,0.0017,
"31",217217,0.0003,0.5471,0.4052,0.0477,163747,0.5666,0.4334,0.2526,0.091,0.0745,0.0274,0.0019,
"32",217104,-0.0003,0.4331,0.5168,0.05,170092,0.8196,0.1804,0.113,0.0186,0.0268,0.019,0.0012,
"33",217187,0.0001,0.4715,0.483,0.0456,166796,0.7471,0.2529,0.134,0.0313,0.0716,0.0186,0.0008,
"34",216908,-0.0012,0.5212,0.4266,0.0522,165884,0.6116,0.3884,0.1701,0.1649,0.0345,0.0249,0.0011,
"35",217127,-0.0002,0.4174,0.5345,0.048,163660,0.8043,0.1957,0.1133,0.0231,0.0402,0.0177,0.0009,
"36",217315,0.0007,0.5151,0.441,0.0439,170961,0.7484,0.2516,0.0986,0.1071,0.0268,0.0203,0.0021,
"37",217029,-0.0006,0.3854,0.5664,0.0482,168841,0.8544,0.1456,0.075,0.0258,0.0229,0.018,0.0007,
"38",217281,0.0006,0.4635,0.4828,0.0536,166713,0.77,0.23,0.1198,0.0657,0.0243,0.0202,0.0009,
"39",217119,-0.0002,0.7358,0.221,0.0432,168630,0.4308,0.5692,0.3356,0.1857,0.0463,0.0236,0.0009,
