ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",136405,0.0051,0.5029,0.4721,0.0249,107847,0.7021,0.2979,0.1281,0.1261,0.0274,0.0187,0.0009,
"2",134201,-0.0111,0.6889,0.2837,0.0274,100125,0.3827,0.6173,0.3505,0.2393,0.0223,0.025,0.0011,
"3",136389,0.005,0.7858,0.1922,0.022,102488,0.3368,0.6632,0.1212,0.5258,0.0089,0.0204,0.0008,
"4",136130,0.0031,0.5362,0.4275,0.0363,106791,0.7474,0.2526,0.0925,0.1207,0.0148,0.0221,0.0011,
"5",133853,-0.0137,0.3955,0.5684,0.0361,104189,0.8752,0.1248,0.0638,0.0197,0.0148,0.0197,0.0009,
"6",136191,0.0035,0.3644,0.6054,0.0303,104285,0.8537,0.1463,0.0741,0.0296,0.0145,0.0217,0.0008,
"7",137472,0.013,0.2987,0.6638,0.0375,102640,0.8714,0.1286,0.0653,0.023,0.0171,0.019,0.0009,
"8",134114,-0.0118,0.3762,0.587,0.0368,103229,0.8875,0.1125,0.0585,0.0174,0.0075,0.0206,0.0008,
"9",133862,-0.0136,0.3167,0.646,0.0372,101217,0.8611,0.1389,0.0654,0.0326,0.0177,0.0187,0.0011,
"10",134034,-0.0124,0.5992,0.3667,0.0341,102177,0.6396,0.3604,0.1191,0.1998,0.0219,0.0216,0.0015,
"11",133085,-0.0193,0.426,0.5427,0.0313,102856,0.7949,0.2051,0.0658,0.0708,0.0441,0.0211,0.0014,
"12",135463,-0.0018,0.3792,0.5904,0.0304,97415,0.6963,0.3037,0.2017,0.0692,0.0139,0.0243,0.0008,
"13",134526,-0.0087,0.2786,0.6844,0.037,99191,0.91,0.09,0.055,0.0075,0.007,0.0165,0.001,
"14",134535,-0.0087,0.3989,0.5696,0.0315,96629,0.6799,0.3201,0.0809,0.1691,0.0535,0.0181,0.0015,
"15",138252,0.0187,0.378,0.5881,0.0339,104932,0.8107,0.1893,0.0463,0.0791,0.0439,0.0172,0.0011,
"16",137559,0.0136,0.3769,0.5849,0.0382,105380,0.8317,0.1683,0.0502,0.0615,0.033,0.0206,0.0011,
"17",134312,-0.0103,0.2861,0.6721,0.0418,105747,0.8897,0.1103,0.0321,0.0434,0.0088,0.0224,0.0008,
"18",133344,-0.0174,0.2722,0.6864,0.0414,102411,0.8714,0.1286,0.0657,0.0275,0.0101,0.0232,0.0008,
"19",136911,0.0088,0.3241,0.6343,0.0416,100980,0.8648,0.1352,0.0557,0.0477,0.0117,0.0192,0.001,
"20",135503,-0.0015,0.3872,0.5794,0.0334,100595,0.8485,0.1515,0.0444,0.0385,0.0492,0.0147,0.0012,
"21",137404,0.0125,0.3643,0.5987,0.037,103799,0.8509,0.1491,0.0384,0.0638,0.0233,0.019,0.001,
"22",134937,-0.0057,0.4127,0.5434,0.0439,101983,0.8033,0.1967,0.0893,0.062,0.0223,0.0203,0.0009,
"23",133730,-0.0146,0.3923,0.5663,0.0414,108726,0.7863,0.2137,0.0411,0.0267,0.127,0.0139,0.0258,
"24",135845,0.001,0.355,0.6099,0.035,101859,0.8182,0.1818,0.041,0.0763,0.0406,0.0185,0.0022,
"25",135197,-0.0038,0.3915,0.5664,0.0421,105851,0.8471,0.1529,0.036,0.0826,0.0077,0.0224,0.0008,
"26",136405,0.0051,0.4121,0.5442,0.0437,109274,0.8664,0.1336,0.0287,0.0688,0.014,0.0184,0.001,
"27",134364,-0.0099,0.3129,0.6412,0.0459,105338,0.906,0.094,0.0214,0.0403,0.0099,0.0181,0.0008,
"28",137103,0.0103,0.3474,0.6155,0.0371,104336,0.8323,0.1677,0.0427,0.0893,0.0154,0.0194,0.0011,
"29",137827,0.0156,0.518,0.4528,0.0293,103163,0.6357,0.3643,0.0771,0.1959,0.0766,0.0142,0.0009,
"30",134962,-0.0055,0.6576,0.3104,0.032,107614,0.5948,0.4052,0.0856,0.2681,0.0383,0.0168,0.0013,
"31",136860,0.0085,0.4453,0.5245,0.0302,100349,0.7773,0.2227,0.0428,0.0892,0.0731,0.0141,0.0011,
"32",137659,0.0144,0.3899,0.5739,0.0363,101753,0.7657,0.2343,0.0521,0.0897,0.0687,0.0211,0.0016,
"33",135603,-0.0008,0.8135,0.1585,0.028,102903,0.3963,0.6037,0.1457,0.4216,0.0278,0.0175,0.0013,
"34",138411,0.0199,0.7953,0.1796,0.0251,100340,0.268,0.732,0.1427,0.5681,0.014,0.0198,0.0016,
"35",137589,0.0138,0.4148,0.5457,0.0395,102265,0.697,0.303,0.1043,0.1557,0.0213,0.0236,0.0013,
"36",136641,0.0069,0.3845,0.5791,0.0364,102870,0.7233,0.2767,0.0657,0.0643,0.1252,0.0191,0.002,
"37",137607,0.014,0.2582,0.7064,0.0353,105573,0.9228,0.0772,0.0154,0.0171,0.0163,0.022,0.0006,
