ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",20413,-0.1315,0.2652,0.6987,0.0361,15691,0.8618,0.1382,0.0191,0.0094,0.0052,0.0935,0.0021,
"2",21769,-0.0738,0.3108,0.6463,0.0429,16696,0.9169,0.0831,0.0208,0.0101,0.0069,0.0383,0.0021,
"3",24215,0.0303,0.42,0.5328,0.0472,18864,0.803,0.197,0.0737,0.0467,0.0232,0.0463,0.0054,
"4",21859,-0.07,0.234,0.7285,0.0375,16613,0.8991,0.1009,0.0187,0.0297,0.0078,0.0358,0.0016,
"5",22153,-0.0574,0.2725,0.6776,0.0499,16718,0.9194,0.0806,0.023,0.0154,0.0056,0.0325,0.0005,
"6",23301,-0.0086,0.2918,0.669,0.0392,17715,0.9134,0.0866,0.0248,0.0138,0.0076,0.0312,0.001,
"7",21140,-0.1005,0.3095,0.6468,0.0437,15886,0.8252,0.1748,0.0399,0.0528,0.0072,0.0728,0.0016,
"8",27614,0.1749,0.425,0.5377,0.0373,20260,0.7862,0.2138,0.0372,0.0368,0.1178,0.0171,0.0009,
"9",21510,-0.0848,0.2934,0.6629,0.0437,16464,0.8799,0.1201,0.0449,0.0228,0.0086,0.0405,0.0014,
"10",25057,0.0661,0.6094,0.3447,0.0459,20269,0.7578,0.2422,0.0622,0.0582,0.0428,0.0802,0.0014,
"11",20634,-0.1221,0.2658,0.6922,0.042,15836,0.7665,0.2335,0.0682,0.0746,0.0095,0.0844,0.0019,
"12",20383,-0.1328,0.18,0.7766,0.0434,15550,0.8572,0.1428,0.0348,0.0199,0.0083,0.0774,0.0016,
"13",20737,-0.1177,0.1875,0.7643,0.0482,15966,0.9153,0.0847,0.0223,0.0068,0.0069,0.046,0.0013,
"14",28810,0.2258,0.4527,0.5024,0.0449,21566,0.7727,0.2273,0.0849,0.0567,0.06,0.0221,0.0018,
"15",24600,0.0467,0.4761,0.4618,0.0621,17904,0.6759,0.3241,0.1671,0.089,0.0392,0.0248,0.0021,
"16",23318,-0.0079,0.5134,0.4403,0.0463,18850,0.7851,0.2149,0.0637,0.058,0.069,0.0215,0.001,
"17",22254,-0.0531,0.5053,0.4488,0.0459,17540,0.7999,0.2001,0.0544,0.0691,0.0485,0.0242,0.0009,
"18",23298,-0.0087,0.4944,0.452,0.0537,18549,0.7923,0.2077,0.0892,0.0521,0.0319,0.0302,0.0019,
"19",25202,0.0723,0.5627,0.3986,0.0388,19341,0.8614,0.1386,0.0431,0.0376,0.0345,0.0187,0.0014,
"20",24013,0.0217,0.5038,0.4615,0.0347,19435,0.8638,0.1362,0.032,0.0264,0.0571,0.0117,0.0015,
"21",23545,0.0018,0.6065,0.3551,0.0384,18506,0.885,0.115,0.0487,0.0179,0.0233,0.0185,0.0004,
"22",22805,-0.0297,0.5766,0.3641,0.0593,17983,0.7077,0.2923,0.1446,0.086,0.0372,0.0292,0.0009,
"23",24001,0.0212,0.5637,0.3813,0.055,18675,0.6697,0.3303,0.1432,0.117,0.0465,0.0249,0.0022,
"24",22792,-0.0303,0.5982,0.3489,0.0529,18654,0.7411,0.2589,0.1123,0.0743,0.0419,0.0304,0.0018,
"25",23892,0.0165,0.6217,0.3347,0.0435,19115,0.8496,0.1504,0.0697,0.0265,0.0297,0.0185,0.0014,
"26",29203,0.2425,0.3867,0.5598,0.0535,20494,0.8333,0.1667,0.0505,0.0406,0.042,0.028,0.0012,
"27",32846,0.3975,0.3959,0.5642,0.0399,23247,0.81,0.19,0.037,0.0279,0.1026,0.0193,0.0011,
"28",24753,0.0532,0.4494,0.5159,0.0347,18972,0.7417,0.2583,0.0358,0.0371,0.1651,0.0142,0.0007,
"29",23641,0.0059,0.5328,0.4225,0.0447,18903,0.7543,0.2457,0.0709,0.0582,0.0927,0.0207,0.0014,
"30",23775,0.0116,0.5161,0.4312,0.0526,18936,0.7692,0.2308,0.0763,0.0765,0.0525,0.0208,0.0019,
"31",22433,-0.0455,0.6811,0.264,0.0549,17561,0.4992,0.5008,0.3155,0.1241,0.0404,0.0399,0.0017,
"32",22056,-0.0616,0.7062,0.2419,0.0519,15209,0.242,0.758,0.5989,0.0959,0.0472,0.0372,0.0019,
"33",25480,0.0841,0.5083,0.4365,0.0551,19274,0.6714,0.3286,0.1279,0.1441,0.0206,0.0371,0.0032,
"34",26179,0.1139,0.812,0.1506,0.0375,18245,0.2123,0.7877,0.3235,0.3956,0.0538,0.033,0.0066,
"35",23332,-0.0073,0.7789,0.1739,0.0472,16773,0.2454,0.7546,0.2732,0.4267,0.0417,0.0323,0.002,
"36",26475,0.1265,0.5748,0.3824,0.0428,19846,0.5673,0.4327,0.094,0.2497,0.0626,0.0296,0.0016,
"37",23290,-0.0091,0.5772,0.3679,0.0549,16664,0.4687,0.5313,0.3417,0.1153,0.0449,0.0389,0.0026,
"38",25965,0.1048,0.3509,0.603,0.0461,19690,0.8682,0.1318,0.0626,0.0189,0.0124,0.03,0.0008,
"39",26744,0.1379,0.4329,0.5182,0.0489,18584,0.8359,0.1641,0.0503,0.0441,0.0426,0.0208,0.0017,
"40",23818,0.0134,0.4177,0.5264,0.0558,18387,0.7268,0.2732,0.0659,0.1512,0.0264,0.032,0.0047,
"41",23132,-0.0158,0.4402,0.4936,0.0663,17475,0.696,0.304,0.0773,0.1617,0.0253,0.0373,0.0052,
"42",24362,0.0365,0.3598,0.5865,0.0537,18108,0.8737,0.1263,0.0401,0.0246,0.0122,0.0433,0.0017,
"43",26811,0.1407,0.3571,0.5604,0.0825,18460,0.8106,0.1894,0.0795,0.0429,0.0218,0.0367,0.0027,
"44",24987,0.0631,0.7058,0.2571,0.0371,20119,0.7589,0.2411,0.0646,0.0663,0.0701,0.0471,0.002,
"45",30395,0.2932,0.6321,0.331,0.0369,23988,0.8061,0.1939,0.0519,0.0516,0.0544,0.0372,0.0011,
"46",30289,0.2887,0.8134,0.1472,0.0394,26127,0.7609,0.2391,0.0709,0.0687,0.0531,0.0449,0.0023,
"47",21696,-0.0769,0.3479,0.5991,0.053,16707,0.9067,0.0933,0.0305,0.0126,0.0056,0.0368,0.0021,
"48",24197,0.0295,0.4863,0.4726,0.0411,18396,0.7271,0.2729,0.0464,0.0475,0.1568,0.0156,0.0017,
"49",22824,-0.0289,0.4708,0.4765,0.0527,17102,0.7032,0.2968,0.1118,0.0826,0.0725,0.0253,0.0034,
"50",23174,-0.014,0.3558,0.5974,0.0468,17541,0.8926,0.1074,0.0389,0.0165,0.0107,0.0374,0.0009,
"51",25553,0.0872,0.2841,0.6606,0.0553,18647,0.8975,0.1025,0.0382,0.0147,0.0129,0.0328,0.0017,
"52",23605,0.0043,0.4305,0.5272,0.0423,18249,0.8337,0.1663,0.0541,0.0462,0.0396,0.0254,0.0015,
"53",23141,-0.0154,0.5077,0.4434,0.0489,18710,0.7768,0.2232,0.0772,0.0885,0.0302,0.0339,0.0016,
"54",22818,-0.0291,0.3475,0.5984,0.0541,17168,0.8881,0.1119,0.0424,0.0249,0.0076,0.0328,0.001,
"55",22249,-0.0534,0.584,0.3591,0.057,17414,0.7333,0.2667,0.1142,0.0997,0.0141,0.0462,0.0028,
"56",22954,-0.0234,0.5058,0.443,0.0512,17895,0.748,0.252,0.0831,0.1143,0.0246,0.0388,0.002,
"57",22079,-0.0606,0.5528,0.3891,0.0581,16802,0.6087,0.3913,0.2228,0.1223,0.0081,0.0537,0.0028,
"58",21864,-0.0697,0.6432,0.3039,0.0528,15690,0.4837,0.5163,0.2358,0.2353,0.0144,0.0579,0.002,
"59",22627,-0.0373,0.3082,0.6372,0.0546,17310,0.8902,0.1098,0.0404,0.0218,0.0073,0.037,0.0013,
"60",23013,-0.0209,0.4444,0.498,0.0577,18094,0.7094,0.2906,0.1982,0.0317,0.0269,0.0311,0.0008,
"61",22847,-0.0279,0.2373,0.7115,0.0512,16490,0.8572,0.1428,0.0401,0.0108,0.0069,0.0833,0.0019,
"62",21933,-0.0668,0.1999,0.7499,0.0502,16380,0.8996,0.1004,0.0218,0.0137,0.0065,0.0557,0.0028,
"63",22349,-0.0491,0.2987,0.6559,0.0455,17471,0.8709,0.1291,0.0317,0.0578,0.0091,0.0252,0.002,
"64",21626,-0.0799,0.2322,0.717,0.0508,17283,0.7349,0.2651,0.1113,0.097,0.0341,0.0251,0.0039,
"65",24408,0.0385,0.3749,0.5615,0.0636,16894,0.5652,0.4348,0.1499,0.2021,0.0543,0.0349,0.0186,
"66",31510,0.3407,0.5475,0.3908,0.0617,27379,0.7543,0.2457,0.0863,0.0669,0.0628,0.0228,0.0054,
"67",26405,0.1235,0.4558,0.4975,0.0467,20844,0.7804,0.2196,0.0702,0.0634,0.06,0.0245,0.0027,
"68",22469,-0.044,0.3161,0.6362,0.0478,17032,0.7273,0.2727,0.0885,0.1158,0.0385,0.0291,0.0089,
"69",21597,-0.0811,0.3492,0.5891,0.0617,16284,0.751,0.249,0.1352,0.0506,0.0325,0.0324,0.0027,
"70",20985,-0.1071,0.2184,0.7349,0.0467,16184,0.9221,0.0779,0.0348,0.0096,0.0072,0.0221,0.0014,
"71",22151,-0.0575,0.337,0.6101,0.0529,17519,0.8349,0.1651,0.0691,0.0465,0.018,0.0308,0.0011,
"72",22400,-0.0469,0.4113,0.5389,0.0498,17233,0.7912,0.2088,0.1319,0.0352,0.0114,0.0341,0.0007,
"73",23435,-0.0029,0.2536,0.6984,0.048,18089,0.8903,0.1097,0.0433,0.0225,0.0119,0.0252,0.002,
"74",22216,-0.0548,0.2864,0.6664,0.0472,16897,0.916,0.084,0.032,0.0153,0.0068,0.0241,0.0005,
"75",22159,-0.0572,0.276,0.6742,0.0499,17281,0.8462,0.1538,0.0483,0.0584,0.0076,0.0364,0.0017,
"76",21583,-0.0817,0.2731,0.6728,0.0541,16551,0.8646,0.1354,0.0834,0.0111,0.0098,0.027,0.001,
"77",22552,-0.0405,0.2646,0.6801,0.0553,16712,0.8933,0.1067,0.0334,0.008,0.0118,0.0459,0.0008,
"78",22992,-0.0217,0.4355,0.5103,0.0542,16362,0.7945,0.2055,0.0647,0.057,0.0552,0.0252,0.0009,
"79",21508,-0.0849,0.3116,0.6384,0.05,16841,0.8371,0.1629,0.053,0.0327,0.0248,0.0452,0.0042,
"80",21535,-0.0837,0.2962,0.6446,0.0592,16036,0.7744,0.2256,0.122,0.0319,0.0066,0.0623,0.0059,
"81",24099,0.0254,0.3455,0.5994,0.0551,17590,0.6583,0.3417,0.1381,0.08,0.0874,0.0385,0.0049,
"82",23239,-0.0112,0.3168,0.6247,0.0585,17098,0.8676,0.1324,0.048,0.0194,0.0202,0.0432,0.0023,
"83",22687,-0.0347,0.5551,0.3891,0.0558,17000,0.5448,0.4552,0.1671,0.2088,0.0454,0.0422,0.004,
"84",22134,-0.0582,0.7005,0.2517,0.0477,15958,0.4121,0.5879,0.165,0.3628,0.0408,0.0455,0.0029,
"85",27175,0.1562,0.4039,0.5552,0.0409,20932,0.7417,0.2583,0.0565,0.0953,0.0793,0.0276,0.0032,
"86",22537,-0.0411,0.5261,0.4067,0.0672,16943,0.5655,0.4345,0.2234,0.1233,0.0504,0.0511,0.0019,
"87",23594,0.0039,0.441,0.5158,0.0432,18610,0.6829,0.3171,0.0792,0.1125,0.0998,0.0292,0.001,
"88",23894,0.0166,0.5264,0.4209,0.0527,18144,0.4998,0.5002,0.1331,0.1895,0.1528,0.0391,0.0037,
"89",24462,0.0408,0.6032,0.3518,0.045,19061,0.48,0.52,0.0885,0.3214,0.0885,0.0333,0.0018,
"90",25765,0.0962,0.2611,0.6869,0.052,18326,0.8635,0.1365,0.0604,0.0208,0.0188,0.0357,0.0018,
"91",25703,0.0936,0.335,0.6134,0.0516,18925,0.7922,0.2078,0.1066,0.0327,0.0306,0.0382,0.0013,
"92",21772,-0.0737,0.5439,0.4039,0.0522,17177,0.6524,0.3476,0.2366,0.0527,0.0193,0.046,0.0025,
"93",23769,0.0113,0.2551,0.6898,0.0551,17266,0.8854,0.1146,0.0408,0.0112,0.0151,0.0418,0.0016,
"94",23270,-0.0099,0.3362,0.6152,0.0486,17546,0.8318,0.1682,0.0779,0.0246,0.0289,0.0341,0.0017,
"95",22985,-0.022,0.4769,0.4605,0.0626,17803,0.6533,0.3467,0.1923,0.0775,0.0233,0.0614,0.0031,
"96",23082,-0.0179,0.4409,0.4909,0.0682,16891,0.6416,0.3584,0.1633,0.0935,0.048,0.0625,0.0018,
"97",24119,0.0262,0.3624,0.575,0.0627,17430,0.6966,0.3034,0.1372,0.0613,0.0651,0.0469,0.0023,
"98",22712,-0.0337,0.3788,0.5543,0.0669,16597,0.6978,0.3022,0.14,0.0598,0.0492,0.0565,0.0024,
"99",28459,0.2109,0.3281,0.6267,0.0452,20331,0.7931,0.2069,0.0523,0.0423,0.0836,0.0283,0.0025,
"100",23925,0.018,0.3647,0.5898,0.0455,18313,0.8181,0.1819,0.077,0.034,0.0338,0.0336,0.0017,
"101",24412,0.0387,0.2511,0.7045,0.0444,17541,0.8962,0.1038,0.043,0.0132,0.0152,0.0282,0.0009,
"102",20762,-0.1166,0.4052,0.5249,0.0699,16357,0.7496,0.2504,0.1333,0.071,0.0085,0.0405,0.002,
