ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",71693,-0.0239,0.2581,0.6918,0.0501,54091,0.879,0.121,0.0292,0.0282,0.0083,0.0517,0.002,
"2",85554,0.1648,0.6488,0.3113,0.0399,69867,0.8048,0.1952,0.0534,0.0517,0.0502,0.0395,0.0017,
"3",77697,0.0579,0.4785,0.4738,0.0478,60103,0.8179,0.1821,0.0532,0.0425,0.0302,0.0542,0.0017,
"4",76646,0.0436,0.757,0.2001,0.0429,54683,0.2654,0.7346,0.2978,0.3582,0.063,0.033,0.0037,
"5",78481,0.0685,0.4566,0.4887,0.0547,59228,0.7127,0.2873,0.0795,0.1472,0.0252,0.0349,0.0039,
"6",69955,-0.0475,0.6066,0.3376,0.0558,52133,0.4958,0.5042,0.3384,0.1054,0.0339,0.039,0.0022,
"7",75401,0.0266,0.6035,0.3552,0.0413,59667,0.8462,0.1538,0.0616,0.0351,0.0326,0.0192,0.0012,
"8",75086,0.0223,0.5101,0.4454,0.0445,59597,0.7642,0.2358,0.0659,0.0537,0.092,0.021,0.0014,
"9",83214,0.133,0.4397,0.5049,0.0554,60638,0.7664,0.2336,0.1046,0.0576,0.0402,0.0265,0.0018,
"10",75435,0.0271,0.4852,0.4648,0.05,57281,0.7858,0.2142,0.0806,0.0635,0.0407,0.026,0.0017,
"11",76340,0.0394,0.4717,0.4922,0.0361,58923,0.8017,0.1983,0.0349,0.0334,0.109,0.0143,0.001,
"12",68626,-0.0656,0.2708,0.6832,0.0459,52460,0.905,0.095,0.0301,0.018,0.0063,0.0359,0.0013,
"13",69415,-0.0549,0.3331,0.625,0.0418,53418,0.8539,0.1461,0.0387,0.0292,0.013,0.0563,0.0033,
"14",66596,-0.0933,0.2189,0.7323,0.0489,51569,0.8892,0.1108,0.0315,0.0241,0.0073,0.044,0.0012,
"15",65761,-0.1046,0.2723,0.6844,0.0433,49744,0.8168,0.1832,0.0512,0.0496,0.0084,0.0737,0.0015,
"16",80420,0.0949,0.3238,0.627,0.0493,58762,0.8003,0.1997,0.0531,0.0503,0.0585,0.0353,0.0027,
"17",72179,-0.0173,0.3825,0.5594,0.0581,53895,0.6751,0.3249,0.1531,0.1048,0.0373,0.0312,0.0083,
"18",69353,-0.0557,0.4218,0.5275,0.0507,52734,0.7988,0.2012,0.0809,0.0659,0.0143,0.0437,0.0021,
"19",70555,-0.0394,0.4543,0.4938,0.0519,53189,0.7134,0.2866,0.143,0.0989,0.0093,0.0434,0.0018,
"20",73338,-0.0015,0.4581,0.4939,0.048,56995,0.8026,0.1974,0.0662,0.0746,0.0282,0.0316,0.0016,
"21",79987,0.089,0.5206,0.4282,0.0512,62709,0.7649,0.2351,0.0905,0.0743,0.046,0.0231,0.0013,
"22",85662,0.1663,0.4243,0.5234,0.0524,69510,0.7551,0.2449,0.0885,0.0755,0.0535,0.0245,0.0047,
"23",75682,0.0304,0.4472,0.4977,0.0551,54585,0.7359,0.2641,0.104,0.0727,0.0578,0.0254,0.0022,
"24",68097,-0.0728,0.3041,0.6418,0.054,52241,0.8249,0.1751,0.0845,0.0381,0.0231,0.0286,0.0019,
"25",70638,-0.0382,0.4968,0.442,0.0612,54344,0.6378,0.3622,0.2099,0.0803,0.0277,0.0533,0.0026,
"26",75467,0.0275,0.2934,0.6494,0.0572,54927,0.8317,0.1683,0.0673,0.0217,0.034,0.0431,0.0021,
"27",75519,0.0282,0.339,0.6147,0.0463,57175,0.821,0.179,0.076,0.0346,0.0344,0.033,0.0015,
"28",71492,-0.0266,0.4273,0.5081,0.0646,52043,0.6282,0.3718,0.17,0.0958,0.0619,0.0518,0.0024,
"29",71298,-0.0293,0.669,0.2806,0.0503,53856,0.4246,0.5754,0.2376,0.2667,0.0468,0.0441,0.0027,
"30",74803,0.0185,0.4617,0.4927,0.0456,58160,0.6324,0.3676,0.1025,0.1396,0.0992,0.0325,0.0027,
"31",75870,0.033,0.3466,0.6015,0.0519,56582,0.8226,0.1774,0.0856,0.037,0.0197,0.0352,0.0012,
"32",65698,-0.1055,0.2621,0.6848,0.0531,50022,0.8401,0.1599,0.071,0.0245,0.0126,0.0482,0.0037,
"33",65537,-0.1077,0.1879,0.7685,0.0436,50260,0.8448,0.1552,0.1024,0.0182,0.0058,0.027,0.0015,
"34",67657,-0.0788,0.3029,0.6437,0.0534,52619,0.8435,0.1565,0.0776,0.037,0.0086,0.0324,0.0017,
"35",69044,-0.0599,0.2571,0.695,0.0479,54059,0.887,0.113,0.052,0.0229,0.0087,0.0252,0.0012,
"36",65701,-0.1055,0.176,0.7791,0.0449,50906,0.9374,0.0626,0.0227,0.0098,0.0053,0.0198,0.0015,
"37",88091,0.1994,0.3508,0.6007,0.0485,62967,0.8359,0.1641,0.0419,0.0275,0.0599,0.0271,0.0013,
"38",68217,-0.0712,0.2646,0.6854,0.05,47696,0.4675,0.5325,0.4682,0.0309,0.0195,0.0355,0.0014,
"39",69574,-0.0527,0.2432,0.7034,0.0535,49413,0.5155,0.4845,0.409,0.0298,0.0271,0.029,0.002,
"40",72101,-0.0183,0.1914,0.7677,0.0409,56265,0.8903,0.1097,0.0578,0.0182,0.0111,0.0184,0.0034,
"Summary",73447,0.3071,0.3981,0.5529,0.0489,55733,0.7554,0.2446,0.1084,0.0665,0.0354,0.0349,0.0022,
