ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",45667,0.0135,0.3247,0.6669,0.0084,36062,0.8387,0.1613,0.0184,0.1083,0.0095,0.0221,0.0014,
"2",43865,-0.0265,0.2923,0.6975,0.0101,33462,0.8724,0.1276,0.0515,0.0439,0.0077,0.0203,0.0009,
"3",43974,-0.0241,0.379,0.6102,0.0107,34254,0.8243,0.1757,0.0246,0.109,0.0115,0.0264,0.0008,
"4",45423,0.0081,0.306,0.6841,0.0099,35186,0.8788,0.1212,0.0193,0.0717,0.0072,0.0204,0.0016,
"5",43360,-0.0377,0.3547,0.6324,0.0129,35488,0.8885,0.1115,0.0284,0.0425,0.0142,0.0227,0.0008,
"6",43835,-0.0272,0.3316,0.6582,0.0102,35375,0.9342,0.0658,0.0137,0.0195,0.0046,0.0219,0.0006,
"7",46996,0.043,0.4065,0.58,0.0135,35521,0.8665,0.1335,0.0283,0.0578,0.0293,0.0156,0.0014,
"8",45349,0.0065,0.3582,0.6331,0.0088,34512,0.757,0.243,0.0272,0.1864,0.0077,0.0212,0.0017,
"9",43420,-0.0364,0.3558,0.6342,0.0101,31552,0.6431,0.3569,0.0958,0.2108,0.0282,0.0245,0.0061,
"10",46263,0.0267,0.3491,0.6393,0.0116,35356,0.8546,0.1454,0.0272,0.071,0.0174,0.0242,0.0031,
"11",44793,-0.0059,0.4368,0.5529,0.0103,34500,0.8566,0.1434,0.0232,0.0915,0.0078,0.0165,0.0009,
"12",44827,-0.0051,0.3164,0.6743,0.0093,34466,0.9072,0.0928,0.0214,0.0454,0.0032,0.0204,0.0008,
"13",44400,-0.0146,0.4077,0.5769,0.0154,34023,0.8576,0.1424,0.0341,0.0662,0.0212,0.0192,0.0011,
"14",44783,-0.0061,0.3433,0.644,0.0128,33841,0.944,0.056,0.023,0.0111,0.0037,0.0162,0.0006,
"15",43299,-0.039,0.3435,0.6481,0.0084,33637,0.9212,0.0788,0.0203,0.0389,0.0031,0.016,0.0006,
"16",44107,-0.0211,0.2898,0.7015,0.0088,33190,0.8756,0.1244,0.0279,0.0702,0.0045,0.0186,0.0008,
"17",46743,0.0374,0.4072,0.5791,0.0138,34667,0.7268,0.2732,0.0702,0.1096,0.0666,0.0187,0.0068,
"18",43359,-0.0377,0.2908,0.6981,0.0111,33296,0.9291,0.0709,0.0148,0.0216,0.0075,0.0234,0.0006,
"19",46444,0.0308,0.3561,0.6341,0.0097,35192,0.849,0.151,0.0365,0.0778,0.0121,0.0216,0.0014,
"20",46982,0.0427,0.4482,0.5382,0.0136,37721,0.7461,0.2539,0.0599,0.1047,0.0644,0.0191,0.0063,
"21",46415,0.0301,0.2397,0.7518,0.0085,36047,0.9244,0.0756,0.0249,0.0283,0.0039,0.0152,0.0005,
"22",46693,0.0363,0.3012,0.6886,0.0102,35471,0.8914,0.1086,0.0235,0.0516,0.0068,0.0219,0.0014,
"23",44485,-0.0127,0.3495,0.6405,0.01,33802,0.8879,0.1121,0.0351,0.0453,0.0069,0.0212,0.0016,
"24",45262,0.0045,0.2993,0.6914,0.0093,34358,0.9171,0.0829,0.0164,0.0357,0.0045,0.0201,0.0013,
"25",43738,-0.0293,0.4161,0.5711,0.0128,33649,0.766,0.234,0.0442,0.1274,0.0349,0.0268,0.0043,
