ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",116519,-0.0173,0.3014,0.6832,0.0155,92234,0.8736,0.1264,0.0332,0.0604,0.0089,0.0204,0.0008,
"2",120976,0.0203,0.3166,0.6689,0.0144,95149,0.874,0.126,0.0193,0.0683,0.0092,0.0243,0.0009,
"3",116325,-0.019,0.3407,0.6417,0.0175,87841,0.7607,0.2393,0.0485,0.1571,0.0138,0.0204,0.003,
"4",116901,-0.0141,0.3382,0.6449,0.0168,90103,0.8691,0.1309,0.0229,0.0787,0.0068,0.0196,0.0011,
"5",112998,-0.047,0.2808,0.6993,0.02,85774,0.9217,0.0783,0.0224,0.022,0.0062,0.0239,0.001,
"6",115027,-0.0299,0.4377,0.5406,0.0217,86630,0.8309,0.1691,0.0389,0.0752,0.0328,0.0187,0.001,
"7",113701,-0.0411,0.3691,0.61,0.0209,87071,0.8416,0.1584,0.0551,0.0661,0.0129,0.0219,0.0012,
"8",121559,0.0252,0.3752,0.6007,0.0241,92525,0.8858,0.1142,0.0267,0.049,0.0198,0.0163,0.001,
"9",123871,0.0447,0.3287,0.6538,0.0175,94518,0.8417,0.1583,0.0456,0.0698,0.0196,0.02,0.002,
"10",113278,-0.0447,0.3868,0.5903,0.0229,86098,0.7599,0.2401,0.0503,0.1296,0.0317,0.0265,0.0055,
"11",113510,-0.0427,0.3212,0.6536,0.0252,84287,0.8491,0.1509,0.0447,0.0497,0.0301,0.0204,0.0031,
"12",122398,0.0322,0.4327,0.5466,0.0207,95386,0.8506,0.1494,0.0402,0.0575,0.0321,0.0189,0.0009,
"13",123626,0.0426,0.664,0.3143,0.0216,101493,0.7016,0.2984,0.0871,0.1512,0.0403,0.0203,0.0013,
"14",112703,-0.0495,0.3368,0.6444,0.0188,86050,0.8985,0.1015,0.0217,0.0494,0.0071,0.0189,0.0015,
"15",117721,-0.0072,0.2086,0.776,0.0154,91375,0.9309,0.0691,0.0247,0.0151,0.0061,0.0203,0.0007,
"16",121444,0.0242,0.2831,0.7006,0.0163,93079,0.8803,0.1197,0.0307,0.053,0.014,0.0172,0.0011,
"17",124388,0.049,0.3644,0.6123,0.0233,92327,0.8668,0.1332,0.0389,0.0558,0.0137,0.0213,0.0013,
"18",123930,0.0452,0.3489,0.6331,0.018,96698,0.9437,0.0563,0.0085,0.0186,0.0063,0.0189,0.0006,
"19",113823,-0.0401,0.6426,0.3383,0.0191,92055,0.7577,0.2423,0.0566,0.1271,0.0397,0.0175,0.0013,
"20",114950,-0.0306,0.4083,0.5713,0.0204,86973,0.8643,0.1357,0.0381,0.0571,0.0152,0.0217,0.001,
"21",118866,0.0025,0.204,0.7798,0.0162,91174,0.9428,0.0572,0.014,0.0129,0.0052,0.0212,0.0004,
"22",124346,0.0487,0.4323,0.5436,0.0242,94685,0.8145,0.1855,0.0434,0.091,0.0274,0.0217,0.0013,
"23",124381,0.049,0.4171,0.5588,0.0242,96113,0.8574,0.1426,0.0392,0.0592,0.0177,0.0209,0.0021,
"24",119969,0.0118,0.3841,0.5933,0.0227,94307,0.9063,0.0937,0.0205,0.0353,0.0134,0.0189,0.0014,
"25",121144,0.0217,0.19,0.7956,0.0144,93161,0.9301,0.0699,0.0145,0.0293,0.0047,0.0192,0.0011,
"26",113891,-0.0395,0.5847,0.3947,0.0207,92272,0.7661,0.2339,0.0533,0.1231,0.0403,0.0165,0.0014,
"27",124449,0.0495,0.4121,0.571,0.0169,96512,0.8654,0.1346,0.0366,0.0668,0.0103,0.0175,0.0008,
"28",123885,0.0448,0.432,0.5502,0.0178,94333,0.8136,0.1864,0.0484,0.0998,0.0181,0.0184,0.001,
"29",122669,0.0345,0.2932,0.6934,0.0135,96102,0.954,0.046,0.007,0.0151,0.0039,0.0174,0.0004,
"30",119316,0.0063,0.3022,0.6837,0.014,93386,0.9499,0.0501,0.0102,0.0168,0.0044,0.0173,0.0004,
"31",116283,-0.0193,0.2716,0.7147,0.0137,91837,0.9487,0.0513,0.0107,0.0189,0.0055,0.014,0.0004,
"32",122652,0.0344,0.3501,0.6299,0.0201,93778,0.826,0.174,0.0351,0.0795,0.033,0.02,0.0043,
"33",115611,-0.025,0.7965,0.1914,0.0121,87280,0.3891,0.6109,0.0347,0.5495,0.0121,0.0187,0.0014,
"34",124493,0.0499,0.4298,0.5476,0.0225,98329,0.8417,0.1583,0.0318,0.0685,0.0343,0.0205,0.0088,
"35",113122,-0.046,0.6904,0.2915,0.0182,89400,0.5282,0.4718,0.1504,0.2745,0.0355,0.0209,0.0023,
"36",112769,-0.049,0.4566,0.5258,0.0176,88248,0.793,0.207,0.0395,0.0849,0.0643,0.0159,0.0013,
"37",115016,-0.03,0.5676,0.4138,0.0186,88226,0.6442,0.3558,0.0783,0.2181,0.0381,0.0222,0.0025,
"38",113326,-0.0443,0.3454,0.6324,0.0222,87091,0.8806,0.1194,0.0336,0.0419,0.0144,0.0239,0.0009,
"",118575,0.0994,0.3967,0.5842,0.0191,91682,0.834,0.166,0.0382,0.0859,0.0197,0.0198,0.0017,
