ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"District 1",44941,0.0131,0.2559,0.7304,0.0137,34948,0.693,0.307,0.032,0.2314,0.0078,0.0306,0.0011,
"District 2",45642,0.0289,0.7727,0.2059,0.0214,35124,0.2464,0.7536,0.0534,0.6738,0.017,0.0194,0.0014,
"District 3",46122,0.0397,0.7387,0.2435,0.0178,33920,0.2196,0.7804,0.0245,0.7386,0.0086,0.0137,0.0006,
"District 4",46405,0.0461,0.7269,0.256,0.0171,34714,0.237,0.763,0.023,0.7207,0.0084,0.0129,0.0009,
"District 5",45375,0.0229,0.2574,0.7266,0.016,34601,0.6985,0.3015,0.0462,0.1942,0.0352,0.0272,0.0018,
"District 6",44174,-0.0042,0.2943,0.6837,0.022,35273,0.7365,0.2635,0.0375,0.1651,0.0354,0.0225,0.002,
"District 7",43279,-0.0244,0.3133,0.6732,0.0135,33156,0.6036,0.3964,0.0287,0.2936,0.005,0.0724,0.0006,
"District 8",45325,0.0218,0.2278,0.7557,0.0166,33068,0.6864,0.3136,0.0567,0.1987,0.0333,0.0244,0.0021,
"District 9",43401,-0.0216,0.2592,0.723,0.0178,31974,0.6516,0.3484,0.0835,0.2109,0.022,0.0329,0.0029,
"District 10",44137,-0.005,0.3278,0.6601,0.0121,34617,0.6267,0.3733,0.0161,0.3292,0.0049,0.0215,0.0009,
"District 11",42458,-0.0429,0.5645,0.4153,0.0202,34439,0.3867,0.6133,0.028,0.564,0.0122,0.0141,0.0008,
"District 12",45889,0.0345,0.2123,0.7703,0.0174,36100,0.7388,0.2612,0.039,0.19,0.0134,0.0175,0.0011,
"District 13",44187,-0.0039,0.2987,0.6883,0.013,34517,0.6509,0.3491,0.0434,0.2703,0.0115,0.0229,0.0016,
"District 14",44279,-0.0018,0.2285,0.7558,0.0158,33794,0.7068,0.2932,0.0227,0.2221,0.0258,0.0194,0.0006,
"District 15",43934,-0.0096,0.1019,0.8847,0.0133,32900,0.86,0.14,0.0281,0.0621,0.0141,0.0285,0.0005,
"District 16",42328,-0.0458,0.6178,0.3639,0.0182,32122,0.3311,0.6689,0.0178,0.625,0.0169,0.0136,0.0009,
"District 17",42807,-0.035,0.706,0.2754,0.0186,31485,0.2899,0.7101,0.0571,0.6326,0.0126,0.0137,0.0008,
"District 18",46494,0.0481,0.399,0.5856,0.0154,36957,0.6364,0.3636,0.0355,0.3085,0.0054,0.0129,0.0013,
"District 19",43183,-0.0265,0.2402,0.7501,0.0098,33565,0.684,0.316,0.0201,0.2747,0.0048,0.0178,0.0011,
"District 20",42204,-0.0486,0.1479,0.8418,0.0102,32439,0.7886,0.2114,0.0303,0.1552,0.0047,0.02,0.0012,
"District 21",44329,-0.0007,0.5091,0.4752,0.0158,33666,0.4168,0.5832,0.0175,0.5542,0.0053,0.0103,0.0009,
"District 22",43238,-0.0253,0.24,0.7414,0.0186,34459,0.6225,0.3775,0.0902,0.2466,0.014,0.0247,0.0012,
"District 23",42708,-0.0372,0.8729,0.1017,0.0254,35751,0.3538,0.6462,0.1122,0.5086,0.0218,0.0184,0.0009,
"District 24",42692,-0.0376,0.117,0.8693,0.0137,32265,0.7923,0.2077,0.0478,0.1019,0.017,0.0373,0.0057,
"District 25",43136,-0.0276,0.2679,0.7152,0.0169,33462,0.6821,0.3179,0.0285,0.2353,0.0232,0.0281,0.0009,
"District 26",44636,0.0062,0.689,0.2877,0.0234,33616,0.2992,0.7008,0.0312,0.6433,0.0156,0.0159,0.001,
"District 27",44225,-0.003,0.1312,0.8497,0.0191,33378,0.8068,0.1932,0.0285,0.1095,0.0147,0.0344,0.0012,
"District 28",42851,-0.034,0.2897,0.6924,0.018,32992,0.6596,0.3404,0.0396,0.2682,0.0122,0.0221,0.0013,
"District 29",44544,0.0042,0.7415,0.2403,0.0183,33038,0.225,0.775,0.0281,0.7356,0.0076,0.0091,0.0012,
"District 30",42313,-0.0461,0.2631,0.7153,0.0217,31724,0.6691,0.3309,0.0635,0.2039,0.0278,0.0328,0.0055,
"District 31",46510,0.0485,0.2159,0.7624,0.0217,34544,0.712,0.288,0.0545,0.17,0.0475,0.0145,0.0009,
"District 32",42409,-0.044,0.1775,0.8062,0.0163,32435,0.7518,0.2482,0.0635,0.1435,0.0082,0.0334,0.0016,
