ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",128656,0.0773,0.3049,0.67,0.025,98046,0.6488,0.3512,0.0765,0.223,0.0256,0.0275,0.0015,
"2",108026,-0.0955,0.5924,0.3866,0.021,82817,0.4183,0.5817,0.0434,0.5243,0.0073,0.0109,0.001,
"3",126317,0.0577,0.7343,0.2397,0.026,96202,0.2783,0.7217,0.0751,0.5794,0.0625,0.0163,0.0012,
"4",132156,0.1066,0.7862,0.1874,0.0264,103776,0.338,0.662,0.0599,0.5794,0.0197,0.014,0.001,
"5",120152,0.006,0.8266,0.1456,0.0278,101126,0.4398,0.5602,0.1019,0.43,0.0318,0.0178,0.0013,
"6",132643,0.1106,0.3077,0.6701,0.0222,101087,0.6266,0.3734,0.0619,0.2655,0.0264,0.0184,0.0009,
"7",111694,-0.0648,0.6654,0.3106,0.024,83316,0.2875,0.7125,0.1183,0.5509,0.0401,0.018,0.0017,
"8",121086,0.0139,0.4486,0.5245,0.027,92436,0.4614,0.5386,0.1204,0.3306,0.0717,0.0259,0.0014,
"9",122806,0.0283,0.3373,0.6381,0.0245,99404,0.6806,0.3194,0.1533,0.1123,0.0436,0.0166,0.001,
"10",120330,0.0075,0.2902,0.6842,0.0256,95980,0.6126,0.3874,0.1991,0.1234,0.0493,0.0192,0.001,
"11",151481,0.2684,0.2239,0.7502,0.0259,114614,0.7979,0.2021,0.0717,0.0858,0.0187,0.0218,0.0012,
"12",121376,0.0163,0.2987,0.6759,0.0255,93597,0.6775,0.3225,0.0382,0.2581,0.0069,0.0192,0.0007,
"13",129458,0.084,0.1356,0.8434,0.021,96114,0.8364,0.1636,0.0523,0.0707,0.0106,0.0229,0.0011,
"14",119671,0.002,0.7618,0.2121,0.0262,94808,0.3107,0.6893,0.0603,0.585,0.0383,0.0125,0.001,
"15",117106,-0.0195,0.7678,0.2127,0.0195,87077,0.1744,0.8256,0.0565,0.7404,0.0243,0.0108,0.0007,
"16",124272,0.0405,0.3569,0.6156,0.0275,101327,0.6703,0.3297,0.0643,0.2021,0.0477,0.0139,0.0008,
"17",108212,-0.0939,0.3898,0.5909,0.0193,84762,0.6124,0.3876,0.0289,0.3377,0.0066,0.0139,0.0011,
"18",138058,0.156,0.2308,0.7471,0.0222,100500,0.7436,0.2564,0.0664,0.1536,0.0169,0.0186,0.0009,
"19",109521,-0.083,0.4077,0.5696,0.0227,82620,0.5356,0.4644,0.0968,0.3402,0.0125,0.0188,0.001,
"20",110837,-0.0719,0.1994,0.7747,0.0259,83975,0.7018,0.2982,0.0623,0.1462,0.0133,0.0798,0.0008,
"21",119371,-0.0005,0.2903,0.6855,0.0241,90404,0.643,0.357,0.0585,0.2508,0.0149,0.0346,0.0011,
"22",120003,0.0048,0.2611,0.7117,0.0272,91016,0.6556,0.3444,0.0414,0.2686,0.022,0.0134,0.0007,
"23",138634,0.1608,0.2216,0.7518,0.0266,106721,0.757,0.243,0.0604,0.1283,0.0375,0.0169,0.0011,
"24",120632,0.0101,0.5343,0.4427,0.0231,90285,0.4046,0.5954,0.0355,0.5442,0.0077,0.0109,0.0008,
"25",130272,0.0908,0.2054,0.7726,0.022,97725,0.7647,0.2353,0.0368,0.1608,0.0201,0.0168,0.0016,
"26",120668,0.0104,0.2027,0.7742,0.023,90063,0.7551,0.2449,0.0439,0.1703,0.0156,0.014,0.0007,
"27",126558,0.0597,0.3999,0.5723,0.0278,95733,0.583,0.417,0.0475,0.3356,0.0168,0.0178,0.0013,
"28",112240,-0.0602,0.2642,0.7158,0.02,85369,0.6652,0.3348,0.053,0.2514,0.0101,0.0211,0.0011,
"29",109718,-0.0813,0.5797,0.3939,0.0265,83742,0.3773,0.6227,0.0296,0.5656,0.0121,0.0182,0.0011,
"30",113424,-0.0503,0.1596,0.8182,0.0222,84540,0.7759,0.2241,0.0494,0.1224,0.0182,0.0305,0.0044,
"31",106580,-0.1076,0.2358,0.7455,0.0186,83226,0.6892,0.3108,0.0452,0.2016,0.0164,0.0472,0.0011,
"32",109020,-0.0872,0.1889,0.796,0.0152,84684,0.7452,0.2548,0.0408,0.1822,0.0088,0.0209,0.0009,
"33",109730,-0.0812,0.2462,0.7378,0.016,84775,0.676,0.324,0.0286,0.2658,0.0103,0.0183,0.0008,
"34",107041,-0.1037,0.6111,0.3686,0.0203,80258,0.3132,0.6868,0.0268,0.6411,0.0126,0.0122,0.0008,
"35",119065,-0.0031,0.162,0.8185,0.0195,92753,0.7765,0.2235,0.0415,0.1373,0.0172,0.0245,0.0011,
"36",116688,-0.023,0.2578,0.7272,0.015,88194,0.6949,0.3051,0.032,0.2314,0.0137,0.0263,0.0015,
"37",110334,-0.0762,0.3495,0.6242,0.0263,84955,0.6026,0.3974,0.0724,0.267,0.036,0.0256,0.0026,
"38",111086,-0.0699,0.4033,0.5795,0.0172,85190,0.5348,0.4652,0.0305,0.3948,0.0158,0.0229,0.0008,
"39",102835,-0.1389,0.651,0.3291,0.02,77331,0.296,0.704,0.0221,0.6622,0.0057,0.0172,0.0009,
"Summary",119430,0.4073,0.3816,0.5954,0.023,91553,0.5831,0.4169,0.0626,0.3125,0.0232,0.021,0.0012,
