ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"D1",167288,-0.0481,0.6478,0.3266,0.0255,138745,0.8838,0.1162,0.0398,0.0334,0.018,0.0172,0.0008,
"D2",167628,-0.0462,0.5242,0.4482,0.0276,135053,0.7541,0.2459,0.165,0.0393,0.0316,0.0156,0.0018,
"D3",168062,-0.0437,0.6859,0.2907,0.0235,127167,0.365,0.635,0.4108,0.2157,0.0299,0.0236,0.0034,
"D4",167192,-0.0487,0.5062,0.4677,0.0261,135770,0.8334,0.1666,0.0709,0.0438,0.0374,0.0138,0.0013,
"D5",167716,-0.0457,0.6916,0.2783,0.03,141797,0.8038,0.1962,0.0595,0.0417,0.0762,0.0169,0.0014,
"D6",167231,-0.0485,0.4651,0.5022,0.0327,133695,0.8528,0.1472,0.0578,0.0388,0.0283,0.0155,0.0012,
"D7",181709,0.0339,0.4418,0.5278,0.0303,144738,0.8645,0.1355,0.0717,0.0214,0.0188,0.0147,0.0011,
"D8",166976,-0.0499,0.5596,0.4148,0.0256,131157,0.6784,0.3216,0.0937,0.0747,0.1259,0.0113,0.0009,
"D9",167438,-0.0473,0.6196,0.3526,0.0278,133470,0.5962,0.4038,0.1914,0.1247,0.0774,0.0159,0.0016,
"D10",177088,0.0076,0.5269,0.443,0.0301,139439,0.7241,0.2759,0.1343,0.0605,0.0572,0.0148,0.0017,
"D11",175513,-0.0013,0.5464,0.4282,0.0254,137725,0.5803,0.4197,0.1433,0.0795,0.1676,0.0114,0.0017,
"D12",178130,0.0136,0.6285,0.3436,0.0279,138873,0.7478,0.2522,0.0631,0.0322,0.1022,0.0106,0.001,
"D13",175069,-0.0039,0.6345,0.3409,0.0246,136166,0.6977,0.3023,0.085,0.0466,0.1003,0.0109,0.001,
"D14",178044,0.0131,0.5513,0.4216,0.0271,137216,0.8367,0.1633,0.0438,0.0281,0.0533,0.0079,0.0009,
"D15",170258,-0.0312,0.6435,0.3309,0.0256,137044,0.7192,0.2808,0.0775,0.0477,0.1373,0.0083,0.001,
"D16",178462,0.0154,0.6204,0.3578,0.0218,142336,0.7537,0.2463,0.0408,0.0411,0.1403,0.0074,0.0008,
"D17",181664,0.0337,0.7519,0.2279,0.0201,143560,0.7113,0.2887,0.0518,0.0397,0.1817,0.0057,0.0013,
"D18",180666,0.028,0.6346,0.3433,0.0221,144417,0.7061,0.2939,0.1002,0.125,0.0631,0.0102,0.0012,
"D19",167027,-0.0496,0.6242,0.3545,0.0213,126539,0.361,0.639,0.5566,0.1046,0.0314,0.0208,0.003,
"D20",181376,0.032,0.5212,0.4516,0.0272,144688,0.838,0.162,0.0557,0.0294,0.0602,0.0088,0.001,
"D21",180195,0.0253,0.5466,0.4271,0.0263,145325,0.9092,0.0908,0.0295,0.013,0.0269,0.0089,0.0009,
"D22",169718,-0.0343,0.5824,0.3922,0.0254,140076,0.8153,0.1847,0.0896,0.0441,0.0292,0.01,0.0011,
"D23",183642,0.0449,0.6164,0.3605,0.0231,147415,0.6859,0.3141,0.0565,0.0755,0.1489,0.0077,0.0009,
"D24",181758,0.0342,0.5874,0.3916,0.021,140592,0.605,0.395,0.2368,0.0981,0.0579,0.0174,0.0013,
"D25",183880,0.0463,0.6706,0.3071,0.0224,155958,0.5858,0.4142,0.2483,0.0569,0.0885,0.013,0.0013,
"D26",184151,0.0478,0.7872,0.1936,0.0192,152696,0.4567,0.5433,0.2428,0.1193,0.1486,0.0152,0.0018,
"D27",180853,0.029,0.7817,0.1976,0.0206,155832,0.6727,0.3273,0.0762,0.0846,0.1371,0.0087,0.0014,
"D28",183947,0.0467,0.769,0.2064,0.0246,162818,0.6483,0.3517,0.083,0.0583,0.1932,0.0081,0.0016,
"D29",181874,0.0349,0.8884,0.0985,0.013,145535,0.2321,0.7679,0.2366,0.4845,0.0842,0.0176,0.0026,
"D30",184255,0.0484,0.742,0.2379,0.0201,156555,0.501,0.499,0.1166,0.2285,0.1542,0.0104,0.0018,
"D31",172503,-0.0185,0.5273,0.4493,0.0234,136418,0.8888,0.1112,0.0239,0.0264,0.0368,0.0079,0.001,
"D32",172439,-0.0188,0.5536,0.4246,0.0219,142197,0.668,0.332,0.0418,0.0656,0.2022,0.0081,0.0011,
"D33",169378,-0.0362,0.5662,0.4112,0.0226,135132,0.7008,0.2992,0.0485,0.1523,0.0788,0.0094,0.001,
"D34",172727,-0.0172,0.6024,0.378,0.0197,133529,0.4945,0.5055,0.0811,0.3453,0.0316,0.0128,0.0018,
"D35",181920,0.0351,0.5408,0.4338,0.0254,143407,0.8126,0.1874,0.0432,0.0567,0.0703,0.0098,0.0009,
"D36",181988,0.0355,0.4676,0.5067,0.0257,145719,0.8514,0.1486,0.0352,0.0604,0.0173,0.0133,0.0011,
"D37",172232,-0.02,0.4968,0.4819,0.0213,137866,0.8395,0.1605,0.0653,0.0473,0.0219,0.0122,0.0014,
"D38",167853,-0.0449,0.5545,0.4238,0.0217,134084,0.7313,0.2687,0.1296,0.087,0.0169,0.0181,0.0015,
"D39",184504,0.0498,0.4966,0.4804,0.023,152725,0.9034,0.0966,0.0206,0.0242,0.017,0.0141,0.0011,
"D40",175563,-0.0011,0.5735,0.4046,0.0219,150249,0.8411,0.1589,0.0401,0.0479,0.0168,0.0134,0.0016,
"Summary",175748,0.0997,0.5991,0.3766,0.0243,141593,0.7043,0.2957,0.1097,0.0859,0.0791,0.0123,0.0014,
