ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1A",42812,-0.0228,0.2198,0.7569,0.0234,34722,0.9342,0.0658,0.0101,0.0265,0.0097,0.0139,0.0014,
"1B",47008,0.073,0.3168,0.6531,0.0302,38601,0.8526,0.1474,0.0142,0.0993,0.0131,0.0184,0.0008,
"1C",44906,0.025,0.2444,0.7306,0.025,35969,0.8649,0.1351,0.0388,0.0629,0.0142,0.018,0.0011,
"2A",89013,0.0159,0.3216,0.6481,0.0303,71338,0.803,0.197,0.0446,0.1068,0.0247,0.0192,0.0014,
"2B",43625,-0.0042,0.5132,0.4477,0.0391,32620,0.6618,0.3382,0.0796,0.2134,0.0276,0.0261,0.0018,
"3",125990,-0.0414,0.5936,0.3697,0.0367,96136,0.5778,0.4222,0.1528,0.1829,0.0749,0.021,0.002,
"4",126452,-0.0379,0.3959,0.5711,0.0331,96077,0.8249,0.1751,0.057,0.0493,0.0464,0.0189,0.0013,
"5",133781,0.0179,0.3181,0.6433,0.0386,104073,0.8586,0.1414,0.04,0.0503,0.03,0.0172,0.0011,
"6",130703,-0.0055,0.409,0.5595,0.0314,100708,0.6648,0.3352,0.0871,0.1936,0.0256,0.0319,0.0013,
"7A",84006,-0.0412,0.3816,0.5858,0.0326,66901,0.7453,0.2547,0.0313,0.1253,0.0783,0.0163,0.0012,
"7B",45409,0.0365,0.2988,0.6682,0.033,35553,0.8322,0.1678,0.0341,0.072,0.0402,0.0185,0.0012,
"8",128099,-0.0253,0.5676,0.3991,0.0332,98961,0.5083,0.4917,0.0599,0.3339,0.0848,0.0176,0.0011,
"9A",85549,-0.0236,0.4921,0.4723,0.0355,63791,0.6097,0.3903,0.0562,0.0857,0.2349,0.0123,0.0011,
"9B",44688,0.02,0.6137,0.3501,0.0362,33518,0.5129,0.4871,0.0429,0.1099,0.3224,0.0101,0.0013,
"10",125835,-0.0426,0.7271,0.2431,0.0298,97564,0.3249,0.6751,0.0598,0.5422,0.0687,0.0153,0.0012,
"11A",42293,-0.0346,0.7419,0.2308,0.0273,33211,0.3396,0.6604,0.0732,0.512,0.0746,0.0142,0.0009,
"11B",84037,-0.0409,0.5731,0.3948,0.0322,65969,0.6989,0.3011,0.0381,0.1772,0.075,0.0092,0.0011,
"12A",86401,-0.0139,0.665,0.2989,0.0361,66573,0.5065,0.4935,0.0766,0.2522,0.1572,0.0176,0.0021,
"12B",45293,0.0339,0.5244,0.4397,0.0359,34918,0.5389,0.4611,0.114,0.2701,0.0565,0.0284,0.0021,
"13",131670,0.0018,0.6811,0.2834,0.0355,99018,0.4408,0.5592,0.0988,0.2767,0.174,0.0176,0.0015,
"14",127872,-0.0271,0.6747,0.2962,0.0291,98895,0.4351,0.5649,0.1185,0.2845,0.1559,0.0149,0.0022,
"15",130355,-0.0082,0.6671,0.3022,0.0306,99449,0.4765,0.5235,0.0984,0.1359,0.2795,0.0117,0.0014,
"16",132973,0.0117,0.7436,0.2277,0.0287,104350,0.6826,0.3174,0.0829,0.0649,0.1538,0.0078,0.0016,
"17",134626,0.0243,0.738,0.2318,0.0302,105172,0.417,0.583,0.2055,0.149,0.2205,0.018,0.0019,
"18",127698,-0.0284,0.7835,0.1874,0.0291,97935,0.4518,0.5482,0.2575,0.1602,0.1227,0.0226,0.002,
