ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",132581,0.0091,0.2693,0.7107,0.02,109292,0.8826,0.1174,0.021,0.0642,0.0124,0.0168,0.0011,
"2",128391,-0.0228,0.4088,0.5671,0.0242,103958,0.7587,0.2413,0.0556,0.1402,0.0256,0.0214,0.0015,
"3",126161,-0.0398,0.6564,0.3151,0.0285,96136,0.5778,0.4222,0.1528,0.1829,0.0749,0.021,0.002,
"4",126536,-0.037,0.4613,0.5094,0.0293,96077,0.8249,0.1751,0.057,0.0493,0.0464,0.0189,0.0013,
"5",133491,0.016,0.3767,0.5872,0.0362,104073,0.8586,0.1414,0.04,0.0503,0.03,0.0172,0.0011,
"6",131282,-0.0008,0.4141,0.562,0.0239,100708,0.6648,0.3352,0.0871,0.1936,0.0256,0.0319,0.0013,
"7",129596,-0.0137,0.41,0.5637,0.0263,102454,0.7755,0.2245,0.0323,0.1068,0.0651,0.017,0.0012,
"8",128487,-0.0221,0.6163,0.3586,0.0251,98961,0.5083,0.4917,0.0599,0.3339,0.0848,0.0176,0.0011,
"9",130281,-0.0084,0.6268,0.3439,0.0293,97309,0.5764,0.4236,0.0516,0.0941,0.265,0.0116,0.0012,
"10",126173,-0.0397,0.7862,0.1928,0.0211,97564,0.3249,0.6751,0.0598,0.5422,0.0687,0.0153,0.0012,
"11",126486,-0.0373,0.6952,0.2819,0.0229,99180,0.5786,0.4214,0.0499,0.2893,0.0749,0.0109,0.001,
"12",131907,0.0039,0.6963,0.2763,0.0274,101491,0.5176,0.4824,0.0895,0.2583,0.1226,0.0213,0.0021,
"13",131054,-0.0026,0.7531,0.2185,0.0285,99018,0.4408,0.5592,0.0988,0.2767,0.174,0.0176,0.0015,
"14",127947,-0.0262,0.7344,0.2409,0.0247,98895,0.4351,0.5649,0.1185,0.2845,0.1559,0.0149,0.0022,
"15",130414,-0.0074,0.7403,0.2354,0.0243,99449,0.4765,0.5235,0.0984,0.1359,0.2795,0.0117,0.0014,
"16",132983,0.0121,0.8194,0.1591,0.0215,104350,0.6826,0.3174,0.0829,0.0649,0.1538,0.0078,0.0016,
"17",134714,0.0253,0.7873,0.1874,0.0253,105172,0.417,0.583,0.2055,0.149,0.2205,0.018,0.0019,
"18",127768,-0.0276,0.8296,0.1449,0.0255,97935,0.4518,0.5482,0.2575,0.1602,0.1227,0.0226,0.002,
"19",128638,-0.021,0.7644,0.2117,0.0239,100177,0.3773,0.6227,0.2472,0.2103,0.1534,0.0206,0.0015,
"20",130259,-0.0086,0.883,0.0954,0.0217,100783,0.33,0.67,0.2186,0.3554,0.0971,0.0239,0.0015,
"21",133497,0.016,0.781,0.1918,0.0272,108661,0.3444,0.6556,0.1968,0.3215,0.1354,0.022,0.002,
"22",136451,0.0385,0.8778,0.0974,0.0248,102287,0.1548,0.8452,0.292,0.4887,0.069,0.0285,0.0017,
"23",135983,0.0349,0.8598,0.1207,0.0195,106485,0.199,0.801,0.0747,0.6831,0.0456,0.0186,0.0016,
"24",135504,0.0313,0.9262,0.0555,0.0183,105442,0.0592,0.9408,0.1067,0.8098,0.0309,0.0173,0.001,
"25",136069,0.0356,0.9364,0.0472,0.0164,106999,0.0514,0.9486,0.0771,0.8561,0.0208,0.0172,0.0014,
"26",135704,0.0328,0.9144,0.068,0.0176,108391,0.0708,0.9292,0.1301,0.7516,0.0502,0.0191,0.002,
"27",136291,0.0373,0.6265,0.3537,0.0198,104648,0.5049,0.4951,0.0509,0.3979,0.0305,0.0252,0.0022,
"28",136503,0.0389,0.6835,0.2965,0.02,103490,0.3831,0.6169,0.0547,0.5028,0.0476,0.0279,0.0025,
"29",135606,0.0321,0.4278,0.5418,0.0303,103119,0.7303,0.2697,0.0471,0.16,0.0392,0.0238,0.0026,
"30",126540,-0.0369,0.5837,0.3899,0.0264,100866,0.7325,0.2675,0.096,0.124,0.0301,0.0177,0.0012,
"31",130883,-0.0039,0.4304,0.5396,0.0301,101344,0.7792,0.2208,0.0488,0.1025,0.0453,0.0221,0.0017,
"32",135064,0.028,0.6476,0.3246,0.0278,107097,0.4381,0.5619,0.1073,0.3588,0.0862,0.0224,0.0027,
"33",131878,0.0037,0.5773,0.3904,0.0323,100113,0.7289,0.2711,0.0571,0.1378,0.0573,0.0177,0.0028,
"34",131935,0.0041,0.529,0.4429,0.0281,101299,0.636,0.364,0.0598,0.2435,0.0436,0.021,0.0025,
"35",134794,0.0259,0.3195,0.6533,0.0272,104568,0.8715,0.1285,0.029,0.0474,0.0253,0.0211,0.0013,
"36",134994,0.0274,0.3865,0.587,0.0264,106144,0.8103,0.1897,0.0533,0.0957,0.0184,0.0202,0.0015,
"37",135428,0.0307,0.4621,0.5134,0.0246,105629,0.6683,0.3317,0.0528,0.2471,0.0176,0.0182,0.0015,
"38",134250,0.0218,0.4198,0.559,0.0213,111289,0.7073,0.2927,0.0418,0.2048,0.029,0.0175,0.0012,
"39",133983,0.0197,0.7682,0.2048,0.0271,100594,0.2825,0.7175,0.2672,0.2452,0.2011,0.0226,0.0022,
"40",126162,-0.0398,0.9089,0.0717,0.0194,100773,0.2353,0.7647,0.0399,0.6721,0.049,0.0163,0.0014,
"41",126149,-0.0399,0.8507,0.1318,0.0176,99412,0.2571,0.7429,0.0382,0.663,0.0366,0.0124,0.001,
"42",127603,-0.0288,0.4501,0.5162,0.0337,100814,0.8125,0.1875,0.0421,0.0719,0.0546,0.015,0.0011,
"43",127154,-0.0322,0.8675,0.1094,0.0231,105538,0.3795,0.6205,0.0478,0.4817,0.0879,0.0124,0.0012,
"44",132982,0.0121,0.7366,0.2395,0.0239,104205,0.3846,0.6154,0.0702,0.4442,0.0914,0.0173,0.0019,
"45",126182,-0.0396,0.8955,0.0873,0.0171,96325,0.1743,0.8257,0.0518,0.7513,0.0187,0.0164,0.0015,
"46",126149,-0.0399,0.8016,0.1703,0.0281,104519,0.5175,0.4825,0.1504,0.261,0.061,0.021,0.0009,
"47",136516,0.039,0.8933,0.0819,0.0248,102169,0.0698,0.9302,0.449,0.4595,0.0315,0.0441,0.0022,
"Summary",131391,0.0789,0.6536,0.3215,0.0249,102451,0.4987,0.5013,0.1022,0.3101,0.0782,0.0194,0.0016,
