ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",8683,-0.0376,0.4056,0.5452,0.0492,7156,0.9447,0.0553,0.0096,0.015,0.0091,0.0201,0.0004,
"2",9130,0.0119,0.4651,0.4902,0.0447,7741,0.966,0.034,0.0074,0.0053,0.0036,0.0147,0.0008,
"3",9246,0.0248,0.3448,0.5993,0.0559,7345,0.9394,0.0606,0.0109,0.0082,0.005,0.03,0.001,
"4",9152,0.0144,0.3395,0.6029,0.0576,7419,0.9426,0.0574,0.0113,0.0101,0.0094,0.0235,0.0011,
"5",8797,-0.025,0.3792,0.5591,0.0617,7077,0.9158,0.0842,0.0151,0.0133,0.0189,0.0348,0.0008,
"6",8732,-0.0322,0.2567,0.6987,0.0446,6968,0.9491,0.0509,0.0069,0.0065,0.0013,0.0304,0.0007,
"7",8671,-0.0389,0.2954,0.6545,0.0501,6856,0.9188,0.0812,0.0112,0.0085,0.0039,0.0556,0.0004,
"8",8770,-0.028,0.2241,0.7295,0.0464,7159,0.943,0.057,0.0077,0.0047,0.0074,0.0267,0.0008,
"9",8943,-0.0088,0.4297,0.521,0.0493,7249,0.8317,0.1683,0.013,0.0088,0.0074,0.1374,0.0006,
"10",9170,0.0164,0.3591,0.5944,0.0465,7464,0.9362,0.0638,0.0131,0.0064,0.007,0.0303,0.0015,
"11",9250,0.0252,0.3643,0.5864,0.0494,7622,0.9284,0.0716,0.0236,0.0122,0.0091,0.0218,0.0012,
"12",8824,-0.022,0.3971,0.5499,0.053,7282,0.9275,0.0725,0.0174,0.0066,0.0098,0.0233,0.0001,
"13",8863,-0.0177,0.4219,0.5128,0.0653,7143,0.9187,0.0813,0.0169,0.014,0.0181,0.0252,0.0011,
"14",9115,0.0103,0.6436,0.301,0.0555,7747,0.9167,0.0833,0.0138,0.0165,0.0276,0.0124,0.0006,
"15",9132,0.0122,0.5655,0.3816,0.053,7692,0.9468,0.0532,0.014,0.0061,0.0105,0.0182,0.0013,
"16",9465,0.0491,0.5552,0.3883,0.0566,7935,0.9376,0.0624,0.0125,0.0084,0.0116,0.0181,0.0005,
"17",8808,-0.0237,0.4331,0.5013,0.0656,7271,0.9417,0.0583,0.0138,0.0072,0.0067,0.0195,0.0018,
"18",8820,-0.0224,0.313,0.6334,0.0537,7236,0.9366,0.0634,0.0095,0.0057,0.0061,0.0305,0.0012,
"19",9283,0.0289,0.3534,0.5935,0.0532,7580,0.9453,0.0547,0.0103,0.0067,0.0075,0.0208,0.0015,
"20",9380,0.0397,0.4277,0.5192,0.0531,7515,0.9246,0.0754,0.0197,0.0133,0.0152,0.0238,0.0009,
"21",8772,-0.0277,0.5313,0.4057,0.0629,7495,0.899,0.101,0.0208,0.0287,0.0188,0.0286,0.0011,
"22",9409,0.0429,0.5301,0.4064,0.0636,7421,0.879,0.121,0.0216,0.0342,0.0206,0.0395,0.0016,
"23",9411,0.0431,0.5313,0.4067,0.0621,8015,0.8962,0.1038,0.0165,0.0269,0.0367,0.02,0.0007,
"24",8854,-0.0186,0.5496,0.3862,0.0642,7319,0.8962,0.1038,0.0198,0.0175,0.0301,0.0301,0.0012,
"25",8596,-0.0472,0.6598,0.2666,0.0737,8064,0.8724,0.1276,0.026,0.0248,0.0542,0.0197,0.001,
"26",9333,0.0344,0.5001,0.4324,0.0675,7580,0.8784,0.1216,0.0157,0.0136,0.0204,0.0645,0.0015,
"27",9464,0.049,0.3111,0.6392,0.0498,7583,0.9252,0.0748,0.01,0.008,0.0071,0.0384,0.0004,
"28",8752,-0.03,0.2957,0.6525,0.0518,7106,0.9453,0.0547,0.0099,0.003,0.0062,0.0272,0.0004,
"29",9023,0.0001,0.3403,0.6143,0.0454,7614,0.9539,0.0461,0.0066,0.0047,0.0075,0.0226,0.0005,
"30",8626,-0.0439,0.3172,0.6367,0.0461,7291,0.9473,0.0527,0.0093,0.0033,0.0066,0.0232,0.0014,
"31",8679,-0.038,0.3423,0.5965,0.0612,7029,0.922,0.078,0.0145,0.0098,0.0105,0.0283,0.0013,
"32",8718,-0.0337,0.2819,0.6663,0.0518,7154,0.9284,0.0716,0.0161,0.011,0.0068,0.0261,0.0001,
"33",9116,0.0104,0.2969,0.6558,0.0473,7333,0.9445,0.0555,0.0131,0.0064,0.0072,0.0217,0.0019,
"34",8934,-0.0098,0.3147,0.6353,0.0501,6983,0.9446,0.0554,0.01,0.0084,0.0079,0.0216,0.0014,
"35",9328,0.0339,0.3116,0.6431,0.0453,7213,0.9511,0.0489,0.0083,0.0079,0.0075,0.0202,0,
"36",9304,0.0312,0.4181,0.5311,0.0507,7180,0.939,0.061,0.0121,0.0107,0.0132,0.018,0.0007,
"37",9374,0.039,0.4247,0.5201,0.0552,7651,0.9374,0.0626,0.0105,0.0086,0.0078,0.0252,0.0018,
"38",9154,0.0146,0.3983,0.5322,0.0695,7444,0.9378,0.0622,0.0134,0.0091,0.0074,0.023,0.0004,
"39",9464,0.049,0.5818,0.3561,0.0621,7839,0.9449,0.0551,0.0092,0.0055,0.0102,0.0161,0.0006,
"40",8631,-0.0434,0.4996,0.436,0.0644,6914,0.9416,0.0584,0.0117,0.0049,0.0084,0.0216,0.0003,
"41",8876,-0.0162,0.6677,0.2874,0.0449,7353,0.9364,0.0636,0.0154,0.0072,0.0125,0.017,0.0022,
"42",8589,-0.048,0.5713,0.3663,0.0624,7273,0.9275,0.0725,0.0155,0.0096,0.012,0.0186,0.0021,
"43",8680,-0.0379,0.5079,0.4401,0.052,7186,0.9354,0.0646,0.0131,0.0072,0.0086,0.0217,0.0014,
"44",8946,-0.0085,0.4175,0.521,0.0615,7389,0.9216,0.0784,0.0149,0.0234,0.0085,0.0221,0.0014,
"45",8714,-0.0342,0.4129,0.5304,0.0567,7096,0.9462,0.0538,0.0099,0.0054,0.0065,0.024,0.0007,
"46",8834,-0.0209,0.5574,0.3931,0.0495,7465,0.951,0.049,0.0083,0.005,0.0095,0.0169,0.0011,
"47",9411,0.0431,0.4166,0.5231,0.0604,7628,0.9377,0.0623,0.0101,0.0069,0.0088,0.0235,0.0001,
"48",8686,-0.0373,0.5132,0.4403,0.0465,7645,0.9426,0.0574,0.012,0.0075,0.0095,0.0188,0.0013,
"49",8668,-0.0393,0.4734,0.4747,0.0519,7249,0.9444,0.0556,0.0114,0.0077,0.0073,0.0185,0.0008,
"50",8766,-0.0284,0.6024,0.3259,0.0717,7159,0.9067,0.0933,0.021,0.0253,0.0131,0.0274,0.0011,
"51",8635,-0.0429,0.5328,0.405,0.0621,7051,0.9331,0.0669,0.0147,0.0119,0.0182,0.0153,0.0007,
"52",8666,-0.0395,0.4269,0.5119,0.0612,6908,0.9366,0.0634,0.0142,0.0062,0.0096,0.021,0.0013,
"53",9121,0.0109,0.3809,0.5616,0.0575,7444,0.9357,0.0643,0.0094,0.0081,0.0074,0.0296,0.0003,
"54",8956,-0.0073,0.4737,0.4633,0.063,7072,0.9215,0.0785,0.0137,0.0123,0.0119,0.029,0.0011,
