ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",37641,-0.033,0.3804,0.5594,0.0602,30869,0.9493,0.0507,0.0095,0.0094,0.0063,0.0215,0.0008,
"2",39828,0.0232,0.2996,0.6442,0.0562,32177,0.9353,0.0647,0.0096,0.0077,0.0077,0.0349,0.0006,
"3",39736,0.0208,0.3411,0.5977,0.0612,31862,0.938,0.062,0.011,0.0076,0.0079,0.0254,0.001,
"4",40798,0.0481,0.3027,0.6432,0.0541,33009,0.9354,0.0646,0.0126,0.008,0.0073,0.0263,0.0012,
"5",39549,0.016,0.3827,0.5536,0.0637,32429,0.9314,0.0686,0.0109,0.0076,0.0118,0.0257,0.0013,
"6",40704,0.0457,0.3717,0.5732,0.055,33388,0.91,0.09,0.0167,0.0081,0.0083,0.0493,0.0009,
"7",38696,-0.0059,0.5443,0.3938,0.0619,32352,0.9298,0.0702,0.0147,0.0106,0.0164,0.0187,0.001,
"8",38044,-0.0226,0.4547,0.48,0.0652,32030,0.9042,0.0958,0.0156,0.0127,0.0242,0.0357,0.001,
"9",38214,-0.0183,0.4894,0.4507,0.0599,31399,0.8987,0.1013,0.0183,0.0261,0.0244,0.0282,0.001,
"10",40763,0.0472,0.3862,0.5586,0.0552,32581,0.9385,0.0615,0.0126,0.0092,0.0107,0.022,0.001,
"11",39607,0.0175,0.4633,0.4685,0.0683,32289,0.9405,0.0595,0.0115,0.0069,0.0079,0.0225,0.0011,
"12",38923,0,0.5392,0.4022,0.0586,32304,0.9325,0.0675,0.014,0.0112,0.0098,0.0198,0.0016,
"13",37736,-0.0305,0.4665,0.4764,0.0571,31419,0.9439,0.0561,0.0102,0.0064,0.0086,0.0211,0.0009,
"14",38962,0.001,0.4457,0.4923,0.062,31497,0.9299,0.0701,0.0135,0.0094,0.0102,0.0264,0.0008,
"15",37443,-0.0381,0.4337,0.5069,0.0593,30504,0.9212,0.0788,0.0168,0.0118,0.0159,0.0242,0.0013,
"16",38496,-0.011,0.4691,0.4679,0.063,31368,0.9103,0.0897,0.0197,0.0163,0.0191,0.0255,0.0011,
"17",38751,-0.0045,0.3422,0.5955,0.0622,30805,0.9361,0.0639,0.012,0.0094,0.0071,0.0246,0.0008,
"18",39472,0.0141,0.3974,0.5344,0.0681,31825,0.9364,0.0636,0.0114,0.0075,0.0085,0.0238,0.0009,
"19",38926,0,0.3917,0.5355,0.0728,31715,0.9412,0.0588,0.0102,0.0063,0.0062,0.0248,0.0009,
"20",39816,0.0229,0.4391,0.4981,0.0628,31673,0.915,0.085,0.0162,0.0281,0.0112,0.0215,0.0008,
"21",37121,-0.0463,0.5006,0.4386,0.0608,29159,0.8269,0.1731,0.0201,0.1053,0.0175,0.0218,0.002,
"22",38428,-0.0128,0.3681,0.574,0.0579,31246,0.9387,0.0613,0.0124,0.0064,0.0079,0.0235,0.0009,
"23",39843,0.0236,0.6262,0.3189,0.0549,32937,0.9068,0.0932,0.0236,0.0189,0.0271,0.016,0.0011,
"24",38424,-0.0129,0.4977,0.4383,0.0639,31364,0.9325,0.0675,0.0149,0.0123,0.0115,0.02,0.0009,
"25",40125,0.0308,0.5703,0.3832,0.0465,31227,0.9304,0.0696,0.0153,0.01,0.0225,0.0126,0.001,
"26",38817,-0.0028,0.4725,0.471,0.0565,31579,0.9021,0.0979,0.0174,0.0288,0.0226,0.0179,0.0012,
"27",38865,-0.0015,0.6795,0.2602,0.0603,31479,0.8332,0.1668,0.0259,0.074,0.045,0.0131,0.0012,
"28",37774,-0.0296,0.7873,0.1345,0.0782,32850,0.8066,0.1934,0.0394,0.0973,0.0339,0.0165,0.0012,
"29",37661,-0.0325,0.6715,0.2752,0.0533,30689,0.8789,0.1211,0.0252,0.0399,0.0348,0.0121,0.0019,
"30",38843,-0.0021,0.5201,0.4316,0.0484,30866,0.9066,0.0934,0.0165,0.0198,0.0341,0.0147,0.0008,
"31",37717,-0.031,0.5133,0.433,0.0536,31456,0.9231,0.0769,0.0166,0.0156,0.0193,0.0164,0.001,
"32",38215,-0.0182,0.4801,0.4593,0.0606,31633,0.9172,0.0828,0.016,0.0179,0.0182,0.0222,0.0006,
"33",39460,0.0138,0.3998,0.5353,0.0649,31220,0.9218,0.0782,0.0143,0.0125,0.0177,0.0241,0.0006,
"34",39407,0.0124,0.5065,0.4456,0.0478,32156,0.9434,0.0566,0.012,0.0085,0.014,0.0138,0.0005,
"35",39554,0.0162,0.5806,0.37,0.0493,32729,0.9291,0.0709,0.0203,0.0114,0.0135,0.0138,0.0013,
"Summary",38925,0.0945,0.4758,0.4649,0.0593,31717,0.9166,0.0834,0.0159,0.0198,0.0162,0.0223,0.001,
