ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",91856,0.0027,0.889,0.0831,0.0279,65520,0.1867,0.8133,0.3949,0.4083,0.0092,0.0331,0.0016,
"2",89622,-0.0217,0.5603,0.4068,0.0329,69719,0.6761,0.3239,0.1561,0.1246,0.0168,0.0304,0.0012,
"3",93531,0.0209,0.7681,0.2052,0.0267,66030,0.5234,0.4766,0.0764,0.3453,0.04,0.0151,0.001,
"4",90903,-0.0077,0.9178,0.0591,0.0231,64833,0.3861,0.6139,0.0161,0.5759,0.0147,0.0093,0.0009,
"5",92744,0.0124,0.7692,0.2093,0.0215,71629,0.3811,0.6189,0.017,0.5723,0.0205,0.0116,0.001,
"6",93629,0.022,0.8095,0.1645,0.026,73324,0.3854,0.6146,0.0179,0.5696,0.0177,0.0126,0.0007,
"7",92948,0.0146,0.8035,0.1685,0.028,75856,0.4768,0.5232,0.0252,0.4617,0.0238,0.0148,0.0012,
"8",92670,0.0115,0.7559,0.2106,0.0335,76299,0.445,0.555,0.0261,0.4611,0.0522,0.0204,0.0009,
"9",90818,-0.0087,0.916,0.0589,0.0252,66200,0.2803,0.7197,0.0148,0.5361,0.1628,0.0108,0.0011,
"10",90534,-0.0118,0.6542,0.3255,0.0203,74475,0.5331,0.4669,0.0235,0.4056,0.0283,0.012,0.0009,
"11",91145,-0.0051,0.6544,0.3193,0.0263,70700,0.5118,0.4882,0.0182,0.4437,0.0129,0.0143,0.0006,
"12",90630,-0.0107,0.6791,0.2878,0.0331,68955,0.5103,0.4897,0.0208,0.4293,0.0162,0.0227,0.001,
"13",90393,-0.0133,0.6432,0.3289,0.028,69812,0.5203,0.4797,0.0189,0.4006,0.0439,0.0173,0.0009,
"14",90555,-0.0115,0.7092,0.2609,0.0299,69140,0.4317,0.5683,0.0214,0.4299,0.0993,0.0177,0.001,
"15",92301,0.0075,0.6073,0.3619,0.0308,69652,0.8215,0.1785,0.047,0.0812,0.0283,0.0166,0.001,
"16",93035,0.0155,0.7521,0.2226,0.0253,72066,0.3803,0.6197,0.0244,0.5694,0.0145,0.017,0.0007,
"17",90737,-0.0096,0.6703,0.3027,0.027,71354,0.489,0.511,0.0264,0.4441,0.0243,0.0188,0.0006,
"18",92169,0.0061,0.7827,0.1965,0.0208,75714,0.3744,0.6256,0.024,0.5447,0.0472,0.0143,0.0008,
"19",90931,-0.0074,0.653,0.3283,0.0187,72930,0.6139,0.3861,0.0234,0.2647,0.0876,0.0088,0.0006,
"20",93017,0.0153,0.5586,0.4219,0.0195,74684,0.7681,0.2319,0.0225,0.1095,0.0819,0.0097,0.0008,
"21",93876,0.0247,0.5342,0.445,0.0208,71599,0.5996,0.4004,0.0307,0.086,0.2674,0.0108,0.0009,
"22",91654,0.0005,0.4911,0.4855,0.0235,75487,0.8664,0.1336,0.0274,0.0269,0.0594,0.0131,0.0005,
"23",90719,-0.0097,0.6214,0.357,0.0216,76266,0.7165,0.2835,0.0414,0.059,0.1653,0.0105,0.0015,
"24",91480,-0.0014,0.589,0.389,0.0219,69996,0.6353,0.3647,0.0329,0.1084,0.204,0.0151,0.0008,
"25",90562,-0.0115,0.5917,0.3754,0.0329,73216,0.6672,0.3328,0.0382,0.2124,0.0555,0.0246,0.001,
"26",91723,0.0012,0.6621,0.3039,0.034,70678,0.5411,0.4589,0.0361,0.3814,0.0165,0.0265,0.0011,
"27",90457,-0.0126,0.4816,0.4889,0.0295,73737,0.8629,0.1371,0.0534,0.0366,0.016,0.0263,0.0011,
"28",91598,-0.0002,0.4872,0.4851,0.0277,71385,0.7744,0.2256,0.0536,0.1008,0.0367,0.0278,0.001,
"29",92583,0.0106,0.4755,0.4918,0.0327,72381,0.7605,0.2395,0.0562,0.1319,0.0178,0.0291,0.001,
