ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",266557,0.0051,0.7013,0.2715,0.0272,201593,0.4288,0.5712,0.1683,0.372,0.014,0.0283,0.0014,
"2",262619,-0.0097,0.732,0.2437,0.0244,188578,0.6185,0.3815,0.0788,0.2591,0.0291,0.0145,0.001,
"3",267500,0.0087,0.7804,0.1941,0.0255,212874,0.4195,0.5805,0.0219,0.4411,0.1044,0.016,0.001,
"4",270210,0.0189,0.529,0.4435,0.0275,214717,0.7471,0.2529,0.0498,0.1465,0.026,0.0269,0.001,
"5",260891,-0.0162,0.5912,0.3828,0.026,205113,0.6509,0.3491,0.0342,0.1968,0.095,0.0208,0.0009,
"6",260091,-0.0192,0.677,0.2996,0.0234,205711,0.4895,0.5105,0.026,0.409,0.0606,0.0163,0.0007,
"7",262085,-0.0117,0.7261,0.256,0.018,208010,0.4054,0.5946,0.062,0.4705,0.0528,0.0155,0.001,
"8",258822,-0.024,0.7549,0.221,0.0241,206961,0.5204,0.4796,0.0228,0.4191,0.0248,0.0132,0.001,
"9",262182,-0.0114,0.4838,0.4951,0.0211,206406,0.7316,0.2684,0.0318,0.0484,0.1708,0.0115,0.0007,
"10",269435,0.016,0.6538,0.322,0.0243,207211,0.5014,0.4986,0.019,0.4206,0.0451,0.015,0.0009,
"11",260723,-0.0169,0.5159,0.4589,0.0252,204523,0.7205,0.2795,0.0238,0.2046,0.0283,0.0185,0.0008,
"12",258715,-0.0244,0.4756,0.4994,0.025,207870,0.8101,0.1899,0.0234,0.1252,0.0179,0.0179,0.0007,
"13",267881,0.0101,0.5509,0.4302,0.0189,213186,0.7347,0.2653,0.0277,0.0887,0.1319,0.0104,0.0007,
"14",270717,0.0208,0.5434,0.4299,0.0267,215983,0.8074,0.1926,0.0338,0.0707,0.0621,0.02,0.001,
"15",270492,0.02,0.7071,0.2677,0.0253,221289,0.6801,0.3199,0.0532,0.152,0.0937,0.019,0.0016,
"16",271179,0.0226,0.3804,0.5912,0.0284,213755,0.8839,0.1161,0.0446,0.0302,0.0087,0.0258,0.0006,
"17",270347,0.0194,0.355,0.6139,0.0311,209069,0.8538,0.1462,0.0472,0.0526,0.0138,0.0251,0.001,
"18",268291,0.0117,0.38,0.5869,0.0332,205401,0.8577,0.1423,0.0362,0.0565,0.0192,0.0238,0.0008,
"19",271390,0.0234,0.559,0.408,0.0329,211508,0.7749,0.2251,0.048,0.1173,0.0331,0.0238,0.001,
"20",262284,-0.011,0.3992,0.5718,0.029,200292,0.7864,0.2136,0.0673,0.0932,0.0231,0.0248,0.0011,
"21",263361,-0.0069,0.5677,0.4001,0.0322,205416,0.737,0.263,0.0738,0.1331,0.0325,0.0258,0.0013,
"22",260296,-0.0185,0.3739,0.5996,0.0266,204483,0.9217,0.0783,0.0237,0.0101,0.0127,0.0222,0.001,
"23",268135,0.0111,0.4159,0.557,0.0271,211880,0.8565,0.1435,0.0405,0.042,0.032,0.0202,0.0007,
"24",260296,-0.0185,0.3542,0.6227,0.0231,203066,0.8906,0.1094,0.0324,0.0218,0.0298,0.0171,0.0006,
"25",264345,-0.0032,0.3455,0.6244,0.03,209073,0.9082,0.0918,0.0294,0.0276,0.0072,0.0201,0.0006,
"26",260766,-0.0167,0.3975,0.5732,0.0294,206886,0.8851,0.1149,0.0371,0.0373,0.0069,0.0251,0.0006,
"27",259877,-0.02,0.6207,0.3521,0.0273,200250,0.63,0.37,0.0366,0.2908,0.0171,0.025,0.0009,
"28",261214,-0.015,0.545,0.4281,0.0269,210771,0.8143,0.1857,0.0438,0.0578,0.0595,0.0189,0.0012,
"29",263780,-0.0053,0.5914,0.3751,0.0336,200247,0.6057,0.3943,0.155,0.1754,0.0526,0.0228,0.0012,
"30",271211,0.0227,0.473,0.4935,0.0335,212420,0.8252,0.1748,0.0618,0.0621,0.0291,0.019,0.0012,
"31",264573,-0.0023,0.3579,0.614,0.028,200843,0.8332,0.1668,0.0922,0.021,0.0341,0.0174,0.0012,
"32",261805,-0.0128,0.4691,0.4992,0.0318,205945,0.8098,0.1902,0.0492,0.0967,0.0087,0.0294,0.0008,
"33",267378,0.0082,0.3318,0.6345,0.0337,207138,0.8865,0.1135,0.0433,0.0349,0.007,0.0204,0.0009,
"34",268708,0.0133,0.3701,0.5986,0.0313,213991,0.8933,0.1067,0.0301,0.0294,0.0101,0.0304,0.0006,
"35",270366,0.0195,0.5045,0.4664,0.0291,211487,0.7693,0.2307,0.0632,0.1256,0.019,0.0203,0.001,
"36",270486,0.02,0.3329,0.6384,0.0287,220106,0.9379,0.0621,0.0155,0.0064,0.0062,0.0247,0.0009,
"37",261707,-0.0131,0.4215,0.5511,0.0275,213146,0.893,0.107,0.0195,0.0113,0.0087,0.0581,0.0014,
"38",266616,0.0054,0.4276,0.5461,0.0264,217404,0.8952,0.1048,0.0143,0.0225,0.0106,0.0504,0.0009,
"",265193,0.0478,0.5045,0.4681,0.0274,208279,0.7491,0.2509,0.0465,0.1404,0.038,0.0225,0.0009,
