ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1A",42570,-0.0004,0.3407,0.6201,0.0393,32733,0.918,0.082,0.0251,0.0101,0.015,0.0258,0.0015,
"1B",42605,0.0005,0.3921,0.5646,0.0433,32267,0.8909,0.1091,0.0433,0.0233,0.0085,0.0315,0.0013,
"2A",42871,0.0067,0.4549,0.4864,0.0588,32340,0.7573,0.2427,0.0212,0.0181,0.0118,0.1898,0.0011,
"2B",42590,0.0001,0.4006,0.5538,0.0456,31919,0.7337,0.2663,0.0114,0.0065,0.0046,0.2394,0.0011,
"3A",42417,-0.004,0.4825,0.4734,0.0441,35341,0.9112,0.0888,0.0105,0.0102,0.0062,0.0525,0.001,
"3B",42337,-0.0058,0.5331,0.4271,0.0399,33397,0.932,0.068,0.0102,0.0105,0.0099,0.0249,0.0008,
"4A",42472,-0.0027,0.559,0.3748,0.0662,32226,0.8309,0.1691,0.0418,0.0627,0.0245,0.036,0.0015,
"4B",42530,-0.0013,0.4049,0.5474,0.0477,31956,0.9165,0.0835,0.0187,0.0104,0.0076,0.0402,0.0014,
"5A",42553,-0.0008,0.3194,0.6415,0.0392,32998,0.9367,0.0633,0.0125,0.0063,0.0062,0.03,0.0008,
"5B",42849,0.0062,0.2835,0.6804,0.036,32343,0.9164,0.0836,0.047,0.0113,0.0058,0.0156,0.002,
"6A",42298,-0.0068,0.3884,0.5701,0.0416,34125,0.945,0.055,0.0077,0.0062,0.0056,0.0238,0.0007,
"6B",42265,-0.0075,0.3655,0.5833,0.0513,32621,0.9326,0.0674,0.0134,0.0102,0.0102,0.0232,0.0009,
"7A",42472,-0.0027,0.467,0.4827,0.0504,33798,0.9288,0.0712,0.0107,0.0099,0.0061,0.0344,0.0013,
"7B",42258,-0.0077,0.5065,0.4464,0.0472,33902,0.9336,0.0664,0.0095,0.0127,0.006,0.0309,0.0005,
"8A",42553,-0.0008,0.6551,0.2804,0.0645,34860,0.8519,0.1481,0.0179,0.0436,0.0181,0.0626,0.0015,
"8B",42602,0.0004,0.6729,0.2734,0.0537,35093,0.8749,0.1251,0.0226,0.0398,0.0274,0.0293,0.0016,
"9A",42345,-0.0057,0.375,0.5833,0.0417,32761,0.9099,0.0901,0.0357,0.0176,0.0102,0.0218,0.0014,
"9B",42467,-0.0028,0.3239,0.6417,0.0345,33460,0.9527,0.0473,0.0167,0.0049,0.0043,0.0128,0.0006,
"10A",42950,0.0086,0.3287,0.6304,0.0409,33940,0.9218,0.0782,0.0121,0.0066,0.0055,0.0461,0.0007,
"10B",42869,0.0067,0.252,0.7063,0.0417,31640,0.9565,0.0435,0.0123,0.0049,0.0057,0.0133,0.0008,
"11A",42546,-0.0009,0.5176,0.4346,0.0478,33113,0.871,0.129,0.0134,0.0204,0.0082,0.0787,0.0018,
"11B",42604,0.0004,0.3498,0.5979,0.0522,33850,0.8879,0.1121,0.0191,0.0312,0.0107,0.0417,0.0013,
"12A",42355,-0.0054,0.3717,0.5915,0.0368,32575,0.9245,0.0755,0.0413,0.0088,0.0071,0.016,0.0028,
"12B",42869,0.0067,0.3318,0.6304,0.0378,33214,0.928,0.072,0.0402,0.0084,0.0073,0.0117,0.0009,
"13A",42773,0.0044,0.3224,0.6374,0.0402,33141,0.9378,0.0622,0.0256,0.0142,0.0096,0.0081,0.0003,
"13B",42977,0.0092,0.3642,0.5856,0.0501,31699,0.9163,0.0837,0.0209,0.0201,0.0226,0.0137,0.0008,
"14A",42844,0.0061,0.477,0.4607,0.0623,32637,0.731,0.269,0.0409,0.1651,0.0458,0.0167,0.0015,
"14B",42432,-0.0036,0.4841,0.451,0.0649,33308,0.7777,0.2223,0.0358,0.1281,0.0361,0.0208,0.0018,
"15A",42462,-0.0029,0.3772,0.5819,0.0409,32259,0.8783,0.1217,0.0442,0.0253,0.0294,0.0206,0.0007,
"15B",42391,-0.0046,0.3391,0.6158,0.0451,32665,0.9236,0.0764,0.0286,0.0065,0.0126,0.0264,0.0006,
"16A",42682,0.0023,0.3558,0.6017,0.0425,32739,0.9028,0.0972,0.0592,0.0073,0.0058,0.0152,0.006,
"16B",42613,0.0006,0.382,0.5717,0.0463,31965,0.8097,0.1903,0.11,0.0478,0.0138,0.0144,0.001,
"17A",42325,-0.0061,0.3177,0.6331,0.0491,32278,0.9186,0.0814,0.0437,0.0083,0.0093,0.0119,0.0013,
"17B",42501,-0.002,0.3255,0.6289,0.0455,31874,0.9143,0.0857,0.045,0.0101,0.0147,0.0112,0.0013,
"18A",42815,0.0054,0.5081,0.4368,0.0551,32935,0.8779,0.1221,0.041,0.0432,0.0203,0.0139,0.0012,
"18B",42684,0.0023,0.5632,0.3589,0.0779,34851,0.8008,0.1992,0.0512,0.0794,0.0499,0.0151,0.0015,
"19A",42300,-0.0067,0.3905,0.5566,0.053,32467,0.8123,0.1877,0.074,0.0763,0.0151,0.0176,0.0025,
"19B",42572,-0.0003,0.394,0.5496,0.0564,32114,0.8591,0.1409,0.0742,0.0342,0.013,0.0157,0.0014,
"20A",42559,-0.0006,0.4486,0.5,0.0514,33472,0.9146,0.0854,0.0318,0.0156,0.009,0.0224,0.0011,
"20B",42198,-0.0091,0.3693,0.5869,0.0437,31845,0.9347,0.0653,0.0267,0.0068,0.0126,0.0119,0.0004,
"21A",42463,-0.0029,0.3144,0.6505,0.0351,32371,0.9176,0.0824,0.0408,0.0089,0.0163,0.0155,0.0015,
"21B",42865,0.0066,0.3852,0.5703,0.0445,31716,0.7236,0.2764,0.1962,0.0268,0.0394,0.0225,0.0032,
"22A",42483,-0.0024,0.3578,0.5973,0.0449,32930,0.914,0.086,0.0549,0.0081,0.0074,0.0121,0.0011,
"22B",42297,-0.0068,0.3676,0.5851,0.0472,31926,0.9157,0.0843,0.0428,0.011,0.0095,0.0147,0.0013,
"23A",42672,0.002,0.409,0.5442,0.0468,33103,0.8753,0.1247,0.0682,0.0125,0.0254,0.0133,0.0011,
"23B",42316,-0.0063,0.4788,0.4698,0.0515,31634,0.8032,0.1968,0.0958,0.0352,0.0453,0.0128,0.0056,
"24A",42300,-0.0067,0.3889,0.5605,0.0506,31058,0.917,0.083,0.0328,0.0109,0.0201,0.0116,0.0009,
"24B",42322,-0.0062,0.535,0.417,0.0479,32116,0.7812,0.2188,0.0615,0.065,0.0742,0.0115,0.0016,
"25A",42869,0.0067,0.5332,0.4177,0.0491,31681,0.7685,0.2315,0.038,0.0768,0.0985,0.013,0.001,
"25B",42321,-0.0062,0.5928,0.347,0.0601,34088,0.7583,0.2417,0.0594,0.0869,0.0755,0.0161,0.002,
"26A",42169,-0.0098,0.5164,0.4238,0.0598,34909,0.909,0.091,0.0267,0.0232,0.0233,0.012,0.0011,
"26B",42834,0.0058,0.4184,0.5359,0.0457,32813,0.9583,0.0417,0.0129,0.0065,0.0058,0.0107,0.0006,
"27A",42685,0.0023,0.2978,0.6486,0.0536,31375,0.9165,0.0835,0.0204,0.0225,0.0148,0.0158,0.0014,
"27B",42907,0.0075,0.2835,0.6594,0.0572,31724,0.9271,0.0729,0.0175,0.0092,0.0124,0.022,0.0007,
"28A",42711,0.0029,0.3299,0.6109,0.0592,32372,0.9257,0.0743,0.0172,0.0114,0.0151,0.0195,0.0011,
"28B",42233,-0.0083,0.3683,0.5755,0.0563,32165,0.928,0.072,0.019,0.0089,0.0155,0.0178,0.0005,
"29A",43001,0.0098,0.3344,0.6135,0.052,31766,0.934,0.066,0.0222,0.0104,0.0104,0.0128,0.0003,
"29B",42733,0.0035,0.3622,0.5801,0.0578,31472,0.9087,0.0913,0.0348,0.0165,0.0163,0.0158,0.0007,
"30A",42966,0.0089,0.352,0.5969,0.0511,29329,0.8921,0.1079,0.0228,0.0361,0.0264,0.013,0.0013,
"30B",42801,0.0051,0.3503,0.5981,0.0516,31656,0.8828,0.1172,0.0299,0.0359,0.0239,0.0187,0.0013,
"31A",42896,0.0073,0.3938,0.5508,0.0553,32012,0.8644,0.1356,0.026,0.047,0.0341,0.0185,0.0011,
"31B",42967,0.009,0.3324,0.6132,0.0544,32603,0.9091,0.0909,0.019,0.0133,0.029,0.0182,0.0012,
"32A",42983,0.0093,0.4386,0.5066,0.0549,31672,0.8165,0.1835,0.032,0.0526,0.0733,0.0181,0.0012,
"32B",42976,0.0092,0.4913,0.45,0.0588,31960,0.7704,0.2296,0.0496,0.0615,0.095,0.0209,0.0011,
"33A",42707,0.0028,0.4418,0.5088,0.0495,31880,0.8965,0.1035,0.0259,0.022,0.0306,0.0166,0.0008,
"33B",42335,-0.0059,0.515,0.4368,0.0482,33715,0.8869,0.1131,0.0227,0.0405,0.0214,0.0211,0.0028,
"34A",42169,-0.0098,0.4468,0.5014,0.0519,31441,0.8507,0.1493,0.0332,0.054,0.041,0.0142,0.0014,
"34B",42869,0.0067,0.5928,0.3539,0.0532,31546,0.5783,0.4217,0.0454,0.1884,0.171,0.0154,0.002,
"35A",42891,0.0072,0.4813,0.4491,0.0695,33472,0.8081,0.1919,0.0364,0.0778,0.0485,0.024,0.001,
"35B",42517,-0.0016,0.484,0.4517,0.0643,32389,0.7882,0.2118,0.0369,0.0915,0.0579,0.0211,0.0012,
"36A",42948,0.0085,0.476,0.4761,0.048,33080,0.8803,0.1197,0.0225,0.0292,0.0432,0.0157,0.0016,
"36B",42879,0.0069,0.5472,0.3978,0.055,34224,0.8361,0.1639,0.0374,0.0449,0.0618,0.016,0.0011,
"37A",42851,0.0062,0.4397,0.5186,0.0417,31409,0.8385,0.1615,0.0248,0.0389,0.0775,0.0123,0.0006,
"37B",42986,0.0094,0.5256,0.4244,0.05,33721,0.8244,0.1756,0.0319,0.0597,0.062,0.0153,0.001,
"38A",42860,0.0064,0.6461,0.2913,0.0626,31316,0.4106,0.5894,0.0815,0.3325,0.1625,0.0193,0.0013,
"38B",42883,0.007,0.6796,0.2504,0.07,31000,0.3977,0.6023,0.1085,0.2938,0.1845,0.0267,0.0018,
"39A",42355,-0.0054,0.5982,0.3328,0.0689,32703,0.648,0.352,0.0996,0.1567,0.0687,0.0286,0.0013,
"39B",42253,-0.0078,0.6667,0.2756,0.0576,32694,0.6701,0.3299,0.0763,0.1566,0.0741,0.0234,0.0013,
"40A",42860,0.0064,0.575,0.3729,0.0521,33184,0.7931,0.2069,0.0473,0.0517,0.0877,0.0155,0.0016,
"40B",42183,-0.0095,0.6358,0.3157,0.0485,34062,0.7779,0.2221,0.0392,0.0678,0.0964,0.0161,0.0008,
"41A",42351,-0.0055,0.4876,0.4673,0.0451,31630,0.8524,0.1476,0.0386,0.0271,0.0576,0.015,0.0007,
"41B",42393,-0.0045,0.4825,0.4564,0.0611,32207,0.8544,0.1456,0.0408,0.0446,0.036,0.0182,0.0012,
"42A",42509,-0.0018,0.5627,0.3993,0.0379,30532,0.7664,0.2336,0.026,0.0465,0.1463,0.0108,0.0009,
"42B",42547,-0.0009,0.5816,0.3715,0.0469,33531,0.779,0.221,0.0361,0.0751,0.0933,0.0131,0.0015,
"43A",42830,0.0057,0.6233,0.3124,0.0643,33686,0.6901,0.3099,0.0659,0.1715,0.0513,0.0207,0.001,
"43B",42476,-0.0026,0.6977,0.2528,0.0495,34640,0.7804,0.2196,0.0434,0.109,0.0457,0.0195,0.0014,
"44A",42823,0.0056,0.602,0.3359,0.0621,33256,0.6317,0.3683,0.068,0.1035,0.1795,0.0199,0.0017,
"44B",42217,-0.0087,0.5558,0.3811,0.0631,32851,0.7001,0.2999,0.0691,0.0964,0.1127,0.02,0.0018,
"45A",42943,0.0084,0.4616,0.4928,0.0456,33083,0.9176,0.0824,0.0252,0.0137,0.0238,0.0144,0.0008,
"45B",42996,0.0096,0.5996,0.3602,0.0402,34400,0.8666,0.1334,0.0269,0.0379,0.0512,0.0099,0.001,
"46A",42479,-0.0025,0.7243,0.224,0.0517,35332,0.7909,0.2091,0.0459,0.0874,0.0543,0.0166,0.0021,
"46B",42292,-0.0069,0.6611,0.2918,0.0471,33739,0.78,0.22,0.0438,0.0945,0.062,0.0156,0.0012,
"47A",42231,-0.0083,0.5844,0.3665,0.0491,32506,0.742,0.258,0.0455,0.084,0.1088,0.0157,0.0016,
"47B",42625,0.0009,0.5428,0.418,0.0392,30058,0.7485,0.2515,0.0382,0.068,0.1269,0.0122,0.0009,
"48A",42724,0.0032,0.4204,0.5325,0.0471,30283,0.9027,0.0973,0.0283,0.0202,0.0329,0.0099,0.0008,
"48B",42903,0.0074,0.5029,0.4493,0.0478,32017,0.8385,0.1615,0.0603,0.0265,0.0556,0.0124,0.0012,
"49A",42615,0.0007,0.5969,0.3579,0.0452,33498,0.8282,0.1718,0.0354,0.0559,0.0609,0.0129,0.0013,
"49B",42719,0.0031,0.568,0.3911,0.0409,32693,0.7147,0.2853,0.0398,0.0636,0.1675,0.011,0.0009,
"50A",42333,-0.0059,0.6394,0.3251,0.0355,32902,0.7978,0.2022,0.0343,0.0472,0.1031,0.0099,0.0007,
