ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",85175,0,0.3644,0.5853,0.0503,65000,0.9046,0.0954,0.0341,0.0166,0.0118,0.0287,0.0014,
"2",85461,0.0034,0.4259,0.5183,0.0559,64259,0.7456,0.2544,0.0163,0.0124,0.0082,0.2144,0.0011,
"3",84754,-0.0049,0.5059,0.4486,0.0455,68738,0.9213,0.0787,0.0104,0.0104,0.008,0.0391,0.0009,
"4",85002,-0.002,0.4737,0.4674,0.0589,64182,0.8735,0.1265,0.0303,0.0367,0.0161,0.0381,0.0015,
"5",85402,0.0027,0.3023,0.6549,0.0428,65341,0.9267,0.0733,0.0296,0.0088,0.006,0.0229,0.0014,
"6",84563,-0.0071,0.3768,0.575,0.0482,66746,0.9389,0.0611,0.0105,0.0082,0.0079,0.0235,0.0008,
"7",84730,-0.0052,0.4834,0.4596,0.057,67700,0.9312,0.0688,0.0101,0.0113,0.0061,0.0327,0.0009,
"8",85155,-0.0002,0.6631,0.2768,0.0602,69953,0.8634,0.1366,0.0202,0.0417,0.0227,0.0459,0.0016,
"9",84812,-0.0042,0.3456,0.6099,0.0446,66221,0.9315,0.0685,0.0261,0.0112,0.0072,0.0172,0.001,
"10",85819,0.0076,0.2909,0.6625,0.0466,65580,0.9386,0.0614,0.0122,0.0058,0.0056,0.0303,0.0007,
"11",85150,-0.0003,0.4345,0.5104,0.055,66963,0.8795,0.1205,0.0163,0.0259,0.0094,0.06,0.0015,
"12",85224,0.0006,0.3493,0.6075,0.0432,65789,0.9262,0.0738,0.0407,0.0086,0.0072,0.0138,0.0018,
"13",85750,0.0068,0.3419,0.6089,0.0492,64840,0.9273,0.0727,0.0233,0.0171,0.0159,0.0108,0.0005,
"14",85276,0.0012,0.4793,0.4544,0.0663,65945,0.7546,0.2454,0.0383,0.1464,0.0409,0.0188,0.0016,
"15",84853,-0.0037,0.3568,0.5915,0.0517,64924,0.9011,0.0989,0.0364,0.0158,0.0209,0.0235,0.0006,
"16",85295,0.0014,0.3669,0.5832,0.0499,64704,0.8568,0.1432,0.0843,0.0273,0.0098,0.0148,0.0036,
"17",84826,-0.0041,0.321,0.6261,0.0528,64152,0.9164,0.0836,0.0443,0.0092,0.0119,0.0115,0.0013,
"18",85499,0.0038,0.5342,0.4002,0.0657,67786,0.8382,0.1618,0.0462,0.0618,0.0355,0.0145,0.0013,
"19",84872,-0.0035,0.3913,0.5509,0.0578,64581,0.8355,0.1645,0.0741,0.0554,0.0141,0.0167,0.0019,
"20",84757,-0.0049,0.4099,0.5404,0.0498,65317,0.9244,0.0756,0.0293,0.0113,0.0108,0.0173,0.0008,
"21",85328,0.0018,0.3462,0.6099,0.044,64087,0.8216,0.1784,0.1177,0.0178,0.0277,0.019,0.0023,
"22",84780,-0.0046,0.3638,0.5873,0.0489,64856,0.9148,0.0852,0.0489,0.0095,0.0084,0.0134,0.0012,
"23",84988,-0.0022,0.4388,0.5061,0.0551,64737,0.8401,0.1599,0.0817,0.0236,0.0351,0.013,0.0033,
"24",84622,-0.0065,0.4617,0.4879,0.0505,63174,0.848,0.152,0.0474,0.0384,0.0476,0.0116,0.0013,
"25",85190,0.0002,0.5621,0.383,0.0549,65769,0.7632,0.2368,0.0491,0.082,0.0866,0.0146,0.0015,
"26",85003,-0.002,0.4652,0.4796,0.0552,67722,0.9329,0.0671,0.02,0.0151,0.0149,0.0114,0.0009,
"27",85592,0.0049,0.29,0.653,0.057,63099,0.9218,0.0782,0.0189,0.0158,0.0136,0.0189,0.001,
"28",84944,-0.0027,0.3492,0.591,0.0598,64537,0.9269,0.0731,0.0181,0.0102,0.0153,0.0186,0.0008,
"29",85734,0.0066,0.3469,0.5966,0.0565,63238,0.9214,0.0786,0.0285,0.0134,0.0133,0.0143,0.0005,
"30",85767,0.007,0.3505,0.5965,0.053,60985,0.8872,0.1128,0.0264,0.036,0.0251,0.016,0.0013,
"31",85863,0.0081,0.3623,0.5814,0.0563,64615,0.887,0.113,0.0225,0.03,0.0315,0.0183,0.0012,
"32",85959,0.0092,0.4635,0.4786,0.0578,63632,0.7933,0.2067,0.0408,0.0571,0.0842,0.0195,0.0011,
"33",85042,-0.0015,0.4782,0.4711,0.0507,65595,0.8916,0.1084,0.0243,0.0315,0.0259,0.0189,0.0018,
"34",85038,-0.0016,0.5161,0.4308,0.0532,62987,0.7143,0.2857,0.0393,0.1213,0.1061,0.0148,0.0017,
"35",85408,0.0028,0.4822,0.4498,0.0679,65861,0.7983,0.2017,0.0367,0.0846,0.0531,0.0226,0.0011,
"36",85827,0.0077,0.5103,0.4372,0.0525,67304,0.8578,0.1422,0.0301,0.0371,0.0527,0.0158,0.0013,
"37",85837,0.0078,0.4829,0.4702,0.0469,65130,0.8312,0.1688,0.0285,0.0497,0.0695,0.0138,0.0008,
"38",85743,0.0067,0.6617,0.2707,0.0676,62316,0.4042,0.5958,0.0949,0.3133,0.1734,0.023,0.0016,
"39",84608,-0.0066,0.6343,0.3025,0.0632,65397,0.6591,0.3409,0.088,0.1566,0.0714,0.026,0.0013,
"40",85043,-0.0015,0.6058,0.3438,0.0504,67246,0.7854,0.2146,0.0432,0.0599,0.0921,0.0158,0.0012,
"41",84744,-0.005,0.4851,0.4614,0.0535,63837,0.8534,0.1466,0.0397,0.0359,0.0467,0.0167,0.0009,
"42",85056,-0.0014,0.5723,0.3845,0.0432,64063,0.773,0.227,0.0313,0.0615,0.1186,0.012,0.0012,
"43",85306,0.0016,0.6632,0.2792,0.0575,68326,0.7359,0.2641,0.0545,0.1398,0.0485,0.0201,0.0012,
"44",85040,-0.0015,0.5778,0.3582,0.064,66107,0.6657,0.3343,0.0685,0.0999,0.1463,0.0199,0.0017,
"45",85939,0.009,0.5316,0.4249,0.0435,67483,0.8916,0.1084,0.0261,0.026,0.0378,0.0121,0.0009,
"46",84771,-0.0047,0.6921,0.2573,0.0505,69071,0.7856,0.2144,0.0449,0.0909,0.0581,0.0161,0.0017,
"47",84856,-0.0037,0.5646,0.3908,0.0446,62564,0.7451,0.2549,0.042,0.0763,0.1175,0.014,0.0012,
"48",85627,0.0053,0.4613,0.4897,0.049,62300,0.8697,0.1303,0.0447,0.0235,0.0446,0.0112,0.001,
"49",85334,0.0019,0.5826,0.3732,0.0442,66191,0.7721,0.2279,0.0375,0.0597,0.1136,0.012,0.0011,
"50",84880,-0.0034,0.6161,0.3419,0.042,67262,0.803,0.197,0.0374,0.0555,0.0843,0.0124,0.001,
"51",85533,0.0042,0.653,0.2869,0.0601,68298,0.6451,0.3549,0.1334,0.122,0.0771,0.0264,0.0018,
"52",85337,0.0019,0.5895,0.3588,0.0517,66879,0.7535,0.2465,0.0512,0.0878,0.0893,0.0146,0.0014,
"53",84998,-0.002,0.5495,0.3854,0.0651,66027,0.7605,0.2395,0.1045,0.066,0.0438,0.0235,0.0015,
"54",85890,0.0084,0.4468,0.4959,0.0573,62637,0.7626,0.2374,0.0656,0.0563,0.085,0.0256,0.0015,
"55",85190,0.0002,0.537,0.4074,0.0556,64290,0.7049,0.2951,0.0825,0.1158,0.077,0.0167,0.0021,
"56",85083,-0.001,0.5452,0.4032,0.0516,63327,0.7754,0.2246,0.0581,0.072,0.0733,0.0155,0.0016,
"57",84727,-0.0052,0.4285,0.5231,0.0485,60542,0.8407,0.1593,0.0423,0.0386,0.0562,0.0135,0.0009,
"58",85445,0.0032,0.4671,0.4818,0.0511,64297,0.8612,0.1388,0.0511,0.0251,0.0376,0.0135,0.001,
"59",84924,-0.0029,0.7961,0.1328,0.0711,63688,0.458,0.542,0.0845,0.3337,0.1009,0.0361,0.0019,
"60",84969,-0.0024,0.8152,0.1246,0.0601,74422,0.6664,0.3336,0.0657,0.1291,0.1184,0.0221,0.0014,
"61",85044,-0.0015,0.8322,0.1238,0.0441,73547,0.7748,0.2252,0.0482,0.099,0.0566,0.0191,0.0016,
"62",85241,0.0008,0.8712,0.0716,0.0572,66554,0.4909,0.5091,0.1819,0.2491,0.0415,0.055,0.0017,
"63",84624,-0.0064,0.8374,0.1207,0.0419,67026,0.7526,0.2474,0.0669,0.1167,0.0366,0.0268,0.0016,
"64",85022,-0.0018,0.787,0.1662,0.0468,70958,0.8004,0.1996,0.0447,0.0863,0.0473,0.0166,0.0015,
"65",84824,-0.0041,0.7561,0.1733,0.0706,63841,0.488,0.512,0.12,0.2297,0.1427,0.032,0.002,
"66",84350,-0.0096,0.7729,0.1703,0.0568,64821,0.5792,0.4208,0.0647,0.1498,0.1858,0.0242,0.0018,
"67",85049,-0.0014,0.7021,0.2171,0.0807,59667,0.3826,0.6174,0.1185,0.1733,0.3073,0.0305,0.0023,
"Summary",85172,0.0189,0.516,0.4307,0.0533,65508,0.7995,0.2005,0.0498,0.0681,0.055,0.0238,0.0014,
