ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",36931,-0.022,0.2469,0.7259,0.0272,29079,0.9294,0.0706,0.015,0.0152,0.0159,0.0184,0.0009,
"2",37183,-0.0153,0.1943,0.7762,0.0295,28187,0.941,0.059,0.0156,0.0081,0.0063,0.0229,0.002,
"3",37874,0.003,0.2883,0.6869,0.0248,30275,0.8635,0.1365,0.0454,0.0414,0.0266,0.0224,0.0008,
"4",37294,-0.0123,0.2045,0.7696,0.026,28186,0.9532,0.0468,0.0103,0.0108,0.0051,0.0182,0.0011,
"5",38880,0.0297,0.2473,0.7287,0.024,30014,0.9061,0.0939,0.0135,0.0425,0.007,0.0233,0.0015,
"6",37644,-0.0031,0.2407,0.729,0.0304,29267,0.8874,0.1126,0.017,0.0558,0.0076,0.0255,0.001,
"7",38608,0.0225,0.2261,0.7494,0.0246,30076,0.9326,0.0674,0.0139,0.0184,0.0055,0.0239,0.0009,
"8",38420,0.0175,0.328,0.6387,0.0333,29131,0.9002,0.0998,0.0294,0.0196,0.0118,0.0313,0.0015,
"9",37840,0.0021,0.2477,0.722,0.0303,29117,0.9119,0.0881,0.0181,0.032,0.0071,0.026,0.0007,
"10",37451,-0.0082,0.434,0.5267,0.0393,29023,0.8008,0.1992,0.0647,0.0828,0.0149,0.0312,0.0057,
"11",38745,0.0261,0.3635,0.5982,0.0383,30341,0.8382,0.1618,0.0561,0.0533,0.0185,0.0268,0.0062,
"12",38147,0.0102,0.49,0.4758,0.0341,28566,0.7661,0.2339,0.061,0.0979,0.0352,0.0293,0.0066,
"13",38797,0.0275,0.3384,0.6312,0.0304,29721,0.8731,0.1269,0.0363,0.0339,0.0195,0.0262,0.0028,
"14",38371,0.0162,0.5034,0.4647,0.0319,29667,0.76,0.24,0.0652,0.098,0.0399,0.0266,0.0099,
"15",38417,0.0174,0.5172,0.4466,0.0362,30262,0.7538,0.2462,0.0737,0.0974,0.0335,0.0343,0.0087,
"16",37066,-0.0184,0.4768,0.4917,0.0315,27586,0.7738,0.2262,0.069,0.0899,0.0353,0.0289,0.0041,
"17",38465,0.0187,0.5006,0.4617,0.0377,28720,0.7428,0.2572,0.0814,0.1026,0.0345,0.0318,0.0046,
"18",37053,-0.0187,0.575,0.3859,0.0391,29545,0.694,0.306,0.0903,0.122,0.0561,0.0332,0.0079,
"19",36904,-0.0227,0.7407,0.2236,0.0356,27124,0.3671,0.6329,0.4006,0.1331,0.0798,0.0368,0.0039,
"20",38877,0.0296,0.4134,0.5465,0.04,29049,0.7874,0.2126,0.0698,0.0684,0.016,0.0417,0.013,
"21",38792,0.0273,0.4817,0.466,0.0523,29831,0.7149,0.2851,0.1194,0.0976,0.014,0.0472,0.009,
"22",37933,0.0046,0.7636,0.2073,0.0291,28915,0.3264,0.6736,0.105,0.5347,0.0116,0.0339,0.0044,
"23",36835,-0.0245,0.8657,0.1064,0.0279,26995,0.205,0.795,0.2122,0.5269,0.0415,0.034,0.0041,
"24",37008,-0.0199,0.8252,0.1436,0.0311,34089,0.7024,0.2976,0.0904,0.133,0.0526,0.0263,0.0027,
"25",37069,-0.0183,0.7449,0.2347,0.0205,30969,0.8508,0.1492,0.0457,0.042,0.0367,0.0193,0.0009,
"26",36948,-0.0215,0.8181,0.1539,0.028,28390,0.3486,0.6514,0.065,0.541,0.0268,0.0299,0.0023,
"27",36655,-0.0293,0.8741,0.0991,0.0267,28576,0.3205,0.6795,0.0689,0.5738,0.0207,0.0267,0.0017,
"28",37211,-0.0145,0.6299,0.3342,0.0359,29302,0.5532,0.4468,0.0693,0.3283,0.018,0.0314,0.0047,
"29",38777,0.0269,0.4813,0.4819,0.0368,31559,0.7529,0.2471,0.0886,0.0967,0.0227,0.0334,0.008,
"30",37486,-0.0073,0.4548,0.5158,0.0294,27940,0.8139,0.1861,0.0409,0.0829,0.0325,0.026,0.0018,
"31",38739,0.0259,0.4318,0.5317,0.0365,28710,0.808,0.192,0.052,0.0819,0.0201,0.0323,0.0034,
"32",38837,0.0285,0.3242,0.642,0.0338,28587,0.8741,0.1259,0.0409,0.0236,0.0111,0.039,0.0037,
"33",38134,0.0099,0.3851,0.5843,0.0306,28216,0.8409,0.1591,0.0404,0.0634,0.0192,0.0291,0.0034,
"34",38077,0.0084,0.4792,0.4874,0.0334,28433,0.7733,0.2267,0.0519,0.1106,0.0302,0.031,0.0027,
"35",37958,0.0052,0.5266,0.4473,0.0261,29026,0.7157,0.2843,0.0404,0.1912,0.029,0.0216,0.0019,
"36",37227,-0.0141,0.604,0.3659,0.03,28920,0.5323,0.4677,0.0932,0.3228,0.0282,0.0313,0.0017,
"37",37737,-0.0006,0.6862,0.2844,0.0294,29536,0.4638,0.5362,0.0735,0.4155,0.0278,0.0278,0.0028,
"38",37773,0.0003,0.4506,0.5143,0.0351,27986,0.8478,0.1522,0.0448,0.0532,0.0212,0.0276,0.0023,
"39",38649,0.0235,0.3619,0.6074,0.0307,27886,0.8826,0.1174,0.035,0.0299,0.0142,0.0298,0.0009,
"40",38719,0.0254,0.2572,0.7124,0.0305,29551,0.9029,0.0971,0.0167,0.04,0.0043,0.027,0.001,
"41",38442,0.0181,0.2762,0.6862,0.0376,28346,0.8937,0.1063,0.0248,0.028,0.0091,0.0326,0.0009,
"42",38781,0.027,0.2791,0.6885,0.0324,29806,0.8982,0.1018,0.0293,0.0237,0.0077,0.0308,0.0006,
"43",38668,0.024,0.2507,0.7175,0.0318,29640,0.8937,0.1063,0.0209,0.0476,0.0062,0.0254,0.001,
"44",36833,-0.0246,0.3662,0.5959,0.0379,27456,0.8718,0.1282,0.0215,0.0529,0.0154,0.0303,0.0015,
"45",36657,-0.0292,0.7285,0.2346,0.0369,32898,0.739,0.261,0.0431,0.1261,0.0688,0.0185,0.0017,
"46",36697,-0.0282,0.5919,0.3623,0.0459,27723,0.6722,0.3278,0.0536,0.1942,0.0477,0.0308,0.003,
"47",36686,-0.0284,0.4999,0.4677,0.0324,28158,0.8401,0.1599,0.0278,0.0558,0.0442,0.0239,0.0014,
"48",36748,-0.0268,0.2655,0.7037,0.0308,28620,0.8908,0.1092,0.0147,0.0545,0.0062,0.026,0.0015,
"49",38868,0.0293,0.2998,0.6623,0.0378,30579,0.8788,0.1212,0.0185,0.0552,0.0091,0.0308,0.0016,
"50",36737,-0.0271,0.5391,0.4284,0.0325,29017,0.7692,0.2308,0.0462,0.0889,0.0728,0.02,0.0014,
"51",38562,0.0212,0.3025,0.6658,0.0317,29888,0.8256,0.1744,0.0731,0.0514,0.0079,0.0238,0.0101,
"52",36697,-0.0282,0.2843,0.6787,0.037,27622,0.8221,0.1779,0.0833,0.043,0.0115,0.0321,0.0036,
"53",37231,-0.014,0.3121,0.6507,0.0373,28626,0.9018,0.0982,0.0248,0.0211,0.0065,0.0358,0.0017,
"54",38080,0.0085,0.3355,0.62,0.0445,30099,0.8372,0.1628,0.0366,0.0588,0.0253,0.0347,0.0045,
"55",38844,0.0287,0.3074,0.6619,0.0307,29274,0.894,0.106,0.0296,0.0239,0.0098,0.034,0.001,
