ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",184853,0.0211,0.5134,0.4596,0.027,147175,0.8782,0.1218,0.0264,0.0347,0.0356,0.0186,0.0009,
"2",176200,-0.0267,0.3683,0.6049,0.0268,132995,0.8611,0.1389,0.0294,0.0461,0.0354,0.0204,0.0012,
"3",177838,-0.0176,0.2897,0.6791,0.0312,139083,0.9089,0.0911,0.0132,0.0293,0.0062,0.0309,0.0008,
"4",184241,0.0178,0.7085,0.2646,0.0269,154270,0.7182,0.2818,0.044,0.1506,0.0658,0.0172,0.0012,
"5",180730,-0.0016,0.8821,0.0958,0.0221,145378,0.3122,0.6878,0.0428,0.5858,0.0473,0.0174,0.0012,
"6",181225,0.0011,0.2591,0.714,0.0268,141740,0.8791,0.1209,0.026,0.051,0.0107,0.0262,0.0017,
"7",176411,-0.0255,0.7249,0.2466,0.0285,145162,0.6263,0.3737,0.1184,0.1835,0.0492,0.0279,0.0023,
"8",178186,-0.0157,0.4396,0.5291,0.0312,132756,0.8116,0.1884,0.0447,0.0846,0.0258,0.0284,0.0026,
"9",180309,-0.004,0.7855,0.1862,0.0282,137593,0.3262,0.6738,0.0823,0.5554,0.0175,0.0292,0.003,
"10",182358,0.0074,0.2914,0.6761,0.0325,136145,0.8876,0.1124,0.0217,0.0435,0.0108,0.0284,0.0012,
"11",182298,0.007,0.4372,0.5229,0.0399,138656,0.7314,0.2686,0.1181,0.0837,0.0197,0.0403,0.0082,
"12",181905,0.0049,0.2326,0.7396,0.0278,140852,0.9239,0.0761,0.0205,0.0188,0.0081,0.0233,0.001,
"13",185863,0.0267,0.7923,0.1839,0.0238,140543,0.2798,0.7202,0.0186,0.6769,0.0123,0.0165,0.0008,
"14",185861,0.0267,0.7569,0.216,0.0271,144272,0.4095,0.5905,0.0523,0.4792,0.0415,0.0203,0.0013,
"15",186330,0.0293,0.439,0.5386,0.0224,145232,0.8182,0.1818,0.032,0.0319,0.0981,0.0138,0.0006,
"16",175673,-0.0296,0.2224,0.7478,0.0298,135983,0.83,0.17,0.0463,0.0527,0.0297,0.0353,0.0039,
"17",176002,-0.0278,0.5033,0.4613,0.0354,132963,0.751,0.249,0.0754,0.0978,0.0388,0.0313,0.0058,
"18",177689,-0.0184,0.2497,0.7225,0.0278,137717,0.9028,0.0972,0.0171,0.0412,0.0109,0.0226,0.0011,
"19",183610,0.0143,0.5301,0.4331,0.0369,145252,0.777,0.223,0.0387,0.1042,0.0507,0.0244,0.0018,
"20",176281,-0.0262,0.2493,0.7244,0.0263,132196,0.8994,0.1006,0.023,0.015,0.0163,0.0368,0.0013,
"21",184062,0.0168,0.3343,0.6322,0.0335,140957,0.8757,0.1243,0.0376,0.0373,0.0094,0.0299,0.0034,
"22",180872,-0.0009,0.3592,0.6063,0.0344,138825,0.9053,0.0947,0.0218,0.0147,0.0132,0.0313,0.001,
"23",179470,-0.0086,0.4368,0.5304,0.0328,142960,0.8348,0.1652,0.0379,0.0649,0.0334,0.0216,0.0014,
"24",184729,0.0205,0.5221,0.4538,0.0241,145285,0.8002,0.1998,0.0281,0.0728,0.0771,0.0142,0.0009,
"25",179247,-0.0098,0.2097,0.7702,0.0201,137924,0.8492,0.1508,0.0214,0.0891,0.0055,0.029,0.0009,
"26",181378,0.0019,0.2806,0.6888,0.0306,140050,0.9177,0.0823,0.0186,0.018,0.0083,0.0273,0.0012,
"27",177551,-0.0192,0.2348,0.7422,0.023,138130,0.8724,0.1276,0.0197,0.0616,0.0131,0.0264,0.0007,
"28",184368,0.0185,0.2264,0.7441,0.0295,141919,0.9035,0.0965,0.03,0.0152,0.0073,0.0342,0.0017,
"29",184680,0.0202,0.2122,0.7589,0.0288,137853,0.867,0.133,0.0523,0.0102,0.0132,0.0462,0.0057,
"30",180925,-0.0006,0.4513,0.5081,0.0406,148477,0.8198,0.1802,0.0495,0.056,0.0298,0.0388,0.0033,
"31",177879,-0.0174,0.3219,0.6419,0.0361,135877,0.855,0.145,0.039,0.0484,0.016,0.0333,0.0029,
"32",181409,0.0021,0.2352,0.7329,0.0319,137057,0.8241,0.1759,0.0646,0.0228,0.0166,0.0618,0.007,
"33",178541,-0.0137,0.1889,0.7858,0.0253,141425,0.8929,0.1071,0.0334,0.0153,0.0093,0.0397,0.0027,
"34",185939,0.0271,0.4309,0.5345,0.0347,142910,0.8043,0.1957,0.0577,0.0748,0.0262,0.028,0.0064,
"",181027,0.0589,0.4153,0.5553,0.0294,140459,0.7797,0.2203,0.0413,0.1177,0.0271,0.0284,0.0024,
